time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:02:04,BZN,0.42,5,1,0.03,1,0,0.21,up,0.0,0,0,0.0,0,0,0.24,down,0,11
2026-05-02 20:09:10,BZN,0.0,0,0,0.0,0,0,0.21,down,0.0,0,0,0.0,0,0,0.24,down,0,11
2026-05-02 20:01:16,BZN,0.0,0,0,0.0,0,0,0.21,down,0.0,0,0,0.0,0,0,0.24,down,0,14
2026-05-02 18:02:28,BZN,0.0,0,0,0.0,0,0,0.21,down,0.0,0,0,0.0,0,0,0.24,down,0,11
2026-05-02 16:16:13,BZN,0.0,0,0,0.0,0,0,0.21,down,0.0,0,0,0.0,0,0,0.24,down,0,18
2026-05-02 14:01:12,BZN,0.0,0,0,0.0,0,0,0.21,down,0.0,0,0,0.0,0,0,0.24,down,0,18
2026-05-02 12:01:02,BZN,0.0,0,0,0.21,9,0,0.39,down,0.0,0,0,0.23,10,0,0.27,down,0,18
2026-05-02 10:10:27,BZN,0.0,0,0,0.21,9,0,0.39,down,0.0,0,0,0.21,9,0,0.27,down,0,11
2026-05-02 08:01:33,BZN,0.0,0,0,0.19,8,0,0.39,down,0.0,0,0,0.21,9,0,0.27,down,0,11
2026-05-02 06:03:25,BZN,0.17,2,0,0.14,6,0,0.39,down,0.42,5,2,0.21,9,0,0.27,down,0,7
2026-05-01 22:06:24,BZN,0.5,6,1,0.03,1,0,0.39,up,0.0,0,0,0.0,0,0,0.27,down,0,7
2026-05-01 20:11:56,BZN,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.27,down,0,7
2026-05-01 17:45:53,BZN,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.27,down,0,11
2026-05-01 16:02:44,BZN,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.27,down,0,11
2026-05-01 14:06:31,BZN,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.27,up,0,14
2026-05-01 12:06:05,BZN,0.0,0,0,0.38,18,0,0.49,down,0.0,0,0,0.19,9,0,0.17,down,0,18
2026-05-01 10:01:41,BZN,0.0,0,0,0.39,18,0,0.49,down,0.0,0,0,0.19,9,0,0.17,down,0,0
