time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:02:30,CHS,1.79,22,7,0.18,19,0,0.49,up,0.42,5,3,0.06,6,0,0.25,down,0,14.0
2026-05-02 20:09:36,CHS,1.04,12,8,0.1,10,0,0.49,down,0.0,0,0,0.02,2,0,0.25,up,0,11.0
2026-05-02 20:01:42,CHS,1.04,12,8,0.1,10,0,0.49,down,0.0,0,0,0.02,2,0,0.25,up,0,11.0
2026-05-02 18:02:53,CHS,0.58,7,0,0.02,2,0,0.49,up,0.0,0,0,0.0,0,0,0.25,down,0,14.0
2026-05-02 16:16:41,CHS,0.0,0,0,0.01,1,0,0.49,down,0.0,0,0,0.0,0,0,0.25,down,0,7.0
2026-05-02 14:01:38,CHS,0.0,0,0,0.01,1,0,0.49,down,0.0,0,0,0.0,0,0,0.25,down,0,0.0
2026-05-02 12:01:26,CHS,0.0,0,0,0.0,0,0,0.49,down,0.42,5,1,0.0,0,0,0.25,down,0,7.0
2026-05-02 10:10:51,CHS,1.21,14,4,0.49,81,0,0.62,up,0.42,5,6,0.24,41,0,0.33,down,0,7.0
2026-05-02 08:01:56,CHS,1.08,13,8,0.46,76,0,0.62,down,0.73,5,3,0.2,33,0,0.33,up,0,7.0
2026-05-02 06:03:49,CHS,1.75,21,22,0.42,67,0,0.62,up,0.42,5,5,0.18,30,0,0.33,down,0,14.0
2026-05-01 22:06:51,CHS,0.79,10,4,0.13,19,0,0.62,down,0.68,5,5,0.05,7,0,0.33,down,0,14.0
2026-05-01 20:12:21,CHS,0.88,10,6,0.1,13,0,0.62,down,0.0,0,0,0.01,1,0,0.33,down,0,18.0
2026-05-01 17:46:18,CHS,0.75,9,7,0.05,7,0,0.62,down,0.0,0,0,0.0,0,0,0.33,down,0,0.0
2026-05-01 16:03:09,CHS,0.0,0,0,0.0,0,0,0.62,down,0.0,0,0,0.0,0,0,0.33,down,0,7.0
2026-05-01 14:06:57,CHS,0.0,0,0,0.01,1,0,0.62,down,0.0,0,0,0.0,0,0,0.33,down,0,7.0
2026-05-01 12:06:28,CHS,0.0,0,0,0.0,0,0,0.62,down,0.42,5,1,0.0,0,0,0.33,down,0,7.0
2026-05-01 10:02:05,CHS,0.0,0,0,0.61,110,0,0.43,down,0.42,5,4,0.32,57,0,0.21,down,0,7.0
2026-05-01 08:04:04,CHS,1.33,16,11,0.59,107,0,0.43,down,0.42,5,8,0.29,51,0,0.21,down,0,11.0
2026-05-01 06:03:12,CHS,2.17,26,19,0.51,92,0,0.43,down,0.42,5,6,0.23,41,0,0.21,down,0,11.0
2026-04-30 22:19:43,CHS,1.17,14,6,0.16,23,0,0.43,down,0.42,5,3,0.04,6,0,0.21,up,0,18.0
2026-04-30 20:11:05,CHS,1.25,15,11,0.12,17,0,0.43,down,0.0,0,0,0.01,1,0,0.21,down,0,11.0
2026-04-30 18:20:25,CHS,0.17,2,1,0.04,5,0,0.43,up,0.0,0,0,0.0,0,0,0.21,down,0,11.0
2026-04-30 16:06:59,CHS,0.0,0,0,0.0,0,0,0.43,down,0.0,0,0,0.0,0,0,0.21,down,0,11.0
2026-04-30 14:10:58,CHS,0.0,0,0,0.0,0,0,0.43,down,0.0,0,0,0.0,0,0,0.21,down,0,11.0
2026-04-30 12:01:59,CHS,0.0,0,0,0.0,0,0,0.43,down,0.92,5,0,0.0,0,0,0.21,down,0,22.0
2026-04-30 10:01:43,CHS,0.0,0,0,0.43,60,0,0.41,down,0.42,5,3,0.21,29,0,0.25,down,0,14.0
2026-04-30 06:04:21,CHS,1.42,17,10,0.35,47,0,0.41,down,0.42,5,4,0.15,21,0,0.25,down,0,18.0
2026-04-29 22:01:19,CHS,0.67,8,5,0.09,11,0,0.41,down,0.42,5,0,0.02,3,0,0.25,down,0,11.0
2026-04-29 20:02:17,CHS,0.75,9,3,0.04,5,0,0.41,up,0.0,0,0,0.03,3,0,0.25,down,0,11.0
2026-04-29 18:01:13,CHS,0.0,0,0,0.01,1,0,0.41,down,0.0,0,0,0.01,1,0,0.25,down,0,0.0
2026-04-29 16:15:49,CHS,0.0,0,0,0.01,1,0,0.41,down,0.0,0,0,0.01,1,0,0.25,down,0,7.0
2026-04-29 14:02:11,CHS,0.0,0,0,0.01,1,0,0.41,down,0.0,0,0,0.01,1,0,0.25,down,0,0.0
2026-04-29 12:01:25,CHS,0.0,0,0,0.0,0,0,0.41,down,0.97,5,1,0.0,0,0,0.25,up,0,0.0
2026-04-29 10:02:30,CHS,1.13,14,3,0.41,58,0,0.46,down,0.42,5,2,0.24,32,0,0.3,down,0,7.0
2026-04-29 08:04:26,CHS,0.92,11,4,0.38,54,0,0.46,down,0.42,5,2,0.21,29,0,0.3,down,0,11.0
2026-04-29 06:05:38,CHS,1.67,20,7,0.36,51,0,0.46,down,0.73,5,1,0.2,27,0,0.3,down,0,11.0
2026-04-28 23:13:31,CHS,1.0,12,7,0.12,15,0,0.46,down,0.88,10,9,0.11,14,0,0.3,up,0,22.0
2026-04-28 20:01:23,CHS,0.69,5,5,0.03,4,0,0.46,down,0.0,0,0,0.03,4,0,0.3,down,0,7.0
2026-04-28 18:18:23,CHS,0.63,8,0,0.0,0,0,0.46,down,0.0,0,0,0.03,3,0,0.3,down,0,7.0
2026-04-28 16:18:26,CHS,0.0,0,0,0.0,0,0,0.46,down,0.0,0,0,0.03,3,0,0.3,down,0,11.0
2026-04-28 14:05:57,CHS,0.0,0,0,0.0,0,0,0.46,down,0.0,0,0,0.03,3,0,0.3,down,0,7.0
2026-04-28 12:01:14,CHS,0.0,0,0,0.0,0,0,0.46,down,0.42,5,3,0.01,1,0,0.3,down,0,7.0
2026-04-28 10:07:12,CHS,0.0,0,0,0.46,76,0,0.55,down,1.0,5,3,0.28,49,0,0.25,down,0,0.0
2026-04-28 08:02:06,CHS,1.13,14,7,0.45,75,0,0.55,down,0.42,5,4,0.26,46,0,0.25,down,0,11.0
2026-04-28 06:08:03,CHS,1.74,18,11,0.38,63,0,0.55,up,0.65,5,4,0.23,39,0,0.25,down,0,14.0
2026-04-27 22:03:15,CHS,0.96,12,6,0.1,15,0,0.55,down,0.42,5,3,0.05,7,0,0.25,down,0,14.0
2026-04-27 18:03:37,CHS,0.75,9,4,0.04,5,0,0.55,down,0.0,0,0,0.02,2,0,0.25,down,0,14.0
2026-04-27 16:07:29,CHS,0.0,0,0,0.0,0,0,0.55,down,0.0,0,0,0.02,2,0,0.25,down,0,22.0
2026-04-27 14:01:16,CHS,0.0,0,0,0.0,0,0,0.55,down,0.0,0,0,0.02,2,0,0.25,down,0,25.0
2026-04-27 12:08:34,CHS,0.0,0,0,0.0,0,0,0.55,down,0.42,5,3,0.02,2,0,0.25,down,0,18.0
2026-04-27 10:01:52,CHS,0.0,0,0,0.54,108,0,0.39,down,0.42,5,3,0.23,46,0,0.23,down,0,22.0
2026-04-27 08:01:50,CHS,2.13,26,12,0.54,107,0,0.39,up,1.13,14,8,0.22,43,0,0.23,up,0,29.0
2026-04-27 06:05:56,CHS,0.83,10,6,0.48,94,0,0.39,up,0.6,5,5,0.18,35,0,0.23,down,0,18.0
2026-04-26 22:34:11,CHS,1.17,14,10,0.14,25,0,0.39,up,0.42,5,3,0.02,3,0,0.23,down,0,14.0
2026-04-26 20:25:16,CHS,0.96,12,6,0.08,13,0,0.39,up,0.0,0,0,0.0,0,0,0.23,down,0,0.0
2026-04-26 18:20:30,CHS,0.83,10,2,0.02,4,0,0.39,down,0.0,0,0,0.0,0,0,0.23,down,0,7.0
2026-04-26 16:01:54,CHS,0.0,0,0,0.01,1,0,0.39,down,0.0,0,0,0.0,0,0,0.23,down,0,11.0
2026-04-26 14:04:03,CHS,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.23,down,0,7.0
2026-04-26 12:01:20,CHS,0.0,0,0,0.0,0,0,0.39,down,0.42,5,2,0.0,0,0,0.23,down,0,0.0
2026-04-26 10:14:33,CHS,0.0,0,0,0.38,50,0,0.44,down,0.42,5,0,0.21,28,0,0.35,down,0,0.0
2026-04-26 08:07:21,CHS,1.17,14,4,0.38,50,0,0.44,down,0.42,5,3,0.21,28,0,0.35,down,0,11.0
2026-04-26 06:08:03,CHS,1.08,13,8,0.35,45,0,0.44,down,0.42,5,4,0.19,25,0,0.35,down,0,22.0
2026-04-25 22:56:40,CHS,0.83,10,4,0.12,15,0,0.44,up,0.42,5,5,0.05,6,0,0.35,down,0,7.0
2026-04-25 20:01:49,CHS,0.58,7,2,0.03,4,0,0.44,down,0.0,0,0,0.0,0,0,0.35,down,0,7.0
2026-04-25 18:05:42,CHS,0.5,6,1,0.02,2,0,0.44,down,0.0,0,0,0.0,0,0,0.35,down,0,7.0
2026-04-25 16:04:01,CHS,0.0,0,0,0.01,1,0,0.44,down,0.0,0,0,0.0,0,0,0.35,down,0,0.0
2026-04-25 14:01:50,CHS,0.0,0,0,0.01,1,0,0.44,down,0.0,0,0,0.0,0,0,0.35,down,0,11.0
2026-04-25 12:01:37,CHS,0.0,0,0,0.0,0,0,0.44,down,0.5,6,2,0.0,0,0,0.35,down,0,11.0
2026-04-25 10:10:04,CHS,0.42,5,1,0.44,75,0,0.45,down,1.3,12,9,0.33,62,0,0.27,up,0,
2026-04-25 08:07:02,CHS,1.08,13,6,0.43,73,0,0.45,up,0.42,5,4,0.28,52,0,0.27,down,0,18.0
2026-04-25 06:03:35,CHS,1.25,15,8,0.38,65,0,0.45,down,0.42,5,7,0.25,47,0,0.27,down,0,18.0
2026-04-24 22:02:12,CHS,0.67,8,4,0.08,11,0,0.45,down,0.42,5,2,0.01,2,0,0.27,down,0,18.0
2026-04-24 20:05:21,CHS,0.58,7,4,0.04,6,0,0.45,down,0.0,0,0,0.0,0,0,0.27,down,0,14.0
2026-04-24 18:01:44,CHS,0.0,0,0,0.01,1,0,0.45,up,0.0,0,0,0.0,0,0,0.27,down,0,7.0
2026-04-24 16:21:10,CHS,0.0,0,0,0.0,0,0,0.45,down,0.0,0,0,0.0,0,0,0.27,down,0,7.0
2026-04-24 14:04:59,CHS,0.0,0,0,0.0,0,0,0.45,down,0.0,0,0,0.0,0,0,0.27,down,0,7.0
2026-04-24 12:29:58,CHS,0.0,0,0,0.0,0,0,0.45,down,0.38,4,0,0.0,0,0,0.27,down,0,11.0
2026-04-24 10:04:00,CHS,0.0,0,0,0.45,84,0,0.37,down,0.42,5,4,0.26,50,0,0.21,down,0,14.0
2026-04-24 08:18:56,CHS,1.08,13,7,0.43,81,0,0.37,down,0.42,5,4,0.23,44,0,0.21,down,0,14.0
2026-04-24 06:03:20,CHS,1.67,20,10,0.4,74,0,0.37,down,0.42,5,3,0.21,40,0,0.21,down,0,25.0
2026-04-23 22:01:55,CHS,0.67,8,4,0.1,16,0,0.37,up,0.42,5,3,0.04,7,0,0.21,down,0,11.0
2026-04-23 20:19:44,CHS,0.75,9,8,0.08,13,0,0.37,down,0.0,0,0,0.03,5,0,0.21,up,0,18.0
2026-04-23 18:07:45,CHS,0.0,0,0,0.01,1,0,0.37,down,0.0,0,0,0.02,3,0,0.21,down,0,7.0
2026-04-23 14:01:34,CHS,0.0,0,0,0.0,0,0,0.37,down,0.0,0,0,0.0,0,0,0.21,down,0,11.0
