time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:04:05,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 20:11:08,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 20:03:21,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 18:04:17,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 16:18:16,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 14:03:13,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 12:02:59,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 10:12:24,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 08:03:32,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 06:05:26,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 22:08:33,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 20:13:54,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 17:48:03,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 16:04:44,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-05-01 14:08:32,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-05-01 12:08:03,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-05-01 10:03:37,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-05-01 08:05:40,HIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
