time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:04:23,IBZ,1.42,17,11,0.29,41,0,0.39,down,0.42,5,5,0.1,14,0,0.15,down,0,18
2026-05-02 20:11:26,IBZ,1.67,20,15,0.21,29,0,0.39,down,0.42,5,1,0.06,9,0,0.15,down,0,22
2026-05-02 20:03:38,IBZ,1.67,20,15,0.21,29,0,0.39,down,0.42,5,1,0.06,9,0,0.15,down,0,22
2026-05-02 18:04:32,IBZ,1.58,19,7,0.11,15,0,0.39,down,0.42,5,4,0.06,8,0,0.15,down,0,18
2026-05-02 16:18:34,IBZ,0.54,6,3,0.05,7,0,0.39,up,0.42,5,1,0.02,3,0,0.15,down,0,18
2026-05-02 14:03:30,IBZ,0.58,7,1,0.01,2,0,0.39,up,0.42,5,2,0.01,2,0,0.15,down,0,18
2026-05-02 12:03:16,IBZ,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.15,down,0,14
2026-05-02 10:12:42,IBZ,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.15,down,0,14
2026-05-02 08:03:49,IBZ,0.0,0,0,0.0,0,0,0.39,down,0.0,0,0,0.0,0,0,0.15,down,0,11
2026-05-02 06:05:43,IBZ,1.88,22,4,0.0,0,0,0.39,down,0.58,7,2,0.0,0,0,0.15,down,0,7
2026-05-01 22:08:50,IBZ,1.13,14,8,0.29,42,0,0.4,up,0.61,5,6,0.11,17,0,0.14,down,0,14
2026-05-01 20:14:10,IBZ,1.17,14,7,0.23,33,0,0.4,down,0.42,5,1,0.07,11,0,0.14,down,0,14
2026-05-01 17:48:23,IBZ,1.58,19,12,0.16,23,0,0.4,down,0.42,5,4,0.06,10,0,0.14,down,0,7
2026-05-01 16:05:01,IBZ,1.08,13,8,0.07,10,0,0.4,up,0.42,5,2,0.03,5,0,0.14,down,0,11
2026-05-01 14:08:49,IBZ,0.58,7,0,0.0,0,0,0.4,up,0.42,5,1,0.01,2,0,0.14,down,0,11
2026-05-01 12:08:20,IBZ,0.0,0,0,0.0,0,0,0.4,down,0.0,0,0,0.01,1,0,0.14,down,0,11
2026-05-01 10:03:53,IBZ,0.0,0,0,0.0,0,0,0.4,down,0.0,0,0,0.0,0,0,0.14,down,0,7
2026-05-01 08:05:57,IBZ,0.0,0,0,0.0,0,0,0.4,down,0.0,0,0,0.0,0,0,0.14,down,0,0
2026-05-01 06:05:14,IBZ,1.0,12,2,0.0,0,0,0.4,down,0.42,5,4,0.0,0,0,0.14,down,0,7
2026-04-30 22:21:41,IBZ,1.42,17,11,0.28,36,0,0.41,up,0.42,5,3,0.07,9,0,0.09,down,0,14
2026-04-30 20:12:59,IBZ,1.29,16,9,0.18,23,0,0.41,down,0.42,5,0,0.04,6,0,0.09,down,0,11
2026-04-30 18:22:16,IBZ,1.67,20,6,0.1,12,0,0.41,down,0.77,5,2,0.04,6,0,0.09,up,0,7
2026-04-30 16:08:54,IBZ,0.58,7,4,0.05,6,0,0.41,up,0.87,5,0,0.02,3,0,0.09,down,0,7
2026-04-30 14:12:47,IBZ,1.3,7,1,0.01,1,0,0.41,down,0.42,5,1,0.02,3,0,0.09,down,0,4
2026-04-30 12:03:52,IBZ,0.0,0,0,0.0,0,0,0.41,down,0.0,0,0,0.02,2,0,0.09,down,0,4
