time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:05:02,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:12:04,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:04:16,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 18:05:07,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 16:19:12,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-02 14:04:08,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-02 12:03:56,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-02 10:13:24,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-02 08:04:31,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-02 06:06:20,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 22:09:30,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 20:14:46,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 17:49:08,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 16:05:38,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 14:09:26,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 12:09:01,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 10:04:35,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-01 08:06:39,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 06:05:55,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-30 22:22:19,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 20:13:37,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 18:22:54,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 16:09:34,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-30 14:13:25,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-30 12:04:30,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-30 10:04:09,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-30 06:06:31,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-29 22:03:57,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 20:04:46,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 18:03:42,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 16:18:37,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 14:04:54,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 12:03:34,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-29 10:04:58,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 08:06:54,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-29 06:07:49,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-28 23:16:06,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-28 20:03:40,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-28 18:20:49,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-28 16:21:21,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-28 14:08:06,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-28 12:03:37,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 10:09:58,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 08:04:33,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 06:10:28,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-27 22:05:57,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-27 18:05:52,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-27 16:09:52,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-27 14:03:25,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-27 12:10:44,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-27 10:03:53,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-27 08:04:28,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-27 06:08:40,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-26 22:36:21,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-26 20:27:22,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-26 18:23:08,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-26 16:03:57,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-26 14:06:38,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-26 12:03:27,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-26 10:16:38,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-26 08:09:45,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-26 06:10:24,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 22:58:50,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-25 20:04:00,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-25 18:07:53,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-25 16:06:10,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 14:04:14,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 12:04:01,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 10:12:28,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 08:09:01,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-25 06:05:42,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-24 22:04:35,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-24 20:07:55,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-24 18:04:13,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-24 16:23:23,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-24 14:09:07,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-24 12:32:59,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-24 10:06:49,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-24 08:22:01,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-24 06:05:57,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 22:04:21,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-23 20:22:43,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-23 18:10:07,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-23 14:03:44,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23 12:03:28,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 10:03:58,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 08:13:14,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 08:04:54,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 06:06:01,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 22:04:07,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 20:06:06,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 18:03:54,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-22 16:18:41,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 14:04:48,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 12:04:03,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 10:04:38,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 08:04:19,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 06:07:05,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 22:14:17,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-21 20:04:25,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 18:13:00,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-21 16:18:48,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-21 14:03:58,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-21 12:04:02,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-21 10:05:33,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 08:32:22,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 06:41:56,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20 22:13:07,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-20 20:14:58,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-20 18:33:56,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 16:07:16,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-20 14:11:15,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-20 12:37:32,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-20 10:09:42,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-20 08:08:06,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-20 06:39:59,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-19 22:18:03,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-19 20:05:02,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-19 18:15:32,LJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
