time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:05:23,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 20:12:24,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 20:04:37,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 18:05:23,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 16:19:32,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 14:04:27,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-02 12:04:17,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-02 10:13:46,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-02 08:04:53,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-02 06:06:40,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 22:09:49,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 20:15:04,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 17:49:31,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 16:05:59,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 14:09:45,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 12:09:25,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 10:04:57,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 08:07:01,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-05-01 06:06:18,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 22:22:39,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 20:13:57,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 18:23:13,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 16:09:53,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 14:13:43,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 12:04:50,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 10:04:29,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-30 06:06:49,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 22:04:17,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 20:05:06,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 18:04:00,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 16:18:59,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 14:05:21,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 12:03:50,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-29 10:05:17,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 08:07:12,MFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
