time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:06:46,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:13:44,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:05:59,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 18:06:36,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-05-02 16:20:53,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-05-02 14:05:46,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 12:05:47,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 10:15:17,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-05-02 08:06:25,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 06:08:02,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 22:11:15,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 20:16:24,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 17:51:08,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-05-01 16:07:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 14:11:09,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 12:10:55,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 10:06:27,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 08:08:33,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 06:07:49,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 22:24:00,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 20:15:18,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 18:24:33,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 16:11:17,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 14:15:02,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 12:06:09,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 10:05:50,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 06:08:00,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 22:05:43,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-29 20:06:28,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 18:05:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 16:20:33,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-29 14:06:49,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 12:05:00,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 10:06:38,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 08:08:30,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 06:09:16,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-28 23:17:48,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-28 20:05:15,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-28 18:22:27,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-28 16:23:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 14:09:32,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 12:05:14,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 10:11:53,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 08:06:20,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-28 06:12:04,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-27 22:07:45,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-27 18:07:17,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-27 16:11:30,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-27 14:04:52,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-27 12:12:09,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2026-04-27 10:05:17,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-27 08:06:12,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-27 06:10:30,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-26 22:37:48,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-26 20:28:49,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-26 18:25:03,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-26 16:05:19,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2026-04-26 14:08:31,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-26 12:04:54,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-26 10:18:04,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-26 08:11:34,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-26 06:11:57,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-25 23:00:17,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-25 20:05:24,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-25 18:09:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-25 16:07:36,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-25 14:05:55,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-25 12:05:36,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-25 10:14:04,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-25 08:10:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-25 06:07:06,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-24 22:06:11,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-24 20:09:45,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-24 18:06:01,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-24 16:24:49,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-24 14:12:06,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-24 12:35:22,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-24 10:09:07,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-24 08:23:58,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-24 06:07:48,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23 22:05:57,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-23 20:24:42,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-23 18:11:41,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 14:05:12,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-23 12:04:56,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-23 10:05:45,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-23 08:14:59,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-23 08:06:39,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-23 06:07:33,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 22:05:34,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 20:07:37,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 18:05:22,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-22 16:20:11,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-22 14:06:16,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-22 12:05:43,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-22 10:06:01,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-22 08:05:44,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-22 06:08:40,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-21 22:15:52,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-21 20:06:02,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-21 18:14:25,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 16:20:24,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-21 14:05:27,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-21 12:05:43,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-21 10:07:41,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 08:35:52,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-21 06:43:30,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-20 22:14:44,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 20:16:55,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 18:35:45,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-20 16:08:58,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 14:12:59,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-20 12:39:30,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 10:11:18,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-20 08:10:52,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-20 06:41:48,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-19 22:19:34,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-19 20:06:38,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-19 18:17:14,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-19 16:20:43,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-19 14:05:34,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-19 12:05:26,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-19 10:25:08,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-19 08:06:52,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-19 06:17:14,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-18 22:38:03,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-18 20:07:21,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-18 18:45:41,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-18 16:23:35,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-18 14:05:20,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-18 12:22:57,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-04-18 10:20:49,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-18 08:20:23,OUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
