time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:07:18,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-05-02 20:14:11,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:06:30,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 18:07:04,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 16:21:25,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 14:06:17,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 12:06:21,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 10:15:51,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 08:06:59,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 06:08:33,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 22:11:47,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 20:16:55,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 17:51:44,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 16:07:52,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 14:11:39,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 12:11:28,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 10:07:01,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 08:09:09,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 06:08:26,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 22:24:30,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 20:15:50,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-30 18:25:05,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 16:11:49,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 14:15:32,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 12:06:41,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 10:06:24,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-30 06:08:26,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-04-29 22:06:15,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 20:07:00,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-29 18:05:52,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-29 16:21:09,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-29 14:07:24,PLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
