time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:07:04,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-02 20:13:59,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-02 20:06:16,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-02 18:06:51,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-05-02 16:21:10,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-05-02 14:06:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-05-02 12:06:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-05-02 10:15:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-02 08:06:43,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-05-02 06:08:19,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-01 22:11:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-05-01 20:16:41,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-01 17:51:28,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-05-01 16:07:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-01 14:11:26,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-01 12:11:13,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-05-01 10:06:46,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-05-01 08:08:52,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-05-01 06:08:10,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-30 22:24:17,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-30 20:15:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-30 18:24:51,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-30 16:11:34,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-30 14:15:18,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-30 12:06:27,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-30 10:06:07,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-30 06:08:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-29 22:06:01,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-29 20:06:45,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-29 18:05:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-29 16:20:53,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-29 14:07:08,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-29 12:05:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-29 10:06:54,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-29 08:08:46,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-29 06:09:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-28 23:18:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-28 20:05:29,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-28 18:22:44,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-28 16:23:41,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-28 14:09:47,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-28 12:05:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-28 10:12:14,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-28 08:06:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-28 06:12:22,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-27 22:08:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-27 18:07:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-27 16:11:47,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-27 14:05:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-27 12:12:25,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-27 10:05:31,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-27 08:06:31,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-27 06:10:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-26 22:38:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-26 20:29:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-26 18:25:23,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-26 16:05:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-26 14:08:50,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-26 12:05:08,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-26 10:18:18,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-26 08:11:52,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-26 06:12:13,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-25 23:00:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
2026-04-25 20:05:39,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-25 18:09:37,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-25 16:07:51,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-25 14:06:11,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-25 12:05:53,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-25 10:14:21,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-25 08:10:35,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-25 06:07:20,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-24 22:06:27,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-24 20:10:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-24 18:06:19,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-24 16:25:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-24 14:12:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-24 12:35:45,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-24 10:09:25,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-24 08:24:17,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-24 06:08:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-23 22:06:13,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-23 20:25:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-23 18:11:56,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-23 14:05:26,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-23 12:05:10,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-23 10:06:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-23 08:15:16,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-23 08:06:57,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-23 06:07:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-22 22:05:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-22 20:07:54,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-22 18:05:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-22 16:20:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-22 14:06:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-22 12:06:00,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-22 10:06:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-22 08:05:58,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-22 06:08:56,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-04-21 22:16:09,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-21 20:06:19,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-21 18:14:40,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-21 16:20:40,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-21 14:05:41,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-21 12:05:59,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-21 10:08:04,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-21 08:36:22,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-21 06:43:46,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-20 22:15:01,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-20 20:17:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-20 18:36:04,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-20 16:09:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-20 14:13:16,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-20 12:39:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-20 10:11:35,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-20 08:11:16,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-20 06:42:07,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-19 22:19:48,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-19 20:06:53,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-19 18:17:29,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-19 16:21:00,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-19 14:05:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-19 12:05:43,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-19 10:25:28,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-19 08:07:10,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-19 06:17:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-18 22:38:19,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-18 20:07:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-18 18:45:57,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-18 16:23:49,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-18 14:05:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-18 12:23:10,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-18 10:21:04,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-18 08:20:37,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-18 06:22:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 22:27:22,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 20:16:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 18:05:37,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-17 16:20:52,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 14:05:18,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-17 12:45:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
2026-04-17 10:12:39,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 08:37:45,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-17 06:40:07,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-16 22:28:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-16 20:11:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-16 18:07:47,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-16 16:15:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-16 14:08:18,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-16 12:07:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-16 10:07:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-16 08:07:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-16 06:28:27,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-15 22:10:26,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-15 20:12:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-15 18:07:16,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-15 16:05:35,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-15 14:13:24,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-15 12:05:48,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-15 10:10:52,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-15 08:37:18,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-15 08:08:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-15 06:27:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-14 22:06:21,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-14 20:15:47,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-14 18:35:28,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-14 16:21:38,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-14 14:06:33,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-14 12:05:47,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-14 10:35:54,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-14 08:09:23,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-14 06:18:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2026-04-13 22:07:15,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
2026-04-13 20:08:51,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-13 18:05:39,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-13 16:21:48,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-13 14:06:55,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-13 12:06:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-13 10:09:36,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-13 08:08:03,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-13 06:22:45,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-12 22:35:32,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-12 20:12:25,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-12 18:09:58,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-12 16:11:02,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2026-04-12 14:10:51,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-12 12:05:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2026-04-12 10:17:06,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026-04-12 08:06:11,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2026-04-12 06:11:30,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2026-04-11 22:10:59,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
2026-04-11 20:25:44,PNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
