time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:09:06,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 20:15:46,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 20:08:16,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 18:08:36,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 16:23:12,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 14:08:02,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 12:08:21,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 10:17:49,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 08:08:59,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-02 06:10:32,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 22:13:39,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 20:18:46,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 17:53:53,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 16:09:38,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 14:13:29,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 12:13:27,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 10:09:01,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 08:11:07,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 06:10:25,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 22:26:18,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 20:17:40,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 18:26:53,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 16:13:38,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 14:17:21,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 12:08:27,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 10:08:08,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30 06:10:00,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 22:08:11,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 20:10:08,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 18:07:50,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 16:23:05,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 14:09:15,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 12:06:53,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 10:09:05,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 08:10:44,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 06:11:14,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 23:20:08,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 20:07:12,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 18:24:40,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 16:26:04,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 14:11:23,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 12:07:27,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 10:14:30,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28 08:08:48,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
