time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg
2026-05-02 22:09:01,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2026-05-02 20:15:42,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 20:08:11,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 18:08:32,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 16:23:07,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 14:07:58,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 12:08:16,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-02 10:17:44,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-02 08:08:54,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2026-05-02 06:10:27,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-05-01 22:13:34,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 20:18:41,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 17:53:48,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-05-01 16:09:33,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 14:13:24,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 12:13:22,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-05-01 10:08:56,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-05-01 08:11:02,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-01 06:10:20,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-04-30 22:26:13,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-30 20:17:35,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2026-04-30 18:26:49,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2026-04-30 16:13:33,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 14:17:17,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 12:08:22,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2026-04-30 10:08:04,VRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
