DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,QH18,SGN,DAD,1h3m,13:22,13:22,14:25,Landed 21:25,red
02/05,QH146,DAD,HAN,,11:15,15:32,12:40,Delayed 23:34,red
01/05,QH283,HAN,SGN,1h43m,16:45,17:13,19:00,Landed 01:56,green
01/05,QH268,SGN,HAN,1h57m,13:55,14:11,16:05,Landed 23:08,green
27/04,QH1125,UIH,SGN,51m,12:00,11:58,13:15,Landed 19:50,green
27/04,QH1124,SGN,UIH,49m,10:15,10:15,11:30,Landed 18:03,green
27/04,QH251,HAN,SGN,1h49m,06:45,07:02,09:00,Landed 15:51,green
27/04,QH224,SGN,HAN,1h51m,03:25,03:37,05:35,Landed 12:28,green
26/04,QH1125,UIH,SGN,51m,12:00,12:08,13:15,Landed 19:59,green
26/04,QH1124,SGN,UIH,50m,10:15,10:21,11:30,Landed 18:11,green
26/04,QH251,HAN,SGN,1h48m,06:45,07:02,09:00,Landed 15:50,green
26/04,QH224,SGN,HAN,1h54m,03:25,03:58,05:35,Landed 12:52,yellow
25/04,QH1125,UIH,SGN,,12:00,,13:15,Unknown,
25/04,QH1124,SGN,UIH,48m,10:15,13:33,11:30,Landed 21:22,red
25/04,QH251,HAN,SGN,1h41m,06:45,10:37,09:00,Landed 19:18,red
25/04,QH224,SGN,HAN,1h55m,03:25,07:34,05:35,Landed 16:29,red
24/04,QH283,HAN,SGN,1h37m,16:45,17:42,19:00,Landed 02:19,yellow
24/04,QH268,SGN,HAN,1h48m,13:55,14:42,16:05,Landed 23:30,yellow
24/04,QH1125,UIH,SGN,45m,12:00,12:42,13:15,Landed 20:27,green
24/04,QH1124,SGN,UIH,51m,10:15,10:58,11:30,Landed 18:50,yellow
24/04,QH261,HAN,SGN,1h46m,06:50,07:25,09:05,Landed 16:12,green
24/04,QH240,SGN,HAN,1h48m,04:00,04:26,06:10,Landed 13:15,green
23/04,QH261,HAN,SGN,,06:50,,09:05,Unknown,
23/04,QH251,HAN,SGN,1h58m,04:37,04:37,06:35,Landed 13:35,red
23/04,QH240,SGN,HAN,,04:00,,06:10,Estimated dep 11:00*,green
23/04,QH224,SGN,HAN,1h53m,03:25,01:43,05:35,Landed 10:36,green
22/04,QH1125,UIH,SGN,56m,12:00,12:14,13:15,Landed 20:10,green
22/04,QH1124,SGN,UIH,48m,10:15,10:28,11:30,Landed 18:16,green
22/04,QH251,HAN,SGN,1h39m,06:45,06:51,09:00,Landed 15:30,green
22/04,QH224,SGN,HAN,1h52m,03:25,03:44,05:35,Landed 12:35,green
21/04,QH261,HAN,SGN,1h44m,06:50,09:25,09:05,Landed 18:09,red
21/04,QH240,SGN,HAN,1h49m,04:05,06:23,06:15,Landed 15:13,red
21/04,QH211,HAN,SGN,1h43m,03:10,03:26,05:25,Landed 12:09,green
21/04,QH204,SGN,HAN,1h57m,00:10,00:16,02:20,Landed 09:13,green
20/04,QH281,HAN,SGN,1h44m,14:15,14:22,16:30,Landed 23:06,green
20/04,QH1214,UIH,HAN,1h26m,11:30,11:29,13:10,Landed 19:54,green
20/04,QH1215,HAN,UIH,1h16m,09:20,09:27,11:00,Landed 17:43,green
20/04,QH242,SGN,HAN,1h51m,06:15,06:28,08:25,Landed 15:18,green
20/04,QH211,HAN,SGN,1h40m,03:10,03:23,05:25,Landed 12:02,green
20/04,QH204,SGN,HAN,1h46m,00:10,00:19,02:20,Landed 09:05,green
19/04,QH283,HAN,SGN,1h38m,16:45,17:03,19:00,Landed 01:41,green
19/04,QH268,SGN,HAN,1h46m,13:55,14:05,16:05,Landed 22:51,green
19/04,QH1125,UIH,SGN,46m,12:00,11:58,13:15,Landed 19:44,green
19/04,QH1124,SGN,UIH,49m,10:15,10:20,11:30,Landed 18:09,green
19/04,QH261,HAN,SGN,1h48m,06:50,07:07,09:05,Landed 15:55,green
19/04,QH240,SGN,HAN,1h55m,03:45,03:54,05:55,Landed 12:49,green
19/04,QH151,DAD,SGN,1h1m,01:10,01:13,02:40,Landed 09:14,green
18/04,QH150,SGN,DAD,59m,23:15,23:20,00:40,Landed 07:19,green
18/04,QH281,HAN,SGN,1h42m,19:16,19:16,20:58,Landed 03:58,red
18/04,QH146,DAD,HAN,1h2m,17:23,17:23,18:26,Landed 01:26,red
18/04,QH147,HAN,DAD,57m,15:44,15:44,16:41,Landed 23:41,red
