DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VN34,MUC,HAN,,11:35,12:02,22:20,Estimated 04:49,green
01/05,VN35,HAN,MUC,11h22m,16:40,16:55,04:20,Landed 06:17,green
01/05,VN385,HND,HAN,5h17m,07:35,07:52,13:05,Landed 20:10,green
01/05,VN384,HAN,HND,4h34m,01:05,01:06,06:05,Landed 14:40,green
30/04,VN36,FRA,HAN,10h7m,11:55,12:09,23:05,Landed 05:16,green
29/04,VN37,HAN,FRA,11h44m,16:00,16:27,04:00,Landed 06:11,green
29/04,VN385,HND,HAN,5h28m,07:35,08:01,13:05,Landed 20:29,yellow
29/04,VN384,HAN,HND,4h17m,01:05,01:11,06:05,Landed 14:28,green
28/04,VN36,FRA,HAN,10h9m,11:55,12:29,23:05,Landed 05:38,green
27/04,VN37,HAN,FRA,11h58m,16:00,16:10,04:00,Landed 06:08,green
26/04,VN56,LHR,HAN,11h3m,18:50,19:11,06:45,Landed 13:15,green
26/04,VN55,HAN,LHR,11h36m,02:55,04:49,16:50,Landed 17:25,green
26/04,VN240,SGN,HAN,1h44m,00:01,00:21,02:10,Landed 09:06,green
25/04,VN38,CPH,SGN,10h52m,09:45,10:15,21:25,Landed 04:07,green
24/04,VN39,SGN,CPH,12h45m,16:25,16:52,05:25,Landed 07:38,green
24/04,VN219,HAN,SGN,1h39m,12:00,12:22,14:10,Landed 21:01,green
24/04,VN214,SGN,HAN,1h42m,07:00,07:23,09:10,Landed 16:05,green
24/04,VN211,HAN,SGN,1h38m,04:00,04:21,06:10,Landed 12:59,green
24/04,VN208,SGN,HAN,1h43m,01:00,01:22,03:10,Landed 10:05,green
23/04,VN30,FRA,SGN,10h56m,11:35,11:58,23:25,Landed 05:54,green
22/04,VN31,SGN,FRA,12h5m,16:00,16:18,04:30,Landed 06:23,green
21/04,VN50,LHR,SGN,11h49m,18:10,19:01,07:30,Landed 13:50,green
21/04,VN51,SGN,LHR,13h7m,02:30,03:42,16:50,Landed 17:49,green
20/04,VN30,FRA,SGN,10h40m,11:35,11:50,23:25,Landed 05:30,green
19/04,VN31,SGN,FRA,12h14m,15:40,15:51,04:30,Landed 06:05,green
19/04,VN211,HAN,SGN,1h41m,04:00,04:21,06:10,Landed 13:02,green
19/04,VN208,SGN,HAN,1h47m,01:00,01:16,03:10,Landed 10:02,green
18/04,VN30,FRA,SGN,10h51m,11:45,12:01,23:35,Landed 05:51,green
17/04,VN37,HAN,FRA,11h42m,15:40,16:17,04:00,Landed 05:59,green
17/04,VN258,SGN,HAN,2h4m,12:00,12:15,14:10,Landed 21:18,green
17/04,VN273,HAN,SGN,1h45m,09:00,09:16,11:10,Landed 18:01,green
17/04,VN212,SGN,HAN,1h42m,05:00,05:24,07:10,Landed 14:05,green
17/04,VN209,HAN,SGN,1h38m,02:00,02:33,04:10,Landed 11:11,green
16/04,VN36,FRA,HAN,10h12m,11:55,11:57,23:05,Landed 05:09,green
15/04,VN37,HAN,FRA,11h54m,16:00,15:54,04:00,Landed 05:48,green
15/04,VN254,SGN,HAN,1h41m,10:00,10:29,12:10,Landed 19:10,green
15/04,VN253,HAN,SGN,1h47m,07:00,07:12,09:10,Landed 15:59,green
15/04,VN246,SGN,HAN,1h42m,04:00,04:20,06:10,Landed 13:02,green
15/04,VN245,HAN,SGN,1h46m,01:00,01:14,03:10,Landed 10:00,green
14/04,VN36,FRA,HAN,9h52m,11:55,12:01,23:05,Landed 04:53,green
13/04,VN37,HAN,FRA,11h43m,16:00,16:01,04:00,Landed 05:44,green
13/04,VN258,SGN,HAN,1h37m,12:00,12:09,14:10,Landed 20:46,green
13/04,VN247,HAN,SGN,1h45m,03:00,04:21,05:10,Landed 13:06,red
13/04,VN208,SGN,HAN,1h40m,01:00,01:13,03:10,Landed 09:54,green
12/04,VN30,FRA,SGN,10h38m,11:35,11:49,23:25,Landed 05:27,green
11/04,VN31,SGN,FRA,12h31m,16:00,16:04,04:30,Landed 06:35,green
11/04,VN780,MEL,SGN,7h55m,00:35,00:51,09:20,Landed 15:46,green
10/04,VN781,SGN,MEL,7h46m,14:25,15:10,22:35,Landed 08:57,yellow
10/04,VN259,HAN,SGN,1h44m,11:00,11:15,13:10,Landed 19:59,green
10/04,VN250,SGN,HAN,1h42m,08:00,08:14,10:10,Landed 16:56,green
09/04,VN50,LHR,SGN,11h34m,18:10,18:34,07:30,Landed 13:08,green
09/04,VN51,SGN,LHR,13h38m,02:30,02:52,16:50,Landed 17:29,green
08/04,VN30,FRA,SGN,10h31m,11:35,11:49,23:25,Landed 05:20,green
07/04,VN31,SGN,FRA,12h51m,16:00,16:36,04:30,Landed 07:27,red
07/04,VN273,HAN,SGN,1h36m,09:00,09:17,11:10,Landed 17:53,green
06/04,VN56,LHR,HAN,10h35m,17:55,18:08,05:50,Landed 11:44,green
06/04,VN55,HAN,LHR,12h36m,03:05,03:15,16:05,Landed 16:51,green
05/04,VN972,BOM,HAN,3h45m,17:40,18:21,22:25,Landed 05:05,green
05/04,VN973,HAN,BOM,4h59m,11:15,11:33,16:05,Landed 22:02,yellow
05/04,VN214,SGN,HAN,1h40m,07:00,07:18,09:10,Landed 15:58,green
05/04,VN211,HAN,SGN,1h40m,04:00,04:21,06:10,Landed 13:00,green
05/04,VN208,SGN,HAN,1h46m,01:00,01:25,03:10,Landed 10:10,green
04/04,VN38,CPH,SGN,11h3m,09:45,09:53,21:25,Landed 03:56,green
03/04,VN39,SGN,CPH,12h0m,16:25,17:11,05:25,Landed 07:11,green
02/04,VN30,FRA,SGN,11h20m,11:35,11:54,23:25,Landed 06:14,green
01/04,VN31,SGN,FRA,12h11m,16:00,16:26,04:30,Landed 06:37,green
31/03,VN50,LHR,SGN,11h53m,18:50,19:10,07:30,Landed 14:03,green
31/03,VN51,SGN,LHR,12h49m,03:25,03:39,16:50,Landed 17:28,green
30/03,VN30,FRA,SGN,11h14m,11:35,13:07,23:25,Landed 07:22,red
29/03,VN31,SGN,FRA,11h56m,16:00,16:44,04:30,Landed 06:41,green
29/03,VN249,HAN,SGN,1h48m,08:30,08:49,10:40,Landed 17:38,green
29/03,VN212,SGN,HAN,1h44m,05:00,05:32,07:10,Landed 14:16,green
29/03,VN209,HAN,SGN,1h49m,02:00,02:28,04:10,Landed 11:17,green
28/03,VN206,SGN,HAN,1h38m,23:00,23:13,01:10,Landed 07:52,green
28/03,VN7049,HAN,SGN,1h40m,14:15,16:07,16:25,Landed 00:46,red
28/03,VN220,SGN,HAN,1h35m,13:00,13:21,15:05,Landed 21:56,green
28/03,VN273,HAN,SGN,1h45m,09:00,09:14,11:10,Landed 17:59,green
28/03,VN248,SGN,HAN,1h40m,06:00,06:16,08:05,Landed 14:57,green
28/03,VN247,HAN,SGN,1h40m,03:00,03:10,05:10,Landed 11:51,green
27/03,VN7042,SGN,HAN,1h41m,23:15,23:33,01:20,Landed 08:14,green
27/03,VN221,HAN,SGN,1h46m,14:00,14:20,16:10,Landed 23:05,green
27/03,VN254,SGN,HAN,1h39m,10:00,10:17,12:05,Landed 18:56,green
27/03,VN211,HAN,SGN,1h40m,04:00,04:27,06:10,Landed 13:07,green
27/03,VN208,SGN,HAN,1h35m,01:00,01:13,03:05,Landed 09:48,green
26/03,VN790,PER,SGN,5h56m,16:45,16:59,23:05,Landed 05:56,green
26/03,VN791,SGN,PER,5h44m,08:20,08:33,14:30,Landed 22:17,green
26/03,VN247,HAN,SGN,1h39m,03:00,03:15,05:10,Landed 11:54,green
25/03,VN36,FRA,HAN,10h22m,12:55,13:15,23:30,Landed 06:37,green
24/03,VN31,SGN,FRA,12h1m,16:50,17:36,05:50,Landed 06:36,green
24/03,VN257,HAN,SGN,1h40m,10:30,13:14,12:40,Landed 21:54,red
24/03,VN252,SGN,HAN,1h44m,09:40,10:23,11:45,Landed 19:06,yellow
24/03,VN780,MEL,SGN,7h45m,00:25,00:39,08:40,Landed 15:23,green
23/03,VN781,SGN,MEL,8h0m,14:10,14:16,22:25,Landed 09:16,green
23/03,VN249,HAN,SGN,1h43m,08:30,08:44,10:40,Landed 17:28,green
23/03,VN212,SGN,HAN,1h36m,05:00,05:34,07:05,Landed 14:10,green
23/03,VN209,HAN,SGN,1h50m,02:00,02:22,04:10,Landed 11:12,green
22/03,VN36,FRA,HAN,10h16m,12:55,13:27,23:30,Landed 06:42,green
21/03,VN37,HAN,FRA,11h34m,16:25,17:00,05:00,Landed 05:34,green
21/03,VN385,HND,HAN,5h28m,07:35,07:40,13:55,Landed 20:08,green
21/03,VN384,HAN,HND,4h18m,01:35,01:37,06:05,Landed 14:55,green
20/03,VN36,FRA,HAN,10h31m,12:55,13:13,23:30,Landed 06:44,green
19/03,VN37,HAN,FRA,11h53m,16:25,17:14,05:00,Landed 06:07,green
19/03,VN220,SGN,HAN,1h46m,13:00,13:25,15:05,Landed 22:11,green
19/03,VN217,HAN,SGN,1h41m,10:00,10:09,12:10,Landed 18:50,green
19/03,VN214,SGN,HAN,1h38m,07:00,07:22,09:05,Landed 16:00,green
19/03,VN211,HAN,SGN,1h46m,04:00,04:13,06:10,Landed 12:59,green
19/03,VN208,SGN,HAN,1h37m,01:00,01:23,03:05,Landed 10:00,green
18/03,VN231,HAN,SGN,1h54m,11:30,11:52,13:40,Landed 20:46,green
17/03,VN778,MEL,HAN,9h12m,13:50,13:45,23:10,Landed 05:57,green
17/03,VN779,HAN,MEL,9h2m,02:15,02:41,11:50,Landed 22:43,green
16/03,VN56,LHR,HAN,10h43m,11:00,11:19,22:20,Landed 05:03,green
15/03,VN55,HAN,LHR,12h56m,17:45,18:25,07:15,Landed 07:21,green
15/03,VN256,SGN,HAN,1h47m,13:30,13:58,15:35,Landed 22:45,green
15/03,VN525,PVG,SGN,3h46m,07:25,07:58,11:55,Landed 18:43,green
15/03,VN524,SGN,PVG,3h30m,02:20,02:37,06:15,Landed 14:07,green
14/03,VN50,LHR,SGN,11h17m,11:00,11:35,23:10,Landed 05:52,green
13/03,VN51,SGN,LHR,13h21m,17:20,17:52,07:15,Landed 07:13,green
13/03,VN263,HAN,SGN,1h58m,13:00,13:34,15:10,Landed 22:33,yellow
13/03,VN246,SGN,HAN,1h50m,04:00,05:55,06:05,Landed 14:45,red
13/03,VN245,HAN,SGN,1h37m,01:00,01:13,03:10,Landed 09:50,green
12/03,VN778,MEL,HAN,9h11m,13:50,13:53,23:10,Landed 06:04,green
