FROM,TO,MEDIAN_FLIGHT_TIME_MIN,COUNT,MIN,MAX
AMD,HAN,238,26,225,250
AMD,SGN,279,28,260,294
BAX,HAN,355,2,351,360
BKK,DAD,78,34,71,84
BKK,HAN,89,139,79,107
BKK,SGN,74,149,68,87
BLR,HAN,236,6,230,239
BLR,SGN,246,15,231,265
BMV,DAD,43,7,40,49
BMV,HAN,89,82,83,109
BMV,HPH,81,12,78,103
BMV,SGN,36,56,30,46
BMV,VII,70,12,68,74
BNE,SGN,482,22,455,506
BOM,HAN,229,30,218,253
BOM,SGN,266,29,250,290
BQS,HAN,327,5,316,340
CAN,HAN,94,46,85,121
CAN,SGN,138,33,130,165
CDG,HAN,630,16,610,658
CDG,SGN,675,9,663,699
CEB,HAN,207,12,198,214
CGK,HAN,238,43,223,260
CGK,SGN,163,42,155,180
CPH,SGN,661,15,641,682
CXR,CSY,577,1,577,577
CXR,CZX,201,2,198,205
CXR,DAD,49,31,44,74
CXR,HAN,99,249,87,143
CXR,HGH,179,7,178,188
CXR,HPH,92,21,82,106
CXR,ICN,266,41,245,282
CXR,KCY,399,8,386,418
CXR,KHH,147,5,137,152
CXR,KJA,402,5,396,423
CXR,KMG,152,2,149,155
CXR,KNH,173,1,173,173
CXR,KZN,598,1,598,598
CXR,MFM,116,8,100,134
CXR,NGB,188,4,180,200
CXR,NKG,187,2,184,190
CXR,NQZ,470,13,453,509
CXR,OVB,428,3,428,432
CXR,PUS,252,45,230,287
CXR,PVG,196,1,196,196
CXR,SGN,41,122,33,64
CXR,SHE,308,1,308,308
CXR,SJW,249,1,249,249
CXR,SWA,127,1,127,127
CXR,TAE,257,3,241,259
CXR,TPE,173,4,166,179
CXR,TSN,251,1,251,251
CXR,TYN,242,2,239,245
CZX,CXR,211,2,211,212
DAD,BKK,87,33,80,119
DAD,BMV,41,12,35,46
DAD,CXR,50,29,45,55
DAD,HAN,63,601,56,93
DAD,HPH,56,47,48,68
DAD,ICN,236,49,217,256
DAD,KIX,242,26,223,259
DAD,KUL,148,22,141,163
DAD,MFM,83,86,75,100
DAD,MNL,127,17,119,147
DAD,NQZ,451,2,443,459
DAD,NRT,277,17,262,289
DAD,PQC,86,41,80,90
DAD,PUS,221,10,216,238
DAD,RMQ,126,13,116,152
DAD,SGN,64,544,52,106
DAD,SIN,149,23,141,165
DAD,TPE,144,6,132,160
DAD,VCA,73,33,64,92
DEL,HAN,212,42,197,229
DEL,SGN,258,36,234,272
DIN,HAN,38,29,33,58
DPS,HAN,282,20,265,303
DPS,SGN,202,69,189,222
DYG,HAN,108,1,108,108
ENH,HAN,134,2,133,136
ENH,SGN,214,7,201,221
FRA,HAN,609,38,575,635
FRA,SGN,653,21,631,685
FSZ,HAN,332,2,322,342
FUK,HAN,262,46,240,280
FUK,SGN,290,6,278,303
GAY,HAN,160,2,160,161
GMP,ICN,19,1,19,19
HAK,HAN,75,1,75,75
HAN,AMD,297,26,286,322
HAN,BAX,380,1,380,380
HAN,BKK,98,139,88,123
HAN,BLR,288,6,278,306
HAN,BMV,84,81,78,101
HAN,BOM,291,30,268,316
HAN,BQS,303,1,303,303
HAN,CAN,79,47,70,94
HAN,CDG,745,15,710,785
HAN,CEB,195,14,188,214
HAN,CGK,240,42,233,255
HAN,CXR,93,244,84,115
HAN,DAD,62,605,56,89
HAN,DEL,260,42,249,292
HAN,DIN,40,28,36,59
HAN,DPS,278,19,268,292
HAN,DYG,113,1,113,113
HAN,ENH,102,1,102,102
HAN,FRA,704,38,648,748
HAN,FSZ,270,2,270,270
HAN,FUK,213,46,195,234
HAN,GAY,189,2,181,197
HAN,HAK,62,1,62,62
HAN,HIJ,231,21,223,255
HAN,HKG,92,16,80,102
HAN,HND,258,26,246,295
HAN,HUI,53,126,50,67
HAN,HYD,259,7,249,277
HAN,ICN,225,57,206,241
HAN,IZO,228,1,228,228
HAN,KHH,120,51,111,133
HAN,KIX,236,64,214,268
HAN,KTI,93,9,89,99
HAN,KUL,174,33,167,184
HAN,LHR,747,17,696,799
HAN,LJG,103,22,93,133
HAN,LPQ,47,15,43,61
HAN,MEL,545,9,532,564
HAN,MNL,155,25,145,183
HAN,MUC,678,3,673,682
HAN,MXP,707,6,690,720
HAN,NGO,239,50,217,260
HAN,NOZ,363,3,353,369
HAN,NRT,272,82,243,314
HAN,PEK,193,11,178,209
HAN,PKX,187,22,176,199
HAN,PQC,108,161,101,130
HAN,PUS,214,43,202,236
HAN,PVG,162,51,150,184
HAN,PXU,74,60,69,81
HAN,RMQ,131,22,122,140
HAN,SAI,83,60,75,118
HAN,SGN,105,1167,94,139
HAN,SIN,182,51,173,198
HAN,SYD,543,10,532,590
HAN,SYX,71,2,65,78
HAN,TAK,238,2,235,241
HAN,TBB,82,18,78,89
HAN,THD,27,1,27,27
HAN,TPE,136,48,125,165
HAN,TSN,197,2,189,205
HAN,TXN,149,1,149,149
HAN,UBN,356,1,356,356
HAN,UIH,78,143,70,90
HAN,VCA,114,105,106,127
HAN,VCL,69,5,61,71
HAN,VDH,45,20,41,51
HAN,VII,31,43,28,44
HAN,VTE,55,31,50,58
HGH,CXR,200,7,194,211
HIJ,HAN,283,18,260,295
HKG,HAN,104,16,96,137
HKG,PQC,153,14,144,177
HKG,SGN,130,56,120,144
HKT,SGN,98,25,89,107
HND,HAN,322,27,297,340
HND,SGN,357,53,343,416
HPH,BMV,82,11,78,89
HPH,CXR,88,17,83,93
HPH,DAD,59,45,51,79
HPH,HAN,34,1,34,34
