Time_recorded,METAR
2026-05-02 14:53:00,METAR KBCT 021453Z 18008KT 10SM FEW024 FEW030 FEW035 30/24 A2989
2026-05-02 12:49:00,METAR KBCT 021249Z 19008KT 160V220 10SM CLR 28/23 A2989
2026-05-02 11:53:00,METAR KBCT 021153Z VRB03KT 10SM FEW030 25/22 A2989
2026-05-02 11:00:00,METAR KBCT 021100Z 00000KT 10SM FEW019 22/20 A2990
2026-05-02 10:15:00,METAR KBCT 021015Z AUTO 14001KT 10SM SCT021 OVC075 22/20 A2989 RMK AO2
2026-05-02 09:56:00,METAR KBCT 020956Z AUTO 18002KT 10SM FEW021 OVC075 23/20 A2989 RMK AO2
2026-05-02 09:35:00,METAR KBCT 020935Z AUTO 23002KT 10SM FEW065 OVC075 23/20 A2989 RMK AO2
2026-05-02 09:15:00,METAR KBCT 020915Z AUTO 20002KT 10SM BKN065 OVC075 22/20 A2989 RMK AO2
2026-05-02 08:55:00,METAR KBCT 020855Z AUTO 21002KT 10SM OVC070 23/20 A2989 RMK AO2
2026-05-02 08:35:00,METAR KBCT 020835Z AUTO 21002KT 10SM OVC070 23/20 A2989 RMK AO2
2026-05-02 08:15:00,METAR KBCT 020815Z AUTO 22002KT 10SM OVC070 23/20 A2988 RMK AO2
2026-05-02 07:55:00,METAR KBCT 020755Z AUTO 24002KT 10SM BKN070 23/20 A2989 RMK AO2
2026-05-02 07:35:00,METAR KBCT 020735Z AUTO 25003KT 10SM SCT070 24/20 A2988 RMK AO2
2026-05-02 07:15:00,METAR KBCT 020715Z AUTO 24005KT 10SM BKN070 23/20 A2989 RMK AO2
2026-05-02 06:55:00,METAR KBCT 020655Z AUTO 28005KT 10SM CLR 24/20 A2989 RMK AO2
2026-05-02 06:35:00,METAR KBCT 020635Z AUTO 29003KT 10SM FEW018 24/20 A2990 RMK AO2
2026-05-02 06:15:00,METAR KBCT 020615Z AUTO 30004KT 10SM SCT020 24/20 A2990 RMK AO2
2026-05-02 05:55:00,METAR KBCT 020555Z AUTO 30004KT 10SM FEW021 24/20 A2990 RMK AO2 10269 20233
2026-05-02 05:35:00,METAR KBCT 020535Z AUTO 24002KT 10SM CLR 24/20 A2990 RMK AO2
2026-05-02 05:15:00,METAR KBCT 020515Z AUTO 20003KT 10SM CLR 25/20 A2990 RMK AO2
2026-05-02 04:55:00,METAR KBCT 020455Z AUTO 21004KT 10SM SCT022 25/20 A2991 RMK AO2
2026-05-02 04:35:00,METAR KBCT 020435Z AUTO 21004KT 10SM BKN024 25/23 A2991 RMK AO2
2026-05-02 04:15:00,METAR KBCT 020415Z AUTO 19006KT 10SM SCT024 26/23 A2991 RMK AO2
2026-05-02 03:55:00,METAR KBCT 020355Z AUTO 19005KT 10SM CLR 26/22 A2992 RMK AO2 403080199
2026-05-02 03:35:00,METAR KBCT 020335Z AUTO 18006KT 10SM CLR 26/22 A2991 RMK AO2
2026-05-02 03:15:00,METAR KBCT 020315Z AUTO 16007KT 10SM CLR 26/22 A2991 RMK AO2
2026-05-02 02:53:00,METAR KBCT 020253Z 19008G14KT 10SM CLR 26/21 A2990
2026-05-02 01:53:00,METAR KBCT 020153Z 19008G14KT 10SM CLR 26/21 A2990
2026-05-02 00:53:00,METAR KBCT 020053Z 18010G14KT 10SM CLR 27/21 A2988
2026-05-01 23:53:00,METAR KBCT 012353Z 17009G15KT 10SM FEW060 27/21 A2986
2026-05-01 21:53:00,METAR KBCT 012153Z 17009G14KT 10SM FEW065 29/21 A2985
2026-05-01 20:53:00,METAR KBCT 012053Z 16011KT 10SM FEW032 FEW060 29/21 A2985
2026-05-01 19:53:00,METAR KBCT 011953Z 15010KT 10SM FEW036 FEW055 30/21 A2986
2026-05-01 18:53:00,METAR KBCT 011853Z 14010G14KT 10SM FEW055 30/20 A2989
2026-05-01 17:47:00,METAR KBCT 011747Z 16010KT 10SM CLR 30/19 A2990
2026-05-01 16:53:00,METAR KBCT 011653Z 13008KT 10SM FEW049 30/20 A2991
2026-05-01 16:04:00,METAR KBCT 011604Z 24009KT 10SM FEW043 30/18 A2993
2026-05-01 14:53:00,METAR KBCT 011453Z 25004KT 10SM FEW036 26/21 A2993
2026-05-01 13:51:00,METAR KBCT 011351Z 26004KT 10SM CLR 26/21 A2994
2026-05-01 12:54:00,METAR KBCT 011254Z 27005KT 10SM CLR 24/22 A2994
2026-05-01 11:52:00,METAR KBCT 011152Z 29005KT 10SM CLR 23/21 A2994
2026-05-01 11:00:00,METAR KBCT 011100Z 25004KT 10SM CLR 21/20 A2992
2026-05-01 10:15:00,METAR KBCT 011015Z AUTO 24003KT 10SM CLR 21/19 A2990 RMK AO2
2026-05-01 09:55:00,METAR KBCT 010955Z AUTO 25004KT 10SM CLR 21/20 A2990 RMK AO2
2026-05-01 09:35:00,METAR KBCT 010935Z AUTO 24003KT 10SM CLR 21/20 A2990 RMK AO2
2026-05-01 09:15:00,METAR KBCT 010915Z AUTO 24004KT 10SM CLR 21/19 A2989 RMK AO2
2026-05-01 08:55:00,METAR KBCT 010855Z AUTO 25004KT 10SM CLR 21/19 A2990 RMK AO2
2026-05-01 08:35:00,METAR KBCT 010835Z AUTO 24004KT 10SM CLR 22/19 A2989 RMK AO2
2026-05-01 08:15:00,METAR KBCT 010815Z AUTO 25005KT 10SM CLR 22/19 A2989 RMK AO2
2026-05-01 07:55:00,METAR KBCT 010755Z AUTO 25004KT 10SM CLR 22/19 A2989 RMK AO2
2026-05-01 07:35:00,METAR KBCT 010735Z AUTO 27004KT 10SM CLR 23/19 A2988 RMK AO2
2026-05-01 07:15:00,METAR KBCT 010715Z AUTO 26005KT 10SM CLR 23/19 A2988 RMK AO2
2026-05-01 06:55:00,METAR KBCT 010655Z AUTO 26004KT 10SM CLR 23/19 A2988 RMK AO2
2026-05-01 06:35:00,METAR KBCT 010635Z AUTO 27004KT 10SM FEW050 23/18 A2989 RMK AO2
2026-05-01 06:15:00,METAR KBCT 010615Z AUTO 27005KT 10SM BKN050 24/18 A2990 RMK AO2
2026-05-01 05:55:00,METAR KBCT 010555Z AUTO 27004KT 10SM CLR 23/18 A2990 RMK AO2 10268 20232
2026-05-01 05:35:00,METAR KBCT 010535Z AUTO 24005KT 10SM CLR 24/18 A2990 RMK AO2
2026-05-01 05:15:00,METAR KBCT 010515Z AUTO 25004KT 10SM CLR 23/18 A2990 RMK AO2
2026-05-01 04:55:00,METAR KBCT 010455Z AUTO 22005KT 10SM CLR 24/18 A2990 RMK AO2
2026-05-01 04:35:00,METAR KBCT 010435Z AUTO 24007KT 10SM CLR 24/18 A2991 RMK AO2
2026-05-01 04:15:00,METAR KBCT 010415Z AUTO 26006KT 10SM CLR 25/18 A2991 RMK AO2
2026-05-01 03:55:00,METAR KBCT 010355Z AUTO 26007KT 10SM CLR 25/18 A2991 RMK AO2 403140212
2026-05-01 03:35:00,METAR KBCT 010335Z AUTO 28007KT 10SM CLR 25/18 A2991 RMK AO2
2026-05-01 03:15:00,METAR KBCT 010315Z AUTO 27006KT 10SM CLR 26/18 A2990 RMK AO2
2026-04-30 22:53:00,METAR KBCT 302253Z 16009G18KT 130V210 10SM FEW050 SCT065 28/21 A2984
2026-04-30 21:53:00,METAR KBCT 302153Z 16009KT 10SM SCT065 28/20 A2984
