Time_recorded,METAR
2026-05-02 15:20:00,METAR EDDB 021520Z AUTO 20008KT CAVOK 26/04 Q1017 NOSIG
2026-05-02 14:50:00,METAR EDDB 021450Z AUTO 19008KT 150V230 CAVOK 26/05 Q1018 NOSIG
2026-05-02 14:20:00,METAR EDDB 021420Z AUTO 20010KT 170V230 CAVOK 25/05 Q1018 NOSIG
2026-05-02 13:50:00,METAR EDDB 021350Z AUTO 19012KT 150V220 CAVOK 26/05 Q1019 NOSIG
2026-05-02 13:20:00,METAR EDDB 021320Z AUTO 20008KT 160V240 CAVOK 25/06 Q1019 NOSIG
2026-05-02 12:50:00,METAR EDDB 021250Z AUTO 18011KT CAVOK 25/07 Q1020 NOSIG
2026-05-02 12:20:00,METAR EDDB 021220Z AUTO 20009KT 150V240 CAVOK 25/06 Q1020 NOSIG
2026-05-02 11:50:00,METAR EDDB 021150Z AUTO 20008KT 170V240 CAVOK 24/06 Q1020 NOSIG
2026-05-02 11:20:00,METAR EDDB 021120Z AUTO 20010KT 170V230 CAVOK 24/06 Q1021 NOSIG
2026-05-02 10:50:00,METAR EDDB 021050Z AUTO 18010KT 150V210 CAVOK 24/06 Q1021 NOSIG
2026-05-02 10:20:00,METAR EDDB 021020Z AUTO 20010KT 160V230 CAVOK 23/06 Q1022 NOSIG
2026-05-02 09:50:00,METAR EDDB 020950Z AUTO 20010KT 160V230 CAVOK 23/06 Q1022 NOSIG
2026-05-02 09:20:00,METAR EDDB 020920Z AUTO 20011KT 170V230 CAVOK 23/06 Q1022 NOSIG
2026-05-02 08:50:00,METAR EDDB 020850Z AUTO 19009KT 160V220 CAVOK 22/07 Q1023 NOSIG
2026-05-02 08:20:00,METAR EDDB 020820Z AUTO 20009KT 170V230 CAVOK 21/07 Q1023 NOSIG
2026-05-02 07:50:00,METAR EDDB 020750Z AUTO 21007KT 170V230 CAVOK 19/08 Q1023 NOSIG
2026-05-02 07:20:00,METAR EDDB 020720Z AUTO 20005KT 160V220 CAVOK 18/08 Q1023 NOSIG
2026-05-02 06:50:00,METAR EDDB 020650Z AUTO 18003KT 150V240 CAVOK 17/07 Q1023 NOSIG
