Time_recorded,METAR
2026-05-02 15:30:00,METAR VTBS 021530Z 19011KT 9999 FEW020 30/25 Q1009 NOSIG
2026-05-02 15:00:00,METAR VTBS 021500Z 20012KT 9999 FEW020 31/25 Q1009 NOSIG
2026-05-02 14:30:00,METAR VTBS 021430Z 20012KT 9999 FEW020 31/25 Q1009 NOSIG
2026-05-02 14:00:00,METAR VTBS 021400Z 20012KT 9999 FEW020 31/25 Q1009 NOSIG
2026-05-02 13:30:00,METAR VTBS 021330Z 21011KT 9999 FEW020 31/24 Q1008 NOSIG
2026-05-02 13:00:00,METAR VTBS 021300Z 21012KT 9999 FEW020 31/24 Q1007 NOSIG
2026-05-02 12:30:00,METAR VTBS 021230Z 20011KT 9999 FEW020 31/24 Q1006 NOSIG
2026-05-02 12:00:00,METAR VTBS 021200Z 19011KT 9999 FEW020 32/23 Q1006 NOSIG
2026-05-02 11:30:00,METAR VTBS 021130Z 19011KT 9999 FEW020 32/22 Q1006 NOSIG
2026-05-02 11:00:00,METAR VTBS 021100Z 20009KT 9999 FEW020 32/22 Q1006 NOSIG
2026-05-02 10:30:00,METAR VTBS 021030Z 18011KT 9999 FEW020 34/22 Q1006 NOSIG
2026-05-02 10:00:00,METAR VTBS 021000Z 18012KT 9999 FEW020 34/22 Q1006 NOSIG
2026-05-02 09:30:00,METAR VTBS 020930Z 18014KT 9999 FEW020 35/21 Q1006 NOSIG
2026-05-02 09:00:00,METAR VTBS 020900Z 20012KT 9999 FEW020 35/21 Q1006 NOSIG
2026-05-02 08:30:00,METAR VTBS 020830Z 20012KT 170V240 9999 FEW020 35/20 Q1006 NOSIG
2026-05-02 08:00:00,METAR VTBS 020800Z 21011KT 170V240 9999 FEW020 36/21 Q1006 NOSIG
2026-05-02 07:30:00,METAR VTBS 020730Z 20010KT 180V260 9999 FEW020 36/20 Q1007 NOSIG
2026-05-02 07:00:00,METAR VTBS 020700Z 20012KT 170V240 9999 FEW020 36/21 Q1007 NOSIG
2026-05-02 06:30:00,METAR VTBS 020630Z 19009KT 130V230 9999 FEW020 36/21 Q1008 NOSIG
2026-05-02 06:00:00,METAR VTBS 020600Z 19009KT 160V220 9999 FEW020 35/23 Q1009 NOSIG
2026-05-02 05:30:00,METAR VTBS 020530Z 22007KT 190V260 9999 FEW020 34/23 Q1009 NOSIG
2026-05-02 05:00:00,METAR VTBS 020500Z 20007KT 160V250 9999 FEW020 34/24 Q1009 NOSIG
2026-05-02 04:30:00,METAR VTBS 020430Z 21006KT 160V260 9999 FEW020 35/25 Q1010 NOSIG
2026-05-02 04:00:00,METAR VTBS 020400Z 22007KT 180V250 9999 FEW020 33/24 Q1010 NOSIG
2026-05-02 03:30:00,METAR VTBS 020330Z 21007KT 150V250 9999 FEW020 32/25 Q1010 NOSIG
2026-05-02 03:00:00,METAR VTBS 020300Z 21005KT 150V250 9999 FEW020 31/25 Q1011 NOSIG
2026-05-02 02:30:00,METAR VTBS 020230Z 11003KT 070V150 9999 FEW020 BKN100 30/25 Q1011 NOSIG
2026-05-02 02:00:00,METAR VTBS 020200Z 09005KT 060V160 9999 FEW020 BKN100 29/25 Q1011 NOSIG
2026-05-02 01:30:00,METAR VTBS 020130Z 10007KT 080V150 9999 FEW020CB BKN080 28/26 Q1010 RETS NOSIG
2026-05-02 01:00:00,METAR VTBS 020100Z 10004KT 060V170 9999 -TSRA FEW020CB BKN080 28/24 Q1010 NOSIG
2026-05-02 00:30:00,METAR VTBS 020030Z VRB02KT 8000 -TSRA FEW018CB SCT030 BKN080 27/24 Q1010 NOSIG
2026-05-02 00:00:00,METAR VTBS 020000Z 32005KT 8000 -RA FEW012 SCT018CB BKN030 27/25 Q1010 NOSIG
2026-05-01 23:30:00,METAR VTBS 012330Z 06004KT 350V110 9000 -RA FEW012 FEW018CB BKN025 27/25 Q1009 NOSIG
2026-05-01 23:00:00,METAR VTBS 012300Z 09007KT 9999 -RA FEW018CB SCT030 27/25 Q1009 NOSIG
2026-05-01 22:30:00,METAR VTBS 012230Z 09005KT 9999 FEW020CB SCT040 27/24 Q1009 NOSIG
2026-05-01 22:00:00,METAR VTBS 012200Z 08004KT 9999 FEW020 27/24 Q1009 NOSIG
2026-05-01 21:30:00,METAR VTBS 012130Z 05006KT 9999 FEW020 27/24 Q1008 NOSIG
2026-05-01 21:00:00,METAR VTBS 012100Z 02004KT 9999 FEW020 26/25 Q1008 NOSIG
2026-05-01 20:30:00,METAR VTBS 012030Z VRB02KT 9999 SCT020 27/25 Q1008 NOSIG
2026-05-01 20:00:00,METAR VTBS 012000Z 02005KT 9999 FEW020 27/24 Q1008 NOSIG
2026-05-01 19:30:00,METAR VTBS 011930Z 21005KT 9999 FEW020 30/25 Q1008 NOSIG
2026-05-01 19:00:00,METAR VTBS 011900Z 21005KT 9999 FEW020 30/25 Q1009 NOSIG
2026-05-01 18:30:00,METAR VTBS 011830Z 21006KT 9999 FEW020 30/25 Q1009 NOSIG
2026-05-01 18:00:00,METAR VTBS 011800Z 20008KT 9999 FEW020 30/25 Q1009 NOSIG
2026-05-01 17:30:00,METAR VTBS 011730Z 19008KT 9999 FEW020 30/25 Q1010 NOSIG
2026-05-01 17:00:00,METAR VTBS 011700Z 19009KT 9999 FEW020 30/25 Q1010 NOSIG
2026-05-01 16:30:00,METAR VTBS 011630Z 16006KT 9999 SCT020 31/24 Q1011 NOSIG
2026-05-01 16:00:00,METAR VTBS 011600Z 15006KT 120V190 9999 SCT020 31/24 Q1011 NOSIG
2026-05-01 15:30:00,METAR VTBS 011530Z 11005KT 080V170 9999 FEW020 30/24 Q1010 NOSIG
2026-05-01 15:00:00,METAR VTBS 011500Z 12006KT 100V160 9999 FEW020 30/24 Q1010 NOSIG
2026-05-01 14:30:00,METAR VTBS 011430Z 19010KT 9999 FEW020 31/24 Q1010 NOSIG
2026-05-01 14:00:00,METAR VTBS 011400Z 19012KT 9999 FEW020 31/24 Q1009 NOSIG
2026-05-01 13:30:00,METAR VTBS 011330Z 19011KT 9999 FEW020 31/23 Q1009 NOSIG
2026-05-01 13:00:00,METAR VTBS 011300Z 19011KT 9999 FEW020 31/24 Q1008 NOSIG
2026-05-01 12:30:00,METAR VTBS 011230Z 19013KT 9999 FEW020 30/24 Q1008 NOSIG
2026-05-01 12:00:00,METAR VTBS 011200Z 19011KT 9999 FEW020 31/24 Q1008 NOSIG
2026-05-01 11:30:00,METAR VTBS 011130Z 19010KT 9999 FEW020 31/23 Q1007 NOSIG
2026-05-01 11:00:00,METAR VTBS 011100Z 20010KT 9999 FEW020 32/22 Q1007 NOSIG
2026-05-01 10:30:00,METAR VTBS 011030Z 21010KT 9999 FEW020 33/22 Q1007 NOSIG
2026-05-01 10:00:00,METAR VTBS 011000Z 23011KT 190V250 9999 FEW020 34/22 Q1006 NOSIG
2026-05-01 09:30:00,METAR VTBS 010930Z 24011KT 210V270 9999 FEW020 34/21 Q1006 NOSIG
2026-05-01 09:00:00,METAR VTBS 010900Z 23010KT 200V270 9999 FEW020 34/22 Q1007 NOSIG
2026-05-01 08:30:00,METAR VTBS 010830Z 21010KT 180V240 9999 FEW020 SCT040 35/23 Q1007 NOSIG
2026-05-01 08:00:00,METAR VTBS 010800Z 30005KT 240V350 9999 FEW020 SCT040 34/24 Q1007 NOSIG
2026-05-01 07:30:00,METAR VTBS 010730Z 34006KT 300V010 9999 FEW020 SCT040 32/24 Q1008 NOSIG
2026-05-01 07:00:00,METAR VTBS 010700Z 32008KT 9999 FEW020CB SCT040 30/23 Q1009 NOSIG
2026-05-01 06:30:00,METAR VTBS 010630Z 32008KT 9999 -RA FEW020CB SCT035 30/23 Q1009 NOSIG
2026-05-01 06:00:00,METAR VTBS 010600Z VRB03KT 9999 FEW020CB SCT080 31/25 Q1009 RETS NOSIG
2026-05-01 05:30:00,METAR VTBS 010530Z 02008KT 9999 4000N -TSRA FEW020CB SCT030 BKN040 30/24 Q1010 BECMG TL0600 NSW
2026-05-01 05:00:00,METAR VTBS 010500Z 10008KT 050V150 9999 4000N -TSRA FEW010 FEW020CB SCT030 BKN040 29/26 Q1010 RERA BECMG TL0530 NSW
2026-05-01 04:30:00,METAR VTBS 010430Z 22003KT 170V290 9999 SCT030 BKN040 33/23 Q1010 NOSIG
2026-05-01 04:00:00,METAR VTBS 010400Z 15005KT 090V210 9999 FEW030 35/24 Q1010 NOSIG
2026-05-01 03:30:00,METAR VTBS 010330Z 04003KT 350V120 9999 FEW030 33/23 Q1010 NOSIG
2026-05-01 03:00:00,METAR VTBS 010300Z 14007KT 080V170 9999 FEW030 33/24 Q1011 NOSIG
2026-05-01 02:30:00,METAR VTBS 010230Z 13008KT 100V170 9999 FEW025 32/24 Q1011 NOSIG
2026-05-01 02:00:00,METAR VTBS 010200Z 12007KT 080V190 9999 FEW020 31/24 Q1011 NOSIG
2026-05-01 01:30:00,METAR VTBS 010130Z 11008KT 080V160 9999 FEW020 30/24 Q1011 NOSIG
2026-05-01 01:00:00,METAR VTBS 010100Z 10008KT 080V150 9999 FEW020 29/24 Q1011 NOSIG
2026-05-01 00:30:00,METAR VTBS 010030Z 10004KT 070V190 9999 FEW020 28/25 Q1010 NOSIG
2026-05-01 00:00:00,METAR VTBS 010000Z 10003KT 030V130 9999 FEW020 27/24 Q1010 NOSIG
2026-04-30 23:30:00,METAR VTBS 302330Z VRB02KT 9999 FEW020 27/24 Q1010 NOSIG
2026-04-30 23:00:00,METAR VTBS 302300Z 07003KT 010V110 9999 FEW020 27/24 Q1009 NOSIG
2026-04-30 22:30:00,METAR VTBS 302230Z 05004KT 360V090 9999 FEW020 26/24 Q1009 NOSIG
2026-04-30 22:00:00,METAR VTBS 302200Z 05004KT 020V100 9999 FEW020 26/23 Q1009 NOSIG
2026-04-30 21:30:00,METAR VTBS 302130Z 05006KT 010V080 9999 FEW020 26/23 Q1009 NOSIG
2026-04-30 21:00:00,METAR VTBS 302100Z 06007KT 9999 FEW020 27/23 Q1009 NOSIG
2026-04-30 20:30:00,METAR VTBS 302030Z 01009KT 9999 FEW020 26/23 Q1009 NOSIG
2026-04-30 20:00:00,METAR VTBS 302000Z 01012KT 9999 FEW020 SCT040 26/23 Q1009 NOSIG
