Time_recorded,METAR
2026-05-02 15:30:00,METAR LFPG 021530Z 21014KT CAVOK 25/08 Q1014 NOSIG
2026-05-02 15:00:00,METAR LFPG 021500Z 20014KT CAVOK 25/07 Q1014 TEMPO 3000 SHRA FEW050CB
2026-05-02 14:30:00,METAR LFPG 021430Z 18013KT 160V230 CAVOK 25/09 Q1015 TEMPO 3000 SHRA FEW050CB
2026-05-02 14:00:00,METAR LFPG 021400Z 17013KT 130V210 CAVOK 25/09 Q1015 TEMPO 3000 SHRA FEW050CB
2026-05-02 13:30:00,METAR LFPG 021330Z 16012KT CAVOK 25/11 Q1015 TEMPO 3000 SHRA FEW050CB
2026-05-02 13:00:00,METAR LFPG 021300Z 16011KT 130V190 9999 BKN043 SCT063 BKN260 24/14 Q1016 NOSIG
2026-05-02 12:30:00,METAR LFPG 021230Z 15010KT 110V190 9999 BKN036 SCT060 BKN260 23/13 Q1016 NOSIG
2026-05-02 12:00:00,METAR LFPG 021200Z 16011G23KT 110V190 9999 BKN033 SCT060 BKN260 24/14 Q1016 NOSIG
2026-05-02 11:30:00,METAR LFPG 021130Z 14010KT 100V200 9999 BKN030 BKN260 23/14 Q1017 NOSIG
2026-05-02 11:00:00,METAR LFPG 021100Z 14008KT 050V180 9999 SCT030 BKN260 23/14 Q1017 NOSIG
2026-05-02 10:30:00,METAR LFPG 021030Z 14008G19KT 110V180 9999 FEW024 BKN260 22/14 Q1018 NOSIG
2026-05-02 10:00:00,METAR LFPG 021000Z 13008KT 110V170 9999 FEW023 BKN260 21/14 Q1018 NOSIG
2026-05-02 09:30:00,METAR LFPG 020930Z 14007KT 080V190 9999 FEW025 BKN260 21/14 Q1018 NOSIG
2026-05-02 09:00:00,METAR LFPG 020900Z VRB04G14KT CAVOK 20/14 Q1019 NOSIG
2026-05-02 08:30:00,METAR LFPG 020830Z VRB03KT CAVOK 20/14 Q1019 NOSIG
2026-05-02 08:00:00,METAR LFPG 020800Z VRB03KT CAVOK 18/14 Q1019 NOSIG
2026-05-02 07:30:00,METAR LFPG 020730Z VRB02KT CAVOK 17/15 Q1019 NOSIG
2026-05-02 07:00:00,METAR LFPG 020700Z 17004KT 140V200 8000 FEW002 SCT110 BKN260 16/14 Q1019 NOSIG
2026-05-02 06:30:00,METAR LFPG 020630Z 15003KT 8000 FEW003 BKN260 16/14 Q1019 NOSIG
2026-05-02 06:00:00,METAR LFPG 020600Z 16004KT 8000 NSC 15/14 Q1019 NOSIG
2026-05-02 05:30:00,METAR LFPG 020530Z VRB03KT 6000 0650SE R27L/P2000 R09R/P2000 R26R/P2000 R08L/1000U R26L/P2000 R08R/1500U R27R/P2000 R09L/P2000 BCFG FEW002 BKN260 15/14 Q1019 NOSIG
2026-05-02 05:00:00,METAR LFPG 020500Z 15002KT 6000 0650SE R27L/P2000 R09R/P2000 R26R/P2000 R08L/P2000 R26L/1200U R08R/1700D R27R/P2000 R09L/P2000 BCFG FEW003 BKN260 14/13 Q1019 NOSIG
2026-05-02 04:30:00,METAR LFPG 020430Z VRB02KT 6000 NSC 14/13 Q1019 NOSIG
2026-05-02 04:00:00,METAR LFPG 020400Z 16003KT 8000 NSC 14/13 Q1019 NOSIG
2026-05-02 03:30:00,METAR LFPG 020330Z 14003KT 8000 NSC 14/13 Q1019 NOSIG
2026-05-02 03:00:00,METAR LFPG 020300Z 15005KT CAVOK 15/13 Q1019 NOSIG
2026-05-02 02:30:00,METAR LFPG 020230Z 16004KT CAVOK 15/13 Q1019 NOSIG
2026-05-02 02:00:00,METAR LFPG 020200Z 17003KT 9000 NSC 15/13 Q1020 NOSIG
2026-05-02 01:30:00,METAR LFPG 020130Z 18004KT CAVOK 15/13 Q1020 NOSIG
2026-05-02 01:00:00,METAR LFPG 020100Z 18005KT CAVOK 16/14 Q1020 NOSIG
2026-05-02 00:30:00,METAR LFPG 020030Z 15004KT CAVOK 16/14 Q1020 NOSIG
2026-05-02 00:00:00,METAR LFPG 020000Z 18003KT 9999 FEW046 SCT060 16/14 Q1020 NOSIG
2026-05-01 23:30:00,METAR LFPG 012330Z VRB02KT 9999 FEW046 SCT110 16/14 Q1020 NOSIG
2026-05-01 23:00:00,METAR LFPG 012300Z VRB02KT 9999 FEW046 SCT066 16/14 Q1020 NOSIG
2026-05-01 22:30:00,METAR LFPG 012230Z 17005KT 140V200 9999 FEW053CB SCT073 BKN096 17/14 Q1020 NOSIG
2026-05-01 22:00:00,METAR LFPG 012200Z 15009KT 9999 FEW053CB SCT073 BKN096 17/14 Q1021 NOSIG
2026-05-01 21:30:00,METAR LFPG 012130Z 14008KT 9999 FEW060CB BKN096 18/14 Q1020 TEMPO 4000-TSRA SCT040CB
2026-05-01 21:00:00,METAR LFPG 012100Z 12010KT 9999 FEW040TCU BKN096 18/14 Q1021 TEMPO 2500 -TSRA SCT040CB
2026-05-01 20:30:00,METAR LFPG 012030Z 16005KT 110V200 9999 FEW040CB BKN096 18/15 Q1021 TEMPO 2500 -TSRA SCT040CB
2026-05-01 20:00:00,METAR LFPG 012000Z 19005KT 9999 -SHRA FEW040CB SCT063 BKN110 18/15 Q1020 TEMPO VRB15G25KT 2500 -TSRAGR SCT040CB
2026-05-01 19:30:00,METAR LFPG 011930Z VRB02KT 9999 FEW040CB SCT055 BKN130 18/15 Q1020 TEMPO VRB15G25KT 2500 -TSRAGR SCT040CB
2026-05-01 19:00:00,METAR LFPG 011900Z 12006KT 9999 -SHRA FEW040CB SCT046 BKN083 18/14 Q1020 RETSRA TEMPO VRB15G25KT 2500 -TSRAGR SCT040CB
2026-05-01 18:30:00,METAR LFPG 011830Z 15014KT 9999 -TSRA FEW040CB SCT046 BKN096 18/14 Q1021 TEMPO VRB15G25KT 2500 -TSRAGR SCT040CB
2026-05-01 18:00:00,METAR LFPG 011800Z 24006KT 9999 -TSRA FEW053CB SCT060 BKN100 21/12 Q1020 TEMPO VRB15G25KT 2500 -TSRAGR SCT040CB
2026-05-01 17:30:00,METAR LFPG 011730Z 25011KT 9999 VCSH FEW053CB SCT060 BKN130 21/12 Q1019 TEMPO 4000 -TSRA SCT040CB
2026-05-01 17:00:00,METAR LFPG 011700Z 20008KT 9999 VCSH FEW053CB SCT060 24/12 Q1019 TEMPO 4000 -TSRA SCT040CB
2026-05-01 16:30:00,METAR LFPG 011630Z VRB05KT 9999 FEW053CB 25/11 Q1019 TEMPO 4000 -TSRA SCT040CB
2026-05-01 16:00:00,METAR LFPG 011600Z 16006KT 120V190 9999 FEW053TCU SCT060 24/12 Q1019 TEMPO 4000 -TSRA SCT040CB
2026-05-01 15:30:00,METAR LFPG 011530Z 15007KT 120V180 9999 FEW050CB SCT056 24/11 Q1020 TEMPO 4000 -TSRA SCT040CB
2026-05-01 15:00:00,METAR LFPG 011500Z 14005KT 100V190 CAVOK 24/11 Q1020 TEMPO 4000 -TSRA SCT040CB
2026-05-01 14:30:00,METAR LFPG 011430Z 17007KT 110V230 CAVOK 25/11 Q1020 TEMPO 4000 -TSRA SCT040CB
2026-05-01 14:00:00,METAR LFPG 011400Z VRB06KT CAVOK 25/11 Q1021 NOSIG
2026-05-01 13:30:00,METAR LFPG 011330Z 15007KT 090V190 CAVOK 25/10 Q1021 NOSIG
