Time_recorded,METAR
2026-05-02 15:35:00,METAR KMQS 021535Z AUTO 34007KT 10SM BKN200 BKN220 11/01 A2992 RMK AO2 T01150011
2026-05-02 15:15:00,METAR KMQS 021515Z AUTO VRB06KT 10SM BKN200 11/02 A2993 RMK AO2 T01090019
2026-05-02 14:55:00,METAR KMQS 021455Z AUTO 35008KT 10SM BKN210 11/02 A2992 RMK AO2 T01070022 58002
2026-05-02 14:35:00,METAR KMQS 021435Z AUTO 02009KT 10SM BKN220 10/02 A2992 RMK AO2 T01020019
2026-05-02 14:15:00,METAR KMQS 021415Z AUTO 02009KT 10SM FEW200 SCT230 10/02 A2992 RMK AO2 T00990016
2026-05-02 13:55:00,METAR KMQS 021355Z AUTO 36007KT 10SM FEW022 BKN230 09/04 A2992 RMK AO2 T00920044
2026-05-02 13:35:00,METAR KMQS 021335Z AUTO 33010KT 10SM BKN021 BKN230 09/05 A2993 RMK AO2 CIG 018V024 BKN021 V SCT T00920048
2026-05-02 13:15:00,METAR KMQS 021315Z AUTO 35011KT 10SM BKN020 BKN075 09/05 A2993 RMK AO2 CIG 018V023 T00860048
2026-05-02 12:55:00,METAR KMQS 021255Z AUTO 36010KT 10SM BKN018 BKN024 OVC080 08/05 A2993 RMK AO2 CIG 017V021 T00840051
2026-05-02 12:35:00,METAR KMQS 021235Z AUTO 35010G17KT 10SM SCT018 SCT024 BKN090 08/05 A2993 RMK AO2 T00820050
2026-05-02 12:15:00,METAR KMQS 021215Z AUTO 33009KT 10SM BKN015 BKN095 08/05 A2992 RMK AO2 CIG 014V019 T00810052
2026-05-02 11:55:00,METAR KMQS 021155Z AUTO 32012KT 10SM BKN015 07/05 A2992 RMK AO2 CIG 014V018 T00740051 10101 20074 53013
2026-05-02 11:35:00,METAR KMQS 021135Z AUTO 32010KT 10SM SCT015 07/05 A2992 RMK AO2 T00740054
2026-05-02 11:15:00,METAR KMQS 021115Z AUTO 32008KT 10SM FEW017 SCT250 08/05 A2991 RMK AO2 T00770053
2026-05-02 10:55:00,METAR KMQS 021055Z AUTO 31009KT 9SM FEW016 BKN085 08/06 A2990 RMK AO2 T00780057
2026-05-02 10:35:00,METAR KMQS 021035Z AUTO 31012KT 9SM SCT016 BKN023 OVC095 08/06 A2990 RMK AO2 T00790063
2026-05-02 10:15:00,METAR KMQS 021015Z AUTO 30014KT 10SM BKN019 BKN025 08/06 A2989 RMK AO2 CIG 016V023 T00810062
2026-05-02 09:55:00,METAR KMQS 020955Z AUTO 29007KT 10SM FEW075 08/06 A2989 RMK AO2 T00800062
