Time_recorded,METAR
2026-05-02 15:20:00,METAR EDSB 021520Z VRB04KT CAVOK 27/09 Q1016
2026-05-02 14:50:00,METAR EDSB 021450Z VRB06KT CAVOK 27/07 Q1017
2026-05-02 14:20:00,METAR EDSB 021420Z VRB02KT CAVOK 26/08 Q1017
2026-05-02 13:50:00,METAR EDSB 021350Z 32004KT 250V010 CAVOK 26/07 Q1018
2026-05-02 13:20:00,METAR EDSB 021320Z COR VRB04KT CAVOK 26/08 Q1018
2026-05-02 12:50:00,METAR EDSB 021250Z 31004KT 230V020 CAVOK 25/06 Q1019
2026-05-02 12:20:00,METAR EDSB 021220Z 32005KT 270V030 CAVOK 25/09 Q1019
2026-05-02 11:50:00,METAR EDSB 021150Z VRB03KT CAVOK 24/08 Q1019
2026-05-02 11:20:00,METAR EDSB 021120Z COR VRB04KT CAVOK 25/09 Q1019
2026-05-02 10:50:00,METAR EDSB 021050Z COR VRB03KT CAVOK 24/07 Q1020
2026-05-02 10:20:00,METAR EDSB 021020Z VRB02KT CAVOK 23/07 Q1021
2026-05-02 09:50:00,METAR EDSB 020950Z VRB02KT CAVOK 21/08 Q1021
2026-05-02 09:20:00,METAR EDSB 020920Z 23004KT 170V280 CAVOK 20/06 Q1022
2026-05-02 08:50:00,METAR EDSB 020850Z VRB02KT CAVOK 19/06 Q1022
2026-05-02 08:20:00,METAR EDSB 020820Z VRB02KT CAVOK 16/06 Q1022
2026-05-02 07:50:00,METAR EDSB 020750Z VRB02KT CAVOK 16/07 Q1022
2026-05-02 07:20:00,METAR EDSB 020720Z VRB02KT CAVOK 14/06 Q1022
2026-05-02 06:50:00,METAR EDSB 020650Z VRB02KT CAVOK 13/06 Q1022
2026-05-02 06:20:00,METAR EDSB 020620Z 20002KT CAVOK 11/06 Q1022
2026-05-02 05:50:00,METAR EDSB 020550Z 18002KT CAVOK 09/07 Q1022
2026-05-02 05:20:00,METAR EDSB 020520Z 20002KT CAVOK 07/05 Q1022
2026-05-02 04:50:00,METAR EDSB 020450Z 20002KT CAVOK 07/05 Q1022
2026-05-02 04:20:00,METAR EDSB 020420Z 18002KT CAVOK 06/05 Q1022
2026-05-02 03:50:00,METAR EDSB 020350Z 19003KT CAVOK 06/05 Q1022
2026-05-02 03:20:00,METAR EDSB 020320Z 19003KT CAVOK 06/05 Q1022
2026-05-02 02:50:00,METAR EDSB 020250Z 00000KT CAVOK 07/05 Q1022
2026-05-02 02:20:00,METAR EDSB 020220Z AUTO 00000KT 9999 // NCD 08/05 Q1022
2026-05-02 01:50:00,METAR EDSB 020150Z AUTO 14002KT 9999 // NCD 08/05 Q1022
2026-05-02 01:20:00,METAR EDSB 020120Z AUTO 00000KT 9999 3700 // NCD 09/05 Q1022
