Time_recorded,METAR
2026-05-02 14:53:00,METAR KFLL 021453Z 18015G25KT 10SM FEW028 SCT042 BKN250 31/22 A2989 RMK AO2 PK WND 17026/1418 SLP120 T03110217 53004 $
2026-05-02 13:53:00,METAR KFLL 021353Z 18009KT 10SM SCT030 BKN250 29/22 A2988 RMK AO2 PK WND 20028/1331 SLP116 T02940222 $
2026-05-02 12:53:00,METAR KFLL 021253Z 18010KT 10SM FEW025 BKN250 28/23 A2988 RMK AO2 SLP117 T02780228 $
2026-05-02 11:53:00,METAR KFLL 021153Z 16005KT 10SM FEW023 BKN075 27/23 A2988 RMK AO2 SLP116 T02670228 10267 20239 50000 $
2026-05-02 10:53:00,METAR KFLL 021053Z 00000KT 10SM SCT025 BKN075 26/22 A2988 RMK AO2 SLP118 T02560217 $
2026-05-02 10:00:00,SPECI KFLL 021000Z 00000KT 10SM FEW018 SCT026 OVC075 25/21 A2988 RMK AO2 T02500206 $
2026-05-02 09:53:00,METAR KFLL 020953Z 00000KT 10SM FEW018 BKN025 BKN075 25/21 A2988 RMK AO2 SLP118 T02500206 $
2026-05-02 08:53:00,METAR KFLL 020853Z 00000KT 10SM BKN018 OVC024 24/21 A2988 RMK AO2 SLP116 T02440206 55001 $
2026-05-02 08:05:00,SPECI KFLL 020805Z 33003KT 10SM BKN020 24/21 A2988 RMK AO2 T02390211 $
2026-05-02 07:53:00,METAR KFLL 020753Z 33003KT 10SM FEW018 SCT070 24/21 A2988 RMK AO2 SLP116 T02390211 $
2026-05-02 06:53:00,METAR KFLL 020653Z 00000KT 10SM FEW070 26/22 A2988 RMK AO2 SLP117 T02560222 $
2026-05-02 05:53:00,METAR KFLL 020553Z 00000KT 10SM FEW025 26/22 A2988 RMK AO2 SLP117 T02610222 10278 20256 58008 $
2026-05-02 04:53:00,METAR KFLL 020453Z 16003KT 10SM SCT025 26/22 A2989 RMK AO2 SLP122 T02610222 403060217 $
2026-05-02 03:53:00,METAR KFLL 020353Z 22005KT 10SM SCT025 27/22 A2991 RMK AO2 SLP127 T02670222 $
2026-05-02 02:53:00,METAR KFLL 020253Z 18005KT 10SM FEW035 27/22 A2991 RMK AO2 SLP126 T02670222 51021 $
2026-05-02 01:53:00,METAR KFLL 020153Z 17008KT 10SM CLR 27/22 A2989 RMK AO2 SLP120 T02720217 $
2026-05-02 00:53:00,METAR KFLL 020053Z 16010KT 10SM FEW060 27/21 A2987 RMK AO2 SLP112 T02720206 $
2026-05-01 23:53:00,METAR KFLL 012353Z 15007KT 10SM FEW060 FEW170 BKN250 28/20 A2984 RMK AO2 SLP104 T02780200 10306 20272 53002 $
2026-05-01 22:53:00,METAR KFLL 012253Z 16010KT 10SM FEW042 SCT250 28/21 A2984 RMK AO2 SLP103 T02830206 $
2026-05-01 21:53:00,METAR KFLL 012153Z 15012KT 10SM FEW042 FEW250 28/21 A2983 RMK AO2 SLP100 T02830206 $
2026-05-01 20:53:00,METAR KFLL 012053Z 15012KT 10SM FEW043 29/21 A2984 RMK AO2 SLP102 T02890206 58017 $
2026-05-01 19:53:00,METAR KFLL 011953Z 14014G22KT 10SM FEW044 29/21 A2985 RMK AO2 SLP108 T02940211 $
2026-05-01 18:53:00,METAR KFLL 011853Z 12014KT 10SM FEW041 29/21 A2988 RMK AO2 SLP116 T02940211 $
2026-05-01 17:53:00,METAR KFLL 011753Z 12011KT 10SM FEW039 29/21 A2989 RMK AO2 SLP119 T02940206 10300 20228 58012 $
2026-05-01 16:53:00,METAR KFLL 011653Z 12011KT 10SM SCT046 29/20 A2990 RMK AO2 SLP125 T02940200 $
2026-05-01 15:53:00,METAR KFLL 011553Z VRB06KT 10SM FEW041 29/19 A2992 RMK AO2 SLP129 T02940189 $
2026-05-01 14:53:00,METAR KFLL 011453Z VRB05KT 10SM FEW036 28/19 A2992 RMK AO2 SLP131 T02830194 56004 $
