Time_recorded,METAR
2026-05-02 15:20:00,METAR LSGG 021520Z AUTO 24009KT 210V280 CAVOK 24/06 Q1018 NOSIG
2026-05-02 14:50:00,METAR LSGG 021450Z AUTO 24008KT 200V300 CAVOK 24/08 Q1018 NOSIG
2026-05-02 14:20:00,METAR LSGG 021420Z AUTO 23009KT CAVOK 24/07 Q1019 NOSIG
2026-05-02 13:50:00,METAR LSGG 021350Z AUTO 24009KT 200V280 CAVOK 24/09 Q1019 NOSIG
2026-05-02 13:20:00,METAR LSGG 021320Z AUTO 23008KT 200V270 CAVOK 24/08 Q1020 NOSIG
2026-05-02 12:50:00,METAR LSGG 021250Z AUTO 22006KT 180V260 CAVOK 23/09 Q1020 NOSIG
2026-05-02 12:20:00,METAR LSGG 021220Z AUTO 22005KT 150V320 CAVOK 23/08 Q1020 NOSIG
2026-05-02 11:50:00,METAR LSGG 021150Z AUTO 22004KT 160V300 CAVOK 22/09 Q1021 NOSIG
2026-05-02 11:20:00,METAR LSGG 021120Z AUTO 24005KT 200V320 CAVOK 22/09 Q1021 NOSIG
2026-05-02 10:50:00,METAR LSGG 021050Z AUTO 22005KT 180V260 CAVOK 21/10 Q1021 NOSIG
2026-05-02 10:20:00,METAR LSGG 021020Z AUTO 25005KT 220V280 CAVOK 21/10 Q1022 NOSIG
2026-05-02 09:50:00,METAR LSGG 020950Z AUTO VRB05KT CAVOK 20/09 Q1022 NOSIG
2026-05-02 09:20:00,METAR LSGG 020920Z AUTO 25004KT 200V320 CAVOK 20/08 Q1023 NOSIG
2026-05-02 08:50:00,METAR LSGG 020850Z AUTO 23004KT 160V310 CAVOK 19/07 Q1023 NOSIG
2026-05-02 08:20:00,METAR LSGG 020820Z AUTO 24006KT CAVOK 18/06 Q1023 NOSIG
2026-05-02 07:50:00,METAR LSGG 020750Z AUTO VRB04KT CAVOK 17/06 Q1023 NOSIG
2026-05-02 07:20:00,METAR LSGG 020720Z AUTO VRB02KT CAVOK 16/06 Q1024 NOSIG
2026-05-02 06:50:00,METAR LSGG 020650Z AUTO VRB02KT CAVOK 15/06 Q1024 NOSIG
2026-05-02 06:20:00,METAR LSGG 020620Z AUTO VRB01KT CAVOK 15/05 Q1024 NOSIG
2026-05-02 05:50:00,METAR LSGG 020550Z AUTO VRB01KT CAVOK 14/06 Q1024 NOSIG
2026-05-02 05:20:00,METAR LSGG 020520Z AUTO VRB01KT 9999 NCD 11/07 Q1023 NOSIG
2026-05-02 04:50:00,METAR LSGG 020450Z AUTO VRB02KT 9999 FEW074 11/07 Q1023 NOSIG
2026-05-02 04:20:00,METAR LSGG 020420Z AUTO VRB01KT 9999 SCT071 11/08 Q1023 NOSIG
2026-05-02 03:50:00,METAR LSGG 020350Z AUTO VRB01KT 9999 FEW060 SCT072 11/08 Q1023 NOSIG
2026-05-02 03:20:00,METAR LSGG 020320Z AUTO VRB01KT 9999 SCT061 12/09 Q1023 NOSIG
2026-05-02 02:50:00,METAR LSGG 020250Z AUTO VRB01KT 9999 BKN060 11/10 Q1023 NOSIG
2026-05-02 02:20:00,METAR LSGG 020220Z AUTO VRB01KT 9999 FEW060 11/09 Q1024 NOSIG
2026-05-02 01:50:00,METAR LSGG 020150Z AUTO VRB01KT CAVOK 12/10 Q1024 NOSIG
2026-05-02 01:20:00,METAR LSGG 020120Z AUTO VRB01KT CAVOK 12/10 Q1024 NOSIG
2026-05-02 00:50:00,METAR LSGG 020050Z AUTO VRB01KT CAVOK 12/10 Q1024 NOSIG
2026-05-02 00:20:00,METAR LSGG 020020Z AUTO 35001KT CAVOK 12/10 Q1024 NOSIG
2026-05-01 23:50:00,METAR LSGG 012350Z AUTO 02001KT CAVOK 12/10 Q1024 NOSIG
2026-05-01 23:20:00,METAR LSGG 012320Z AUTO VRB01KT 9999 NCD 13/10 Q1024 NOSIG
2026-05-01 22:50:00,METAR LSGG 012250Z AUTO VRB01KT 9999 NSC 13/10 Q1024 NOSIG
2026-05-01 22:20:00,METAR LSGG 012220Z AUTO 33002KT CAVOK 14/10 Q1024 NOSIG
2026-05-01 21:50:00,METAR LSGG 012150Z AUTO VRB01KT CAVOK 14/09 Q1024 NOSIG
2026-05-01 21:20:00,METAR LSGG 012120Z AUTO VRB01KT CAVOK 16/10 Q1023 NOSIG
2026-05-01 20:50:00,METAR LSGG 012050Z AUTO 26003KT CAVOK 17/10 Q1023 NOSIG
