Time_recorded,METAR
2026-05-02 15:30:00,METAR VOHS 021530Z 18005KT 6000 SCT020 33/15 Q1008 NOSIG
2026-05-02 15:00:00,METAR VOHS 021500Z 20005KT 6000 SCT015 BKN100 33/15 Q1007 NOSIG
2026-05-02 14:30:00,METAR VOHS 021430Z 20006KT 6000 SCT015 BKN100 33/14 Q1007 NOSIG
2026-05-02 14:00:00,METAR VOHS 021400Z 20005KT 6000 SCT015 BKN100 33/13 Q1007 NOSIG
2026-05-02 13:30:00,METAR VOHS 021330Z 20004KT 6000 SCT015 BKN100 34/13 Q1007 NOSIG
2026-05-02 13:00:00,METAR VOHS 021300Z 21005KT 6000 SCT015 BKN100 35/14 Q1006 NOSIG
2026-05-02 12:30:00,METAR VOHS 021230Z 22005KT 6000 SCT015 BKN100 36/13 Q1006 NOSIG
2026-05-02 12:00:00,METAR VOHS 021200Z 23005KT 6000 SCT015 SCT025 BKN100 37/12 Q1006 NOSIG
2026-05-02 11:30:00,METAR VOHS 021130Z 26007KT 6000 SCT015 BKN100 38/10 Q1006 NOSIG
2026-05-02 11:00:00,METAR VOHS 021100Z 26007KT 6000 SCT015 BKN100 39/11 Q1006 NOSIG
2026-05-02 10:30:00,METAR VOHS 021030Z 26010KT 6000 SCT015 BKN100 39/11 Q1006 NOSIG
2026-05-02 10:00:00,METAR VOHS 021000Z 29013KT 6000 SCT015 BKN100 39/11 Q1007 NOSIG
2026-05-02 09:30:00,METAR VOHS 020930Z 27008KT 6000 SCT015 BKN100 39/10 Q1007 NOSIG
2026-05-02 09:05:00,METAR VOHS 020905Z 30008KT 6000 SCT015 SCT100 39/12 Q1007 NOSIG
2026-05-02 08:30:00,METAR VOHS 020830Z 30008KT 6000 SCT015 38/12 Q1008 NOSIG
2026-05-02 08:00:00,METAR VOHS 020800Z 30010KT 6000 SCT015 38/12 Q1009 NOSIG
2026-05-02 07:30:00,METAR VOHS 020730Z 30010KT 6000 SCT015 38/12 Q1009 NOSIG
2026-05-02 07:00:00,METAR VOHS 020700Z 30007KT 6000 NSC 38/11 Q1010 NOSIG
2026-05-02 06:30:00,METAR VOHS 020630Z 33009KT 6000 NSC 37/12 Q1010 NOSIG
2026-05-02 06:00:00,METAR VOHS 020600Z 33007KT 6000 NSC 36/12 Q1011 NOSIG
2026-05-02 05:30:00,METAR VOHS 020530Z 31010KT 6000 NSC 36/13 Q1011 NOSIG
2026-05-02 05:00:00,METAR VOHS 020500Z 31009KT 6000 NSC 35/12 Q1011 NOSIG
2026-05-02 04:30:00,METAR VOHS 020430Z 30010KT 6000 NSC 35/12 Q1012 NOSIG
2026-05-02 04:00:00,METAR VOHS 020400Z 33008KT 6000 NSC 34/13 Q1012 NOSIG
2026-05-02 03:30:00,METAR VOHS 020330Z 35011KT 6000 NSC 33/13 Q1012 NOSIG
2026-05-02 03:00:00,METAR VOHS 020300Z 35009KT 6000 NSC 31/15 Q1011 NOSIG
2026-05-02 02:30:00,METAR VOHS 020230Z 30008KT 6000 NSC 30/14 Q1011 NOSIG
2026-05-02 02:00:00,METAR VOHS 020200Z 29008KT 6000 NSC 29/13 Q1011 NOSIG
2026-05-02 01:30:00,METAR VOHS 020130Z 27008KT 6000 NSC 27/14 Q1010 NOSIG
2026-05-02 01:00:00,METAR VOHS 020100Z 27008KT 6000 NSC 25/13 Q1010 NOSIG
2026-05-02 00:30:00,METAR VOHS 020030Z 27007KT 6000 NSC 25/14 Q1009 NOSIG
2026-05-02 00:00:00,METAR VOHS 020000Z 26008KT 6000 NSC 25/14 Q1009 NOSIG
2026-05-01 23:30:00,METAR VOHS 012330Z 28008KT 6000 NSC 25/13 Q1009 NOSIG
2026-05-01 23:00:00,METAR VOHS 012300Z 28009KT 6000 NSC 25/13 Q1009 NOSIG
2026-05-01 22:30:00,METAR VOHS 012230Z 28009KT 6000 NSC 25/13 Q1009 NOSIG
2026-05-01 22:00:00,METAR VOHS 012200Z 28010KT 6000 NSC 26/12 Q1009 NOSIG
2026-05-01 21:30:00,METAR VOHS 012130Z 28010KT 6000 NSC 26/12 Q1009 NOSIG
2026-05-01 21:00:00,METAR VOHS 012100Z 29009KT 6000 NSC 26/12 Q1009 NOSIG
2026-05-01 20:30:00,METAR VOHS 012030Z 28010KT 6000 NSC 27/11 Q1009 NOSIG
2026-05-01 20:00:00,METAR VOHS 012000Z 28007KT 6000 NSC 28/12 Q1009 NOSIG
2026-05-01 19:30:00,METAR VOHS 011930Z 27009KT 6000 NSC 28/11 Q1009 NOSIG
2026-05-01 19:00:00,METAR VOHS 011900Z 25007KT 6000 NSC 28/12 Q1009 NOSIG
