Time_recorded,METAR
2026-05-02 15:52:00,METAR KIAD 021552Z VRB05KT 10SM FEW055 BKN180 BKN250 12/M01 A2997 RMK AO2 SLP147 T01221011 $
2026-05-02 14:52:00,METAR KIAD 021452Z 34009G16KT 10SM FEW060 BKN180 BKN250 12/00 A2997 RMK AO2 SLP148 T01170000 53000 $
2026-05-02 13:52:00,METAR KIAD 021352Z 36009G17KT 10SM FEW060 BKN190 BKN250 11/01 A2996 RMK AO2 SLP145 T01060011 $
2026-05-02 12:52:00,METAR KIAD 021252Z 35012KT 10SM SCT180 BKN250 09/01 A2996 RMK AO2 SLP145 T00940006 $
2026-05-02 11:52:00,METAR KIAD 021152Z 33014G22KT 10SM FEW120 BKN250 08/01 A2997 RMK AO2 SLP147 70001 T00830006 10128 20083 51014 $
2026-05-02 10:52:00,METAR KIAD 021052Z 34013G24KT 10SM FEW070 FEW120 BKN250 08/00 A2996 RMK AO2 SLP144 T00830000 $
2026-05-02 09:52:00,METAR KIAD 020952Z 31012G22KT 10SM FEW050 BKN250 09/01 A2994 RMK AO2 SLP138 T00940011 $
2026-05-02 08:52:00,METAR KIAD 020852Z 33012G21KT 10SM SCT070 BKN250 10/02 A2993 RMK AO2 SLP133 T01000022 53002 $
2026-05-02 07:52:00,METAR KIAD 020752Z 32011KT 10SM BKN075 OVC250 12/03 A2992 RMK AO2 SLP130 T01170033 $
2026-05-02 06:52:00,METAR KIAD 020652Z 33011KT 10SM BKN070 BKN110 OVC250 12/04 A2991 RMK AO2 SLP127 T01220044 $
2026-05-02 05:52:00,METAR KIAD 020552Z 33009G17KT 10SM BKN060 OVC110 13/04 A2992 RMK AO2 SLP132 60001 T01280044 10178 20128 51015 $
2026-05-02 04:52:00,METAR KIAD 020452Z 33007KT 10SM OVC060 13/05 A2992 RMK AO2 SLP132 T01330050 402000033 $
2026-05-02 03:52:00,METAR KIAD 020352Z 34008KT 10SM BKN060 BKN110 14/06 A2991 RMK AO2 RAB0257E27 SLP127 P0001 T01390061 $
2026-05-02 02:52:00,METAR KIAD 020252Z 29003KT 10SM BKN075 OVC110 15/06 A2988 RMK AO2 SLP117 T01500056 51019
2026-05-02 01:52:00,METAR KIAD 020152Z 21004KT 10SM BKN065 BKN095 15/04 A2987 RMK AO2 SLP114 T01500044
2026-05-02 00:52:00,METAR KIAD 020052Z 14007KT 10SM OVC085 17/02 A2983 RMK AO2 SLP102 P0000 T01670022
2026-05-01 23:52:00,METAR KIAD 012352Z 16006KT 10SM OVC100 18/01 A2982 RMK AO2 SLP098 T01780006 10200 20178 55002
2026-05-01 22:52:00,METAR KIAD 012252Z 20010KT 10SM FEW090 FEW200 18/01 A2981 RMK AO2 SLP096 T01830006
2026-05-01 21:52:00,METAR KIAD 012152Z 19011G18KT 10SM FEW050 FEW200 19/01 A2982 RMK AO2 SLP099 T01940011
2026-05-01 20:52:00,METAR KIAD 012052Z 18008G21KT 120V210 10SM FEW050 FEW200 20/02 A2983 RMK AO2 SLP099 T02000017 58028
2026-05-01 19:52:00,METAR KIAD 011952Z COR 21011G21KT 10SM FEW050 FEW200 19/01 A2986 RMK AO2 SLP109 T01940011
2026-05-01 18:52:00,METAR KIAD 011852Z 21008G16KT 10SM FEW050 FEW200 19/02 A2989 RMK AO2 SLP120 T01890017
2026-05-01 17:52:00,METAR KIAD 011752Z 19008KT 140V210 10SM FEW050 FEW250 18/01 A2991 RMK AO2 SLP128 T01780011 10178 20094 58022
2026-05-01 16:52:00,METAR KIAD 011652Z VRB04KT 10SM FEW250 16/01 A2993 RMK AO2 SLP136 T01610011
2026-05-01 15:52:00,METAR KIAD 011552Z VRB03KT 10SM FEW250 16/01 A2996 RMK AO2 SLP144 T01560011
2026-05-01 14:52:00,METAR KIAD 011452Z COR 25004KT 10SM SCT250 14/01 A2998 RMK AO2 SLP151 T01440011 58005
2026-05-01 13:52:00,METAR KIAD 011352Z 00000KT 10SM FEW250 13/02 A2998 RMK AO2 SLP153 T01280017
2026-05-01 12:52:00,METAR KIAD 011252Z 00000KT 10SM FEW070 SCT250 12/03 A2999 RMK AO2 SLP156 T01170028
2026-05-01 11:52:00,METAR KIAD 011152Z 33004KT 10SM FEW070 SCT250 09/03 A2999 RMK AO2 SLP157 T00940033 10094 20033 53007
2026-05-01 10:52:00,METAR KIAD 011052Z 36003KT 10SM FEW060 SCT220 06/03 A2999 RMK AO2 SLP154 T00610028
2026-05-01 09:52:00,METAR KIAD 010952Z 00000KT 10SM BKN200 05/02 A2998 RMK AO2 SLP151 T00500022
2026-05-01 08:52:00,METAR KIAD 010852Z 00000KT 10SM SCT220 06/02 A2997 RMK AO2 SLP150 T00560017 53002
2026-05-01 07:52:00,METAR KIAD 010752Z 31005KT 10SM CLR 06/02 A2997 RMK AO2 SLP146 T00610017
2026-05-01 06:52:00,METAR KIAD 010652Z 00000KT 10SM CLR 06/02 A2996 RMK AO2 SLP145 T00560017
2026-05-01 05:52:00,METAR KIAD 010552Z 29004KT 10SM CLR 07/02 A2997 RMK AO2 SLP147 T00720017 10133 20050 51003
2026-05-01 04:52:00,METAR KIAD 010452Z 00000KT 10SM CLR 05/02 A2997 RMK AO2 SLP147 T00500022 402060050
2026-05-01 03:52:00,METAR KIAD 010352Z 00000KT 10SM CLR 08/02 A2996 RMK AO2 SLP144 T00780017
2026-05-01 02:52:00,METAR KIAD 010252Z 30005KT 10SM CLR 10/02 A2996 RMK AO2 SLP143 T01000017 51021
2026-05-01 01:52:00,METAR KIAD 010152Z 31006KT 10SM CLR 11/02 A2994 RMK AO2 SLP139 T01110017
2026-05-01 00:52:00,METAR KIAD 010052Z 32008G16KT 10SM FEW050 12/01 A2993 RMK AO2 SLP132 T01220011
2026-04-30 23:52:00,METAR KIAD 302352Z 31013G25KT 10SM FEW050 FEW250 13/02 A2989 RMK AO2 PK WND 32029/2333 SLP122 T01330022 10206 20133 53030
2026-04-30 22:52:00,METAR KIAD 302252Z 31017G27KT 10SM FEW060 FEW075 FEW250 16/04 A2986 RMK AO2 PK WND 30031/2201 SLP109 T01560039
