Time_recorded,METAR
2026-05-02 15:51:00,METAR KJFK 021551Z 03004KT 10SM SCT027 BKN039 BKN085 OVC250 13/06 A2989
2026-05-02 14:51:00,METAR KJFK 021451Z 30003KT 10SM SCT026 BKN049 BKN085 OVC250 13/06 A2989
2026-05-02 13:51:00,METAR KJFK 021351Z 24006KT 10SM BKN023 BKN049 BKN110 BKN250 12/07 A2990
2026-05-02 13:39:00,SPECI KJFK 021339Z 25005KT 10SM BKN023 BKN049 BKN110 BKN250 13/07 A2990
2026-05-02 12:51:00,METAR KJFK 021251Z 00000KT 10SM SCT025 BKN043 BKN090 BKN130 BKN250 12/08 A2990
2026-05-02 11:51:00,METAR KJFK 021151Z 03005KT 10SM FEW018 BKN043 BKN090 BKN130 BKN250 11/07 A2989
2026-05-02 10:51:00,METAR KJFK 021051Z 00000KT 10SM BKN065 BKN080 BKN250 11/08 A2988 RMK RAE49 SLP116 P0003 T01060083
2026-05-02 09:51:00,METAR KJFK 020951Z 26009KT 10SM -RA BKN065 BKN085 OVC100 11/08 A2989 RMK RAB0859E12B44 SLP119 P0000 T01110078
2026-05-02 08:51:00,METAR KJFK 020851Z 22010KT 10SM BKN075 BKN0120 11/07 A2988 RMK SLP119 T01060072 56004
2026-05-02 07:51:00,METAR KJFK 020751Z 23008KT 10SM BKN075 BKN0120 BKN160 11/07 A2989 RMK SLP120 T01060072
2026-05-02 06:51:00,METAR KJFK 020651Z 22009KT 10SM BKN080 BKN095 OVC120 11/07 A2989 RMK SLP120 T01110067
2026-05-02 05:51:00,METAR KJFK 020551Z 21010KT 10SM FEW075 BKN140 BKN250 11/06 A2990 RMK SLP124 T01060061 10117 20106 55001
2026-05-02 04:51:00,METAR KJFK 020451Z 22005KT 10SM FEW060 BKN100 BKN130 BKN250 11/06 A2988 RMK SLP119 T01110056 401670083
2026-05-02 03:51:00,METAR KJFK 020351Z 21012KT 10SM BKN130 BKN250 12/06 A2990 RMK SLP125 T01170056
2026-05-02 02:51:00,METAR KJFK 020251Z 20010KT 10SM FEW070 BKN140 BKN250 12/07 A2990 RMK SLP125 T01170072 51008
2026-05-02 01:51:00,METAR KJFK 020151Z 19014KT 10SM FEW070 SCT160 SCT250 11/08 A2989 RMK SLP122 T01060078
2026-05-02 00:51:00,METAR KJFK 020051Z 18016KT 10SM FEW070 BKN140 BKN180 BKN250 11/07 A2989 RMK SLP119 T01110067
2026-05-01 23:51:00,METAR KJFK 012351Z 18017KT 10SM FEW060 FEW080 SCT160 SCT250 11/06 A2988 RMK SLP116 T01110061 10167 20111 53001
2026-05-01 22:51:00,METAR KJFK 012251Z 18018G24KT 10SM FEW060 SCT080 SCT250 12/07 A2986 RMK SLP113 T01170067
2026-05-01 21:51:00,METAR KJFK 012151Z 18020G26KT 10SM FEW060 FEW100 FEW250 12/06 A2987 RMK PK WND 18028/2053 SLP115 T01220061
2026-05-01 20:51:00,METAR KJFK 012051Z 18020KT 10SM FEW060 FEW250 13/05 A2987 RMK PK WND 20028/2036 SLP116 T01330050 55004
2026-05-01 19:51:00,METAR KJFK 011951Z 19015KT 10SM FEW060 FEW250 15/03 A2987 RMK SLP115 T01500033
2026-05-01 18:51:00,METAR KJFK 011851Z 22013G19KT 10SM FEW060 FEW250 17/03 A2988 RMK SLP117 TO1670028
2026-05-01 17:51:00,METAR KJFK 011751Z 22013KT 10SM FEW060 FEW250 15/02 A2989 RMK SLP120 T01500017 10156 20106 58014
2026-05-01 16:51:00,METAR KJFK 011651Z 22012G19KT 10SM FEW060 FEW250 14/02 A2990 RMK SLP126 T01440017
2026-05-01 15:51:00,METAR KJFK 011551Z 28009KT 10SM FEW060 FEW250 14/M01 A2992 RMK SLP130 T01441011
2026-05-01 14:51:00,METAR KJFK 011451Z 28013G20KT 10SM FEW055 FEW250 14/M01 A2993 RMK SLP133 T01391011 51001
2026-05-01 13:51:00,METAR KJFK 011351Z 32010KT 10SM FEW050 FEW250 13/M01 A2992 RMK SLP132 T01281006
2026-05-01 12:51:00,METAR KJFK 011251Z 32012KT 10SM FEW047 FEW250 12/00 A2993 RMK SLP135 T01170000
2026-05-01 11:51:00,METAR KJFK 011151Z 33013KT 10SM FEW120 11/00 A2992 RMK SLP132 T01060000 10117 20083 51014
2026-05-01 10:51:00,METAR KJFK 011051Z 32013KT 10SM FEW120 FEW250 09/00 A2992 RMK SLP130 T00890000
2026-05-01 09:51:00,METAR KJFK 010951Z 31013G22KT 10SM SCT250 09/00 A2990 RMK SLP122 T00891006
2026-05-01 08:51:00,METAR KJFK 010851Z 32014KT 10SM FEW090 SCT250 09/M01 A2988 RMK SLP118 T00891006 51007
2026-05-01 07:51:00,METAR KJFK 010751Z 31009KT 10SM SCT080 BKN250 10/01 A2987 RMK SLP116 T01000011
2026-05-01 06:51:00,METAR KJFK 010651Z 33013KT 10SM BKN085 BKN250 10/01 A2986 RMK SLP110 T01000011
2026-05-01 05:51:00,METAR KJFK 010551Z 35014G19KT 10SM FEW075 BKN090 BKN250 12/03 A2985 RMK SLP108 T01170028 101442011 51021
2026-05-01 04:51:00,METAR KJFK 010451Z 32012KT 10SM BKN075 BKN250 12/03 A2985 RMK SLP107 T0122028 401560083
2026-05-01 03:51:00,METAR KJFK 010351Z 33016KT 10SM SCT085 BKN250 13/03 A2983 RMK SLP102 T01280028
2026-05-01 02:51:00,METAR KJFK 010251Z 33009KT 10SM BKN095 BKN250 13/04 A2983 RMK SLP101 VCSH W T01280039 51010
2026-05-01 01:51:00,METAR KJFK 010151Z 32010KT 10SM SCT090 SCT250 13/04 A2982 RMK SLP097 T01330033
