Time_recorded,METAR
2026-04-30 15:00:00,METAR LJLJ 301500Z 13011KT CAVOK 14/M02 Q1024 NOSIG
2026-04-30 14:30:00,METAR LJLJ 301430Z 14009KT CAVOK 14/M03 Q1024 NOSIG
2026-04-30 14:00:00,METAR LJLJ 301400Z 14009KT 100V180 CAVOK 14/M04 Q1025 NOSIG
2026-04-30 13:30:00,METAR LJLJ 301330Z 13009KT CAVOK 14/M02 Q1025 NOSIG
2026-04-30 13:00:00,METAR LJLJ 301300Z 13010KT CAVOK 14/M02 Q1025 NOSIG
2026-04-30 12:30:00,METAR LJLJ 301230Z 13010KT CAVOK 14/M01 Q1025 NOSIG
2026-04-30 12:00:00,METAR LJLJ 301200Z 13010KT 100V160 CAVOK 13/M01 Q1026 NOSIG
2026-04-30 11:30:00,METAR LJLJ 301130Z 13010KT 100V160 CAVOK 13/M02 Q1026 NOSIG
2026-04-30 11:00:00,METAR LJLJ 301100Z 13008KT 080V160 9999 FEW065 12/M02 Q1026 NOSIG
2026-04-30 10:30:00,METAR LJLJ 301030Z 12009KT 9999 FEW060 12/M03 Q1026 NOSIG
2026-04-30 10:00:00,METAR LJLJ 301000Z 13010KT 9999 FEW060 11/M02 Q1027 NOSIG
2026-04-30 09:30:00,METAR LJLJ 300930Z 12008KT 040V150 9999 FEW040 11/M02 Q1027 NOSIG
2026-04-30 09:00:00,METAR LJLJ 300900Z 09006KT 050V170 9999 FEW033 11/M02 Q1027 NOSIG
2026-04-30 08:30:00,METAR LJLJ 300830Z 09008KT 060V130 9999 FEW033 10/M06 Q1027 NOSIG
2026-04-30 08:00:00,METAR LJLJ 300800Z 10007KT 010V170 9999 FEW033 10/M06 Q1027 NOSIG
2026-04-30 07:30:00,METAR LJLJ 300730Z VRB02KT 9999 FEW033 09/M02 Q1027 NOSIG
2026-04-30 07:00:00,METAR LJLJ 300700Z VRB01KT 9999 FEW033 08/M01 Q1027 NOSIG
2026-04-30 06:30:00,METAR LJLJ 300630Z VRB02KT 9999 FEW033 06/01 Q1027 NOSIG
2026-04-30 06:00:00,METAR LJLJ 300600Z 34003KT 300V010 9999 FEW013 05/01 Q1027 NOSIG
2026-04-30 05:30:00,METAR LJLJ 300530Z 29003KT 260V320 9999 FEW013 03/02 Q1027 NOSIG
