Time_recorded,METAR
2026-05-02 15:30:00,METAR YMML 021530Z AUTO 01016KT 9999 // BKN100 18/12 Q1013
2026-05-02 15:00:00,METAR YMML 021500Z AUTO 01017KT 9999 // NCD 19/12 Q1013
2026-05-02 14:30:00,METAR YMML 021430Z AUTO 01018KT 9999 // NCD 19/11 Q1013
2026-05-02 14:00:00,METAR YMML 021400Z AUTO 01009KT 9999 // NCD 19/11 Q1013
2026-05-02 13:30:00,METAR YMML 021330Z AUTO 01008KT 9999 // NCD 19/11 Q1014
2026-05-02 13:00:00,METAR YMML 021300Z AUTO 01019KT 9999 // FEW120 19/11 Q1014
2026-05-02 12:30:00,METAR YMML 021230Z AUTO 01017KT 9999 // NCD 20/11 Q1014
2026-05-02 12:00:00,METAR YMML 021200Z AUTO 35013KT 9999 // NCD 21/09 Q1015
2026-05-02 11:30:00,METAR YMML 021130Z AUTO 01008KT 9999 // NCD 21/08 Q1015
2026-05-02 11:00:00,METAR YMML 021100Z AUTO 01006KT 350V050 9999 // NCD 19/08 Q1015
2026-05-02 10:30:00,METAR YMML 021030Z AUTO 05006KT 9999 // NCD 19/07 Q1014
2026-05-02 10:00:00,METAR YMML 021000Z AUTO 04006KT 9999 // NCD 20/08 Q1014
2026-05-02 09:30:00,METAR YMML 020930Z AUTO 03007KT 9999 // NCD 20/08 Q1015
2026-05-02 09:00:00,METAR YMML 020900Z AUTO 04008KT 9999 // NCD 21/08 Q1015
2026-05-02 08:30:00,METAR YMML 020830Z AUTO 04010KT 9999 // NCD 21/08 Q1015
2026-05-02 08:00:00,METAR YMML 020800Z AUTO 03013KT 9999 // BKN120 22/08 Q1014
2026-05-02 07:30:00,METAR YMML 020730Z AUTO 02015KT 9999 // SCT120 23/08 Q1014
2026-05-02 07:00:00,METAR YMML 020700Z AUTO 02017KT 9999 // FEW125 23/08 Q1014
2026-05-02 06:30:00,METAR YMML 020630Z AUTO 02017KT 9999 // FEW089 24/09 Q1014
2026-05-02 06:09:00,SPECI YMML 020609Z AUTO 03019G29KT 9999 // NCD 24/09 Q1014
2026-05-02 06:00:00,METAR YMML 020600Z AUTO 02020KT 9999 // FEW095 24/09 Q1014
2026-05-02 05:30:00,METAR YMML 020530Z AUTO 02020KT 9999 // NCD 24/09 Q1014
2026-05-02 05:00:00,METAR YMML 020500Z AUTO 01023KT 9999 // NCD 23/09 Q1014
2026-05-02 04:52:00,SPECI YMML 020452Z AUTO 01021G31KT 9999 // NCD 23/09 Q1015
2026-05-02 04:30:00,METAR YMML 020430Z AUTO 01025KT 9999 // NCD 24/08 Q1015
2026-05-02 04:01:00,SPECI YMML 020401Z AUTO 01019G29KT 9999 // NCD 23/09 Q1015
2026-05-02 03:30:00,METAR YMML 020330Z AUTO 01018G28KT 9999 // NCD 22/09 Q1016
2026-05-02 03:03:00,SPECI YMML 020303Z AUTO 02018G30KT 9999 // NCD 22/09 Q1016
2026-05-02 02:30:00,METAR YMML 020230Z AUTO 02016KT 9999 // BKN085 21/09 Q1017
2026-05-02 02:10:00,SPECI YMML 020210Z AUTO 02015G27KT 9999 // SCT088 21/09 Q1017
