Time_recorded,METAR
2026-05-02 14:53:00,METAR KMTH 021453Z AUTO 20007KT 170V240 10SM CLR 28/23 A2992 RMK AO2 SLP132 T02830233 53010
2026-05-02 13:53:00,METAR KMTH 021353Z AUTO 19009KT 10SM CLR 28/23 A2991 RMK AO2 SLP126 T02830233
2026-05-02 12:53:00,METAR KMTH 021253Z AUTO 20008G17KT 10SM CLR 28/23 A2990 RMK AO2 SLP124 T02780233
2026-05-02 11:53:00,METAR KMTH 021153Z AUTO 18009G16KT 10SM CLR 27/23 A2989 RMK AO2 SLP121 T02720228 10272 20267 53004
2026-05-02 10:53:00,METAR KMTH 021053Z AUTO 16010G17KT 10SM CLR 27/24 A2989 RMK AO2 SLP119 T02670239
2026-05-02 09:53:00,METAR KMTH 020953Z AUTO 16009G18KT 10SM FEW070 27/23 A2988 RMK AO2 SLP116 T02720228
2026-05-02 08:53:00,METAR KMTH 020853Z AUTO 17007KT 10SM CLR 27/23 A2988 RMK AO2 SLP117 T02670228 58003
2026-05-02 07:53:00,METAR KMTH 020753Z AUTO 16009KT 10SM BKN050 BKN075 27/23 A2988 RMK AO2 SLP118 T02720233
2026-05-02 06:53:00,METAR KMTH 020653Z AUTO 17007KT 10SM BKN055 OVC075 27/24 A2988 RMK AO2 SLP118 T02720239
2026-05-02 05:53:00,METAR KMTH 020553Z AUTO 16009KT 10SM FEW015 FEW055 BKN075 27/23 A2989 RMK AO2 SLP120 T02720233 10272 20267 58006
2026-05-02 04:53:00,METAR KMTH 020453Z AUTO 15009KT 10SM FEW016 BKN065 27/24 A2991 RMK AO2 SLP126 T02720239 402830233
2026-05-02 03:53:00,METAR KMTH 020353Z AUTO 16008KT 10SM BKN060 27/23 A2991 RMK AO2 SLP127 T02720233
2026-05-02 02:53:00,METAR KMTH 020253Z AUTO 14006KT 10SM CLR 27/23 A2991 RMK AO2 SLP126 T02670228 51018
