Time_recorded,METAR
2026-05-02 15:35:00,METAR KNUQ 021535Z AUTO VRB03KT 6SM HZ OVC015 14/10 A2994 RMK AO2
2026-05-02 15:15:00,METAR KNUQ 021515Z AUTO 00000KT 5SM HZ OVC015 14/11 A2994 RMK AO2
2026-05-02 14:55:00,METAR KNUQ 021455Z AUTO 00000KT 5SM HZ OVC014 14/11 A2993 RMK AO2
2026-05-02 14:35:00,METAR KNUQ 021435Z AUTO 00000KT 5SM HZ OVC013 14/11 A2993 RMK AO2
2026-05-02 14:15:00,METAR KNUQ 021415Z AUTO 00000KT 5SM HZ OVC013 14/11 A2993 RMK AO2
2026-05-02 13:55:00,METAR KNUQ 021355Z AUTO 07003KT 5SM HZ OVC013 14/11 A2992 RMK AO2
2026-05-02 13:35:00,METAR KNUQ 021335Z AUTO 00000KT 7SM OVC012 14/11 A2992 RMK AO2
2026-05-02 13:15:00,METAR KNUQ 021315Z AUTO 00000KT 7SM OVC012 14/11 A2992 RMK AO2
2026-05-02 12:55:00,METAR KNUQ 021255Z AUTO 07003KT 7SM OVC013 14/11 A2991 RMK AO2 LTG DSNT S
2026-05-02 12:35:00,METAR KNUQ 021235Z AUTO 00000KT 8SM OVC013 13/11 A2991 RMK AO2
2026-05-02 12:15:00,METAR KNUQ 021215Z AUTO 00000KT 7SM OVC013 14/11 A2991 RMK AO2
2026-05-02 11:55:00,METAR KNUQ 021155Z AUTO 35004KT 8SM 14/11 A2991 RMK AO2
2026-05-02 11:35:00,METAR KNUQ 021135Z AUTO 35009KT 8SM OVC013 14/11 A2991 RMK AO2
2026-05-02 11:15:00,METAR KNUQ 021115Z AUTO 07005KT 7SM OVC013 14/11 A2991 RMK AO2
2026-05-02 10:55:00,METAR KNUQ 021055Z AUTO 15004KT 7SM OVC012 14/11 A2991 RMK AO2
2026-05-02 10:35:00,METAR KNUQ 021035Z AUTO 15006KT 7SM OVC012 14/11 A2991 RMK AO2
2026-05-02 10:15:00,METAR KNUQ 021015Z AUTO 16004KT 7SM OVC012 14/11 A2992 RMK AO2
2026-05-02 09:55:00,METAR KNUQ 020955Z AUTO 14005KT 7SM OVC012 14/11 A2992 RMK AO2
2026-05-02 09:35:00,METAR KNUQ 020935Z AUTO 08004KT 7SM OVC012 14/11 A2993 RMK AO2
2026-05-02 09:15:00,METAR KNUQ 020915Z AUTO 08005KT 7SM OVC012 14/11 A2993 RMK AO2
2026-05-02 08:55:00,METAR KNUQ 020855Z AUTO 07005KT 7SM OVC013 14/11 A2994 RMK AO2
2026-05-02 08:35:00,METAR KNUQ 020835Z AUTO 00000KT 7SM OVC013 14/11 A2994 RMK AO2
2026-05-02 08:15:00,METAR KNUQ 020815Z AUTO 07003KT 7SM OVC013 14/11 A2995 RMK AO2
2026-05-02 07:55:00,METAR KNUQ 020755Z AUTO 06005KT 7SM OVC013 14/11 A2995 RMK AO2
