Time_recorded,METAR
2026-05-02 15:30:00,METAR LPPR 021530Z 21010KT 9999 FEW012 FEW025CB 17/14 Q1015
2026-05-02 15:00:00,METAR LPPR 021500Z 21013KT 9999 FEW014 FEW025CB 17/14 Q1015
2026-05-02 14:30:00,METAR LPPR 021430Z 21013KT 9999 FEW014 FEW025CB 18/14 Q1015
2026-05-02 14:00:00,METAR LPPR 021400Z 21013KT 9999 FEW017 FEW025CB 18/14 Q1016
2026-05-02 13:30:00,METAR LPPR 021330Z 21011KT 9999 FEW020 FEW030CB 18/13 Q1016
2026-05-02 13:00:00,METAR LPPR 021300Z 20013KT 170V230 9999 SCT020 17/13 Q1016
2026-05-02 12:30:00,METAR LPPR 021230Z 20011KT 170V250 9999 SCT020 18/13 Q1016
2026-05-02 12:00:00,METAR LPPR 021200Z 19010KT 170V230 9999 SCT024 19/12 Q1016
2026-05-02 11:30:00,METAR LPPR 021130Z 19009KT 160V230 9999 SCT020 BKN030 18/11 Q1016
2026-05-02 11:00:00,METAR LPPR 021100Z 17011KT 9999 SCT020 BKN030 18/12 Q1017
2026-05-02 10:30:00,METAR LPPR 021030Z 16011KT 9999 SCT019 BKN030 18/12 Q1017
2026-05-02 10:00:00,METAR LPPR 021000Z 17011KT 9999 FEW014 BKN025 17/13 Q1017
2026-05-02 09:30:00,METAR LPPR 020930Z 14007KT 100V170 9999 FEW030 17/13 Q1017
2026-05-02 09:00:00,METAR LPPR 020900Z 17007KT 9999 FEW014 BKN040 16/13 Q1016
2026-05-02 08:30:00,METAR LPPR 020830Z 15007KT 9999 FEW012 BKN040 15/13 Q1017
2026-05-02 08:00:00,METAR LPPR 020800Z 11005KT 070V130 9999 -RA FEW012 BKN040 14/12 Q1016
2026-05-02 07:30:00,METAR LPPR 020730Z 11004KT 070V150 9999 FEW014 BKN040 14/12 Q1017
2026-05-02 07:00:00,METAR LPPR 020700Z VRB01KT 9999 -RA FEW017 BKN040 14/11 Q1016
2026-05-02 06:30:00,METAR LPPR 020630Z 12008KT 070V140 9999 -RA FEW020 BKN040 14/11 Q1016
2026-05-02 06:00:00,METAR LPPR 020600Z 13006KT 100V160 9999 BKN046 13/10 Q1016
2026-05-02 05:30:00,METAR LPPR 020530Z 12006KT 9999 FEW040 13/10 Q1016
2026-05-02 05:00:00,METAR LPPR 020500Z 12006KT 9999 FEW040 12/10 Q1016
2026-05-02 04:30:00,METAR LPPR 020430Z 14004KT CAVOK 12/10 Q1016
2026-05-02 04:00:00,METAR LPPR 020400Z 00000KT CAVOK 12/10 Q1017
2026-05-02 03:30:00,METAR LPPR 020330Z VRB02KT CAVOK 13/11 Q1016
2026-05-02 03:00:00,METAR LPPR 020300Z VRB02KT 9999 FEW040 12/11 Q1017
2026-05-02 02:30:00,METAR LPPR 020230Z 00000KT 9999 SCT040 13/11 Q1017
2026-05-02 02:00:00,METAR LPPR 020200Z 00000KT 9999 FEW040 13/12 Q1017
2026-05-02 01:30:00,METAR LPPR 020130Z 00000KT 9999 FEW044 13/11 Q1017
2026-05-02 01:00:00,METAR LPPR 020100Z 00000KT 9999 FEW044 13/12 Q1017
2026-05-02 00:30:00,METAR LPPR 020030Z 00000KT 9999 FEW044 13/12 Q1018
2026-05-02 00:00:00,METAR LPPR 020000Z 00000KT 9999 SCT044 14/12 Q1018
2026-05-01 23:30:00,METAR LPPR 012330Z 09002KT CAVOK 14/12 Q1018
2026-05-01 23:00:00,METAR LPPR 012300Z 08003KT 060V130 CAVOK 14/12 Q1018
2026-05-01 22:30:00,METAR LPPR 012230Z 00000KT 9999 FEW046 14/12 Q1018
2026-05-01 22:00:00,METAR LPPR 012200Z 35002KT 9999 SCT046 14/12 Q1019
2026-05-01 21:30:00,METAR LPPR 012130Z VRB02KT CAVOK 15/12 Q1019
2026-05-01 21:00:00,METAR LPPR 012100Z 36002KT CAVOK 15/12 Q1019
2026-05-01 20:30:00,METAR LPPR 012030Z 36003KT 330V040 CAVOK 15/12 Q1018
2026-05-01 20:00:00,METAR LPPR 012000Z 35003KT 320V030 CAVOK 16/12 Q1018
2026-05-01 19:30:00,METAR LPPR 011930Z 31005KT 270V330 CAVOK 16/12 Q1019
2026-05-01 19:00:00,METAR LPPR 011900Z 31006KT 280V340 CAVOK 17/12 Q1018
2026-05-01 18:30:00,METAR LPPR 011830Z 32006KT 280V340 9999 FEW025 17/11 Q1018
2026-05-01 18:00:00,METAR LPPR 011800Z 31006KT CAVOK 18/10 Q1018
2026-05-01 17:30:00,METAR LPPR 011730Z 28004KT 230V330 CAVOK 18/11 Q1018
2026-05-01 17:00:00,METAR LPPR 011700Z 29005KT 240V330 CAVOK 18/11 Q1018
2026-05-01 16:30:00,METAR LPPR 011630Z 29006KT 240V320 CAVOK 19/11 Q1018
2026-05-01 16:00:00,METAR LPPR 011600Z 29006KT 270V330 9999 FEW032 19/09 Q1018
2026-05-01 15:30:00,METAR LPPR 011530Z 28005KT 230V330 9999 FEW035 20/09 Q1018
2026-05-01 15:00:00,METAR LPPR 011500Z 30006KT 250V320 9999 FEW035 19/11 Q1018
2026-05-01 14:30:00,METAR LPPR 011430Z 30006KT 250V330 9999 FEW030 19/11 Q1018
2026-05-01 14:00:00,METAR LPPR 011400Z 29006KT 250V320 9999 FEW030 19/10 Q1019
2026-05-01 13:30:00,METAR LPPR 011330Z 27006KT 210V320 9999 FEW030 19/11 Q1019
2026-05-01 13:00:00,METAR LPPR 011300Z 28006KT 220V320 9999 FEW027 19/10 Q1019
2026-05-01 12:30:00,METAR LPPR 011230Z 26006KT 220V320 9999 FEW027 18/12 Q1019
2026-05-01 12:00:00,METAR LPPR 011200Z 24006KT 210V300 9999 FEW027 19/11 Q1019
2026-05-01 11:30:00,METAR LPPR 011130Z VRB05KT 9999 SCT025 19/11 Q1019
2026-05-01 11:00:00,METAR LPPR 011100Z VRB04KT 9999 FEW016 SCT020 18/13 Q1019
2026-05-01 10:30:00,METAR LPPR 011030Z 29004KT 230V010 9999 FEW012 SCT015 18/14 Q1020
2026-05-01 10:00:00,METAR LPPR 011000Z 28004KT 230V340 9999 SCT010 17/14 Q1020
2026-05-01 09:30:00,METAR LPPR 010930Z 25006KT 220V290 9999 SCT010 17/13 Q1020
2026-05-01 09:00:00,METAR LPPR 010900Z 25004KT 220V310 9999 FEW009 SCT013 17/14 Q1019
2026-05-01 08:30:00,METAR LPPR 010830Z VRB02KT 9000 FEW009 SCT013 16/13 Q1019
2026-05-01 08:00:00,METAR LPPR 010800Z 25003KT 200V300 9999 FEW018 16/14 Q1019
2026-05-01 07:30:00,METAR LPPR 010730Z VRB01KT CAVOK 17/14 Q1019
2026-05-01 07:00:00,METAR LPPR 010700Z 11003KT 050V150 CAVOK 14/12 Q1018
2026-05-01 06:30:00,METAR LPPR 010630Z 13003KT 9000 NSC 13/12 Q1018
2026-05-01 06:00:00,METAR LPPR 010600Z VRB02KT 9000 4200N BCFG NSC 12/11 Q1018
2026-05-01 05:30:00,METAR LPPR 010530Z VRB02KT 9000 4200N BCFG NSC 12/11 Q1018
2026-05-01 05:00:00,METAR LPPR 010500Z 00000KT CAVOK 13/12 Q1018
2026-05-01 04:30:00,METAR LPPR 010430Z 12003KT 080V140 CAVOK 13/12 Q1018
2026-05-01 04:00:00,METAR LPPR 010400Z VRB02KT 9999 FEW048 13/12 Q1018
2026-05-01 03:30:00,METAR LPPR 010330Z 06003KT 9999 FEW048 14/13 Q1018
2026-05-01 03:00:00,METAR LPPR 010300Z 04003KT 9999 FEW048 14/13 Q1018
2026-05-01 02:30:00,METAR LPPR 010230Z 00000KT 9999 FEW048 14/13 Q1018
2026-05-01 02:00:00,METAR LPPR 010200Z 00000KT 9999 FEW048 14/13 Q1018
2026-05-01 01:30:00,METAR LPPR 010130Z 00000KT 9999 FEW048 13/12 Q1019
