Time_recorded,METAR
2026-05-02 15:00:00,METAR DFFD 021500Z VRB07KT CAVOK 42/14 Q1007 NOSIG
2026-05-02 14:00:00,METAR DFFD 021400Z VRB05KT CAVOK 41/16 Q1007 NOSIG
2026-05-02 13:00:00,METAR DFFD 021300Z VRB03KT CAVOK 41/19 Q1008 NOSIG
2026-05-02 12:00:00,METAR DFFD 021200Z 25006KT 180V320 CAVOK 39/20 Q1009 NOSIG
2026-05-02 11:00:00,METAR DFFD 021100Z 24006KT 190V300 CAVOK 38/22 Q1010 NOSIG
2026-05-02 10:00:00,METAR DFFD 021000Z 21009KT CAVOK 36/22 Q1010 NOSIG
2026-05-02 09:00:00,METAR DFFD 020900Z 20011KT CAVOK 34/22 Q1010 NOSIG
2026-05-02 08:00:00,METAR DFFD 020800Z 20011KT CAVOK 32/22 Q1010 NOSIG
2026-05-02 07:00:00,METAR DFFD 020700Z 19008KT CAVOK 31/21 Q1009 NOSIG
2026-05-02 06:00:00,METAR DFFD 020600Z 16007KT CAVOK 31/20 Q1009 NOSIG
2026-05-02 05:00:00,METAR DFFD 020500Z 32002KT CAVOK 29/24 Q1008 NOSIG
2026-05-02 04:00:00,METAR DFFD 020400Z 00000KT 8000 NSC 29/23 Q1007 NOSIG
2026-05-02 02:00:00,METAR DFFD 020200Z 31002KT 8000 NSC 30/22 Q1007 NOSIG
2026-05-02 01:00:00,METAR DFFD 020100Z 00000KT CAVOK 31/24 Q1008 NOSIG
2026-05-02 00:00:00,METAR DFFD 020000Z 00000KT CAVOK 32/21 Q1009 NOSIG
2026-05-01 23:00:00,METAR DFFD 012300Z 22002KT CAVOK 33/21 Q1009 NOSIG
2026-05-01 22:00:00,METAR DFFD 012200Z 20003KT CAVOK 33/20 Q1009 NOSIG
2026-05-01 20:00:00,METAR DFFD 012000Z 17004KT CAVOK 37/18 Q1008 NOSIG
2026-05-01 19:00:00,METAR DFFD 011900Z 15003KT CAVOK 38/18 Q1008 NOSIG
2026-05-01 18:00:00,METAR DFFD 011800Z 11005KT 9999 FEW026 40/17 Q1007 NOSIG
2026-05-01 16:00:00,METAR DFFD 011600Z 11007KT 070V140 9999 FEW026 41/16 Q1007 NOSIG
2026-05-01 15:00:00,METAR DFFD 011500Z 06011KT 020V090 9999 FEW026 41/15 Q1007 NOSIG
2026-05-01 14:00:00,METAR DFFD 011400Z 18006KT 110V220 CAVOK 41/17 Q1008 NOSIG
2026-05-01 13:00:00,METAR DFFD 011300Z VRB03KT CAVOK 40/18 Q1009 NOSIG
2026-05-01 12:00:00,METAR DFFD 011200Z 20007KT 170V280 CAVOK 39/19 Q1010 NOSIG
2026-05-01 11:00:00,METAR DFFD 011100Z 23007KT 180V270 CAVOK 38/20 Q1011 NOSIG
2026-05-01 10:00:00,METAR DFFD 011000Z 21010KT CAVOK 36/21 Q1011 NOSIG
2026-05-01 09:00:00,METAR DFFD 010900Z 22009KT CAVOK 34/21 Q1012 NOSIG
2026-05-01 08:00:00,METAR DFFD 010800Z 23007KT 200V270 CAVOK 32/22 Q1011 NOSIG
2026-05-01 07:00:00,METAR DFFD 010700Z 21005KT 180V260 CAVOK 30/22 Q1011 NOSIG
2026-05-01 06:00:00,METAR DFFD 010600Z 22004KT CAVOK 29/21 Q1010 NOSIG
2026-05-01 05:00:00,METAR DFFD 010500Z 22005KT CAVOK 29/22 Q1009 NOSIG
2026-05-01 03:00:00,METAR DFFD 010300Z 23004KT CAVOK 30/21 Q1009 NOSIG
2026-05-01 02:00:00,METAR DFFD 010200Z 26003KT CAVOK 31/20 Q1009 NOSIG
2026-05-01 01:00:00,METAR DFFD 010100Z 25003KT CAVOK 31/21 Q1010 NOSIG
2026-05-01 00:00:00,METAR DFFD 010000Z 24003KT CAVOK 32/21 Q1011 NOSIG
2026-04-30 22:00:00,METAR DFFD 302200Z 24003KT CAVOK 33/21 Q1010 NOSIG
2026-04-30 21:00:00,METAR DFFD 302100Z 25002KT CAVOK 33/21 Q1010 NOSIG
2026-04-30 20:00:00,METAR DFFD 302000Z 26003KT CAVOK 34/21 Q1009 NOSIG
2026-04-30 19:00:00,METAR DFFD 301900Z 28002KT 8000 NSC 35/21 Q1009 NOSIG
2026-04-30 18:00:00,METAR DFFD 301800Z VRB03KT 8000 NSC 37/19 Q1008 NOSIG
2026-04-30 16:00:00,METAR DFFD 301600Z 02007KT 320V070 9999 FEW026 39/19 Q1009 NOSIG
2026-04-30 14:00:00,METAR DFFD 301400Z VRB05KT CAVOK 38/20 Q1011 NOSIG
2026-04-30 13:00:00,METAR DFFD 301300Z 02009KT 320V060 CAVOK 37/20 Q1012 NOSIG
2026-04-30 12:00:00,METAR DFFD 301200Z 01006KT 300V100 CAVOK 36/21 Q1013 NOSIG
2026-04-30 11:00:00,METAR DFFD 301100Z VRB04KT CAVOK 35/21 Q1014 NOSIG
2026-04-30 10:00:00,METAR DFFD 301000Z VRB03KT CAVOK 34/22 Q1014 NOSIG
2026-04-30 09:00:00,METAR DFFD 300900Z 30004KT 240V350 CAVOK 32/22 Q1015 NOSIG
2026-04-30 08:00:00,METAR DFFD 300800Z 26004KT 210V310 CAVOK 30/22 Q1014 NOSIG
2026-04-30 07:00:00,METAR DFFD 300700Z VRB03KT 9999 FEW026 27/23 Q1013 NOSIG
2026-04-30 06:00:00,METAR DFFD 300600Z VRB03KT 9999 FEW026 27/23 Q1013 NOSIG
2026-04-30 05:00:00,METAR DFFD 300500Z 32004KT CAVOK 27/23 Q1013 NOSIG
2026-04-30 04:00:00,METAR DFFD 300400Z 34004KT 300V360 CAVOK 28/23 Q1012 NOSIG
2026-04-30 01:00:00,METAR DFFD 300100Z 23004KT CAVOK 29/23 Q1012 NOSIG
2026-04-30 00:00:00,METAR DFFD 300000Z 25003KT CAVOK 29/23 Q1012 NOSIG
2026-04-29 23:00:00,METAR DFFD 292300Z 20006KT CAVOK 30/23 Q1013 NOSIG
2026-04-29 22:00:00,METAR DFFD 292200Z 20006KT CAVOK 30/24 Q1012 NOSIG
2026-04-29 21:00:00,METAR DFFD 292100Z 19004KT CAVOK 30/24 Q1012 NOSIG
2026-04-29 20:00:00,METAR DFFD 292000Z VRB03KT CAVOK 31/23 Q1011 NOSIG
2026-04-29 19:00:00,METAR DFFD 291900Z 32002KT CAVOK 32/21 Q1010 NOSIG
2026-04-29 18:00:00,METAR DFFD 291800Z 34004KT CAVOK 33/20 Q1009 NOSIG
2026-04-29 17:00:00,METAR DFFD 291700Z 01004KT 280V060 CAVOK 34/20 Q1009 NOSIG
2026-04-29 16:00:00,METAR DFFD 291600Z 07005KT 350V140 CAVOK 35/21 Q1009 NOSIG
2026-04-29 15:00:00,METAR DFFD 291500Z VRB03KT CAVOK 34/20 Q1009 NOSIG
2026-04-29 14:00:00,METAR DFFD 291400Z VRB01KT 9999 FEW020 34/22 Q1010 NOSIG
2026-04-29 13:00:00,METAR DFFD 291300Z VRB04KT 9999 FEW020 32/22 Q1011 NOSIG
2026-04-29 12:00:00,METAR DFFD 291200Z 28005KT 230V360 CAVOK 31/23 Q1012 NOSIG
2026-04-29 11:00:00,METAR DFFD 291100Z 25006KT 210V290 CAVOK 29/23 Q1013 NOSIG
2026-04-29 10:00:00,METAR DFFD 291000Z 23004KT 200V270 9999 FEW020 28/23 Q1013 NOSIG
2026-04-29 09:00:00,METAR DFFD 290900Z 28005KT 240V320 9999 FEW020 26/22 Q1013 NOSIG
2026-04-29 08:00:00,METAR DFFD 290800Z 32007KT 9999 FEW020 25/23 Q1011 NOSIG
2026-04-29 07:00:00,METAR DFFD 290700Z COR 31005KT 9999 -RA FEW020 FEW033CB 24/23 Q1012 RETS NOSIG
2026-04-29 06:00:00,METAR DFFD 290600Z COR 32004KT 9999 -TSRA FEW020 FEW033CB 23/23 Q1013 NOSIG
2026-04-29 05:00:00,METAR DFFD 290500Z 09011KT 9000 -TSRA FEW020 FEW033CB 24/23 Q1014 TEMPO 4000 TSRA
2026-04-28 23:00:00,METAR DFFD 282300Z 17004KT CAVOK 33/20 Q1011 NOSIG
2026-04-28 21:00:00,METAR DFFD 282100Z 11009KT 8000 NSC 34/20 Q1009 TEMPO 3500 BLDU TS FEW026 FEW040CB
2026-04-28 20:00:00,METAR DFFD 282000Z 11004KT 8000 NSC 36/20 Q1008 NOSIG
2026-04-28 19:00:00,METAR DFFD 281900Z VRB03KT 8000 FEW026 36/18 Q1008 NOSIG
2026-04-28 18:00:00,METAR DFFD 281800Z 15006KT 9999 FEW026 37/19 Q1007 NOSIG
2026-04-28 16:00:00,METAR DFFD 281600Z 15006KT 090V190 9999 SCT026 39/19 Q1006 NOSIG
2026-04-28 13:00:00,METAR DFFD 281300Z 13008KT 080V230 9999 FEW026 38/19 Q1009 NOSIG
2026-04-28 12:00:00,METAR DFFD 281200Z 13007KT 080V190 9999 FEW026 37/19 Q1011 NOSIG
