Time_recorded,METAR
2026-05-02 15:20:00,METAR EGTK 021520Z 07006KT 050V120 9999 FEW040 19/09 Q1012
2026-05-02 14:50:00,METAR EGTK 021450Z 18004KT 120V230 9999 FEW040 19/08 Q1013
2026-05-02 14:20:00,METAR EGTK 021420Z 17004KT 090V250 9999 FEW040 19/08 Q1013
2026-05-02 13:50:00,METAR EGTK 021350Z 15004KT 100V270 9999 FEW040 19/08 Q1014
2026-05-02 13:20:00,METAR EGTK 021320Z VRB04KT 9999 FEW040 18/08 Q1014
2026-05-02 12:50:00,METAR EGTK 021250Z 21003KT 140V260 9999 FEW037 19/07 Q1015
2026-05-02 12:20:00,METAR EGTK 021220Z 22006KT 160V280 9999 FEW037 18/07 Q1015
2026-05-02 11:50:00,METAR EGTK 021150Z VRB04KT 9999 FEW036 18/08 Q1015
2026-05-02 11:20:00,METAR EGTK 021120Z VRB04KT 9999 FEW029 17/08 Q1016
2026-05-02 10:50:00,METAR EGTK 021050Z 20006KT 150V240 9999 FEW029 17/07 Q1016
2026-05-02 10:20:00,METAR EGTK 021020Z 17007KT 110V240 9999 FEW029 17/08 Q1017
2026-05-02 09:50:00,METAR EGTK 020950Z VRB02KT CAVOK 15/08 Q1017
2026-05-02 09:20:00,METAR EGTK 020920Z VRB02KT CAVOK 15/09 Q1017
2026-05-02 08:50:00,METAR EGTK 020850Z VRB01KT CAVOK 14/09 Q1017
2026-05-02 08:20:00,METAR EGTK 020820Z VRB02KT CAVOK 14/10 Q1017
2026-05-02 07:50:00,METAR EGTK 020750Z VRB02KT 9000 NSC 12/09 Q1018
2026-05-02 07:20:00,METAR EGTK 020720Z VRB02KT 9000 NSC 11/09 Q1018
2026-05-02 06:50:00,METAR EGTK 020650Z 26002KT 9000 FEW040 10/08 Q1018
2026-05-02 06:20:00,METAR EGTK 020620Z 22001KT 8000 FEW042 08/08 Q1018
2026-05-02 05:50:00,METAR EGTK 020550Z 19002KT 8000 FEW042 08/07 Q1018
2026-05-02 05:20:00,METAR EGTK 020520Z 22001KT 7000 SCT042 06/06 Q1017
2026-05-02 04:50:00,METAR EGTK 020450Z 24003KT 6000 SCT042 07/07 Q1017
2026-05-01 21:20:00,METAR EGTK 012120Z 24005KT 9999 BKN037 14/11 Q1019
2026-05-01 20:50:00,METAR EGTK 012050Z 24005KT 9999 BKN037 14/11 Q1019
2026-05-01 20:20:00,METAR EGTK 012020Z 24006KT 9999 SCT040 13/11 Q1019
2026-05-01 19:50:00,METAR EGTK 011950Z 25005KT CAVOK 14/11 Q1019
2026-05-01 19:20:00,METAR EGTK 011920Z 24005KT CAVOK 15/11 Q1018
2026-05-01 18:50:00,METAR EGTK 011850Z 24008KT 9999 FEW045 16/12 Q1018
2026-05-01 18:20:00,METAR EGTK 011820Z 24009KT 9999 SCT042 17/12 Q1018
2026-05-01 17:50:00,METAR EGTK 011750Z 25011KT 9999 SCT039 18/12 Q1018
2026-05-01 17:20:00,METAR EGTK 011720Z 24010KT 9999 SCT034 19/13 Q1018
2026-05-01 16:50:00,METAR EGTK 011650Z 23010KT 9999 SCT029 20/13 Q1018
2026-05-01 16:20:00,METAR EGTK 011620Z 22013KT 190V250 9999 FEW035 20/13 Q1018
2026-05-01 15:50:00,METAR EGTK 011550Z 23014KT 9999 FEW035 21/13 Q1018
2026-05-01 15:20:00,METAR EGTK 011520Z 22014KT 9999 FEW035 22/13 Q1018
2026-05-01 14:50:00,METAR EGTK 011450Z 19013KT CAVOK 22/10 Q1018
2026-05-01 14:20:00,METAR EGTK 011420Z 20012KT 160V230 CAVOK 24/10 Q1018
2026-05-01 13:50:00,METAR EGTK 011350Z 19011KT 140V220 CAVOK 24/09 Q1018
2026-05-01 13:20:00,METAR EGTK 011320Z 19012KT CAVOK 24/08 Q1018
2026-05-01 12:50:00,METAR EGTK 011250Z 17011KT CAVOK 24/08 Q1018
2026-05-01 12:20:00,METAR EGTK 011220Z 17013KT CAVOK 23/07 Q1018
2026-05-01 11:50:00,METAR EGTK 011150Z 14010KT 120V180 CAVOK 23/07 Q1019
2026-05-01 11:20:00,METAR EGTK 011120Z 16007KT 130V200 CAVOK 22/08 Q1019
2026-05-01 10:50:00,METAR EGTK 011050Z 14008KT 100V190 CAVOK 21/08 Q1019
2026-05-01 10:20:00,METAR EGTK 011020Z 12006KT 080V160 CAVOK 21/07 Q1019
2026-05-01 09:50:00,METAR EGTK 010950Z 11003KT 070V210 CAVOK 19/06 Q1019
2026-05-01 09:20:00,METAR EGTK 010920Z 13006KT 080V160 CAVOK 18/05 Q1020
2026-05-01 08:50:00,METAR EGTK 010850Z 14006KT 080V180 CAVOK 18/05 Q1020
2026-05-01 08:20:00,METAR EGTK 010820Z 12005KT 080V180 CAVOK 16/05 Q1020
2026-05-01 07:50:00,METAR EGTK 010750Z 10003KT 070V130 CAVOK 14/05 Q1020
2026-05-01 07:20:00,METAR EGTK 010720Z 08004KT 050V120 CAVOK 13/05 Q1020
2026-05-01 06:50:00,METAR EGTK 010650Z VRB02KT CAVOK 12/05 Q1020
2026-05-01 06:20:00,METAR EGTK 010620Z 02004KT CAVOK 10/04 Q1020
2026-05-01 05:50:00,METAR EGTK 010550Z 36005KT CAVOK 08/04 Q1019
2026-05-01 05:20:00,METAR EGTK 010520Z 33004KT CAVOK 06/03 Q1019
2026-05-01 04:50:00,METAR EGTK 010450Z 33003KT CAVOK 05/03 Q1019
