Time_recorded,METAR
2026-05-02 15:20:00,METAR LIRZ 021520Z AUTO 36010KT 340V040 9999 NCD 22/04 Q1021
2026-05-02 14:50:00,METAR LIRZ 021450Z AUTO 02011KT 340V050 9999 NCD 22/04 Q1021
2026-05-02 14:20:00,METAR LIRZ 021420Z AUTO 02009G19KT 330V070 9999 NCD 22/04 Q1021
2026-05-02 13:50:00,METAR LIRZ 021350Z AUTO 03007KT 330V120 9999 NCD 22/04 Q1022
2026-05-02 13:20:00,METAR LIRZ 021320Z AUTO 06010KT 010V100 9999 NCD 22/02 Q1022
2026-05-02 12:50:00,METAR LIRZ 021250Z AUTO 09006KT 040V130 9999 NCD 22/01 Q1022
2026-05-02 12:20:00,METAR LIRZ 021220Z AUTO 03008KT 350V110 9999 NCD 21/04 Q1023
2026-05-02 11:50:00,METAR LIRZ 021150Z AUTO 03006KT 330V090 9999 NCD 21/04 Q1023
2026-05-02 11:20:00,METAR LIRZ 021120Z AUTO 04008KT 360V070 9999 NCD 21/04 Q1023
2026-05-02 10:50:00,METAR LIRZ 021050Z AUTO 04007KT 360V100 9999 NCD 20/02 Q1024
2026-05-02 10:20:00,METAR LIRZ 021020Z AUTO 04011KT 350V090 9999 NCD 20/02 Q1024
2026-05-02 09:50:00,METAR LIRZ 020950Z AUTO 02013KT 9999 NCD 20/04 Q1024
2026-05-02 09:20:00,METAR LIRZ 020920Z AUTO 02011KT 340V050 9999 NCD 19/02 Q1024
2026-05-02 08:50:00,METAR LIRZ 020850Z AUTO 04010KT 360V070 9999 NCD 19/03 Q1025
2026-05-02 08:20:00,METAR LIRZ 020820Z AUTO 04012KT 9999 NCD 18/02 Q1025
2026-05-02 07:50:00,METAR LIRZ 020750Z AUTO 02006KT 340V090 9999 NCD 17/04 Q1025
2026-05-02 07:20:00,METAR LIRZ 020720Z AUTO 33004KT 270V040 9999 NCD 15/03 Q1025
2026-05-02 06:50:00,METAR LIRZ 020650Z AUTO VRB02KT 9999 NCD 12/02 Q1025
2026-05-02 06:20:00,METAR LIRZ 020620Z AUTO VRB02KT 9999 NCD 09/02 Q1026
2026-05-02 05:50:00,METAR LIRZ 020550Z AUTO 22003KT 130V290 9999 NCD 07/02 Q1026
2026-05-02 05:20:00,METAR LIRZ 020520Z AUTO VRB01KT 9999 NCD 06/01 Q1025
2026-05-02 04:50:00,METAR LIRZ 020450Z AUTO VRB02KT 9999 NCD 03/01 Q1026
2026-05-02 04:20:00,METAR LIRZ 020420Z AUTO VRB04KT 9999 NCD 03/M00 Q1025
2026-05-02 03:50:00,METAR LIRZ 020350Z AUTO 36008KT 9999 NCD 03/00 Q1025
2026-05-02 03:20:00,METAR LIRZ 020320Z AUTO 01005KT 9999 NCD 03/M00 Q1025
2026-05-02 02:50:00,METAR LIRZ 020250Z AUTO 35004KT 330V040 9999 NCD 03/M00 Q1025
2026-05-02 02:20:00,METAR LIRZ 020220Z AUTO 35003KT 9999 NCD 03/M01 Q1026
2026-05-02 01:50:00,METAR LIRZ 020150Z AUTO 28003KT 250V350 9999 NCD 04/M00 Q1026
2026-05-02 01:20:00,METAR LIRZ 020120Z AUTO 33003KT 290V050 9999 NCD 05/M00 Q1025
2026-05-02 00:50:00,METAR LIRZ 020050Z AUTO 02008KT 9999 NCD 05/M00 Q1025
2026-05-02 00:20:00,METAR LIRZ 020020Z AUTO 31004KT 290V350 9999 NCD 06/M01 Q1026
2026-05-01 23:50:00,METAR LIRZ 012350Z AUTO 35008KT 9999 NCD 06/M01 Q1026
2026-05-01 23:20:00,METAR LIRZ 012320Z AUTO 35004KT 9999 NCD 05/M01 Q1026
2026-05-01 22:50:00,METAR LIRZ 012250Z AUTO VRB04KT 9999 NCD 06/M01 Q1026
2026-05-01 22:20:00,METAR LIRZ 012220Z AUTO 32003KT 220V360 9999 NCD 06/M01 Q1026
2026-05-01 21:50:00,METAR LIRZ 012150Z AUTO 01007KT 9999 NCD 07/M01 Q1026
2026-05-01 21:20:00,METAR LIRZ 012120Z AUTO 36006KT 9999 NCD 08/M02 Q1025
2026-05-01 20:50:00,METAR LIRZ 012050Z AUTO 33003KT 9999 NCD 11/M04 Q1025
2026-05-01 20:20:00,METAR LIRZ 012020Z AUTO 01005KT 340V060 9999 NCD 11/M03 Q1025
2026-05-01 19:50:00,METAR LIRZ 011950Z AUTO 01006KT 9999 NCD 10/M02 Q1025
2026-05-01 19:20:00,METAR LIRZ 011920Z AUTO 02009KT 360V070 9999 NCD 12/M04 Q1024
2026-05-01 18:50:00,METAR LIRZ 011850Z AUTO 02009KT 360V060 9999 NCD 13/M04 Q1024
2026-05-01 18:20:00,METAR LIRZ 011820Z AUTO 04014KT 9999 NCD 13/M04 Q1023
2026-05-01 17:50:00,METAR LIRZ 011750Z AUTO 04014KT 9999 NCD 14/M03 Q1023
2026-05-01 17:20:00,METAR LIRZ 011720Z AUTO 04013KT 9999 NCD 15/M02 Q1023
2026-05-01 16:50:00,METAR LIRZ 011650Z AUTO 03013KT 9999 NCD 16/M02 Q1023
2026-05-01 16:20:00,METAR LIRZ 011620Z AUTO 03011KT 9999 NCD 16/M01 Q1023
2026-05-01 15:50:00,METAR LIRZ 011550Z AUTO 03013KT 9999 NCD 17/M01 Q1023
2026-05-01 15:20:00,METAR LIRZ 011520Z AUTO 02012KT 350V050 9999 NCD 17/00 Q1023
2026-05-01 14:50:00,METAR LIRZ 011450Z AUTO 03013KT 9999 NCD 17/01 Q1023
2026-05-01 14:20:00,METAR LIRZ 011420Z AUTO 03014KT 9999 NCD 17/00 Q1023
2026-05-01 13:50:00,METAR LIRZ 011350Z AUTO 03014KT 9999 NCD 18/01 Q1023
2026-05-01 13:20:00,METAR LIRZ 011320Z AUTO 02015KT 9999 NCD 17/02 Q1023
2026-05-01 12:50:00,METAR LIRZ 011250Z AUTO 03014KT 9999 NCD 18/02 Q1024
2026-05-01 12:20:00,METAR LIRZ 011220Z AUTO 04015KT 9999 NCD 17/01 Q1024
2026-05-01 11:50:00,METAR LIRZ 011150Z AUTO 02015KT 350V050 9999 NCD 18/02 Q1024
2026-05-01 11:20:00,METAR LIRZ 011120Z AUTO 03014KT 010V070 9999 FEW062/// 17/02 Q1024
2026-05-01 10:50:00,METAR LIRZ 011050Z AUTO 03013KT 350V050 9999 FEW060/// 16/02 Q1024
2026-05-01 10:20:00,METAR LIRZ 011020Z AUTO 03014KT 9999 FEW056/// 16/02 Q1025
2026-05-01 09:50:00,METAR LIRZ 010950Z AUTO 05014KT 020V080 9999 BKN058/// 15/02 Q1025
2026-05-01 09:20:00,METAR LIRZ 010920Z AUTO 04013KT 010V090 9999 BKN056/// 14/02 Q1025
2026-05-01 08:50:00,METAR LIRZ 010850Z AUTO 04014KT 9999 FEW054/// 14/02 Q1025
2026-05-01 08:20:00,METAR LIRZ 010820Z AUTO 04009KT 360V080 9999 FEW054/// 14/02 Q1025
2026-05-01 07:50:00,METAR LIRZ 010750Z AUTO 04013KT 9999 NCD 14/02 Q1025
2026-05-01 07:20:00,METAR LIRZ 010720Z AUTO 04012KT 9999 NCD 14/02 Q1024
2026-05-01 06:50:00,METAR LIRZ 010650Z AUTO 05013KT 9999 NCD 13/03 Q1024
2026-05-01 05:20:00,METAR LIRZ 010520Z AUTO 31005KT 9999 NCD 10/02 Q1024
2026-05-01 04:50:00,METAR LIRZ 010450Z AUTO 33006KT 300V010 9999 NCD 08/02 Q1024
2026-05-01 04:20:00,METAR LIRZ 010420Z AUTO 02007KT 320V080 9999 NCD 08/03 Q1023
2026-05-01 03:50:00,METAR LIRZ 010350Z AUTO 36007KT 9999 NCD 06/02 Q1023
2026-05-01 03:20:00,METAR LIRZ 010320Z AUTO 02008KT 9999 NCD 06/02 Q1023
2026-05-01 02:50:00,METAR LIRZ 010250Z AUTO 02011KT 9999 NCD 07/02 Q1023
2026-05-01 02:20:00,METAR LIRZ 010220Z AUTO 01010KT 9999 NCD 08/02 Q1023
2026-05-01 01:50:00,METAR LIRZ 010150Z AUTO 02008KT 350V050 9999 NCD 09/02 Q1023
2026-05-01 01:20:00,METAR LIRZ 010120Z AUTO 01006KT 330V050 9999 NCD 08/02 Q1023
2026-05-01 00:50:00,METAR LIRZ 010050Z AUTO 02005KT 350V050 9999 NCD 09/02 Q1023
2026-05-01 00:20:00,METAR LIRZ 010020Z AUTO 01007KT 9999 NCD 08/02 Q1023
2026-04-30 23:50:00,METAR LIRZ 302350Z AUTO 03011KT 9999 NCD 09/02 Q1023
2026-04-30 23:20:00,METAR LIRZ 302320Z AUTO 02006KT 9999 NCD 08/03 Q1023
2026-04-30 22:50:00,METAR LIRZ 302250Z AUTO 02011KT 9999 NCD 08/02 Q1023
2026-04-30 22:20:00,METAR LIRZ 302220Z AUTO 02013KT 9999 NCD 09/02 Q1022
2026-04-30 21:50:00,METAR LIRZ 302150Z AUTO 02010KT 9999 NCD 09/02 Q1022
2026-04-30 21:20:00,METAR LIRZ 302120Z AUTO 03012KT 9999 NCD 10/02 Q1022
2026-04-30 20:50:00,METAR LIRZ 302050Z AUTO 02010KT 9999 NCD 10/02 Q1022
2026-04-30 20:20:00,METAR LIRZ 302020Z AUTO 03015KT 9999 NCD 11/02 Q1022
2026-04-30 19:50:00,METAR LIRZ 301950Z AUTO 03014KT 9999 NCD 11/02 Q1022
2026-04-30 19:20:00,METAR LIRZ 301920Z AUTO 02013KT 9999 NCD 11/02 Q1022
2026-04-30 18:50:00,METAR LIRZ 301850Z AUTO 03014KT 9999 NCD 12/01 Q1021
2026-04-30 18:20:00,METAR LIRZ 301820Z AUTO 02013KT 9999 NCD 12/01 Q1021
2026-04-30 17:50:00,METAR LIRZ 301750Z AUTO 02015KT 9999 NCD 13/01 Q1021
2026-04-30 17:20:00,METAR LIRZ 301720Z AUTO 02018KT 9999 NCD 14/01 Q1020
2026-04-30 16:50:00,METAR LIRZ 301650Z AUTO 03019KT 9999 NCD 15/01 Q1020
2026-04-30 16:20:00,METAR LIRZ 301620Z AUTO 03018KT 9999 NCD 16/02 Q1020
2026-04-30 14:50:00,METAR LIRZ 301450Z AUTO 03018KT 9999 NCD 17/03 Q1020
2026-04-30 14:20:00,METAR LIRZ 301420Z AUTO 03019KT 9999 NCD 17/04 Q1020
2026-04-30 13:50:00,METAR LIRZ 301350Z AUTO 04018KT 9999 NCD 18/05 Q1020
2026-04-30 13:20:00,METAR LIRZ 301320Z AUTO 03018KT 9999 NCD 18/06 Q1020
2026-04-30 12:50:00,METAR LIRZ 301250Z AUTO 02019KT 9999 NCD 18/07 Q1020
2026-04-30 12:20:00,METAR LIRZ 301220Z AUTO 03018KT 9999 NCD 18/05 Q1020
2026-04-30 11:50:00,METAR LIRZ 301150Z AUTO 03019KT 9999 NCD 18/05 Q1020
2026-04-30 11:20:00,METAR LIRZ 301120Z AUTO 02019KT 9999 NCD 18/06 Q1020
2026-04-30 10:50:00,METAR LIRZ 301050Z AUTO 03018KT 360V060 9999 NCD 18/06 Q1020
2026-04-30 10:20:00,METAR LIRZ 301020Z AUTO 03018KT 9999 NCD 18/07 Q1020
2026-04-30 09:50:00,METAR LIRZ 300950Z AUTO 02018KT 9999 FEW090/// 18/07 Q1020
2026-04-30 09:20:00,METAR LIRZ 300920Z AUTO 03016KT 9999 FEW041/// 17/06 Q1020
2026-04-30 08:50:00,METAR LIRZ 300850Z AUTO 03020KT 9999 BKN039/// BKN085/// 16/08 Q1020
2026-04-30 08:20:00,METAR LIRZ 300820Z AUTO 03017KT 9999 SCT083/// 16/08 Q1020
2026-04-30 07:50:00,METAR LIRZ 300750Z AUTO 04016KT 9999 BKN079/// BKN095/// 15/09 Q1020
2026-04-30 07:20:00,METAR LIRZ 300720Z AUTO 03014KT 9999 BKN079/// 16/09 Q1020
2026-04-30 06:50:00,METAR LIRZ 300650Z AUTO 04011KT 9999 SCT075/// 15/09 Q1020
2026-04-30 06:20:00,METAR LIRZ 300620Z AUTO 02011KT 9999 NCD 14/09 Q1019
2026-04-30 05:50:00,METAR LIRZ 300550Z AUTO 03012KT 9999 FEW034/// 14/08 Q1019
2026-04-30 05:20:00,METAR LIRZ 300520Z AUTO 02012KT 9999 NCD 14/08 Q1019
2026-04-30 04:50:00,METAR LIRZ 300450Z AUTO 02009KT 9999 SCT081/// 14/09 Q1018
2026-04-30 04:20:00,METAR LIRZ 300420Z AUTO 02009KT 9999 BKN060/// BKN093/// 14/09 Q1018
2026-04-30 03:50:00,METAR LIRZ 300350Z AUTO 02010KT 9999 BKN054/// BKN086/// 15/09 Q1018
2026-04-30 03:20:00,METAR LIRZ 300320Z AUTO 02009KT 9999 BKN053/// BKN085/// 15/09 Q1018
2026-04-30 02:50:00,METAR LIRZ 300250Z AUTO 01010KT 9999 BKN086/// 15/09 Q1018
2026-04-30 02:20:00,METAR LIRZ 300220Z AUTO 02008KT 9999 BKN086/// 15/09 Q1018
2026-04-30 01:50:00,METAR LIRZ 300150Z AUTO 01011KT 9999 BKN087/// 15/10 Q1017
2026-04-30 01:20:00,METAR LIRZ 300120Z AUTO 03010KT 360V060 9999 OVC086/// 16/12 Q1017
2026-04-30 00:50:00,METAR LIRZ 300050Z AUTO 02012KT 9999 OVC086/// 16/12 Q1017
2026-04-30 00:20:00,METAR LIRZ 300020Z AUTO 01008KT 9999 BKN086/// 16/12 Q1017
2026-04-29 23:50:00,METAR LIRZ 292350Z AUTO 36007KT 9999 BKN088/// 14/10 Q1017
2026-04-29 23:20:00,METAR LIRZ 292320Z AUTO 36009KT 9999 NCD 13/09 Q1017
2026-04-29 22:50:00,METAR LIRZ 292250Z AUTO 34006KT 9999 NCD 13/09 Q1017
2026-04-29 22:20:00,METAR LIRZ 292220Z AUTO 36007KT 9999 FEW069/// BKN100/// BKN110/// 14/10 Q1016
2026-04-29 21:50:00,METAR LIRZ 292150Z AUTO 02007KT 9999 BKN096/// 14/10 Q1016
2026-04-29 21:20:00,METAR LIRZ 292120Z AUTO 01006KT 9999 FEW066/// BKN099/// BKN130/// 14/10 Q1016
2026-04-29 20:50:00,METAR LIRZ 292050Z AUTO 04005KT 9999 BKN077/// BKN110/// 15/11 Q1016
2026-04-29 20:20:00,METAR LIRZ 292020Z AUTO 36004KT 260V020 9999 BKN100/// 15/11 Q1016
2026-04-29 19:50:00,METAR LIRZ 291950Z AUTO VRB03KT 9999 BKN096/// 18/10 Q1016
2026-04-29 19:20:00,METAR LIRZ 291920Z AUTO 26004KT 220V280 9999 -RA BKN079/// BKN110/// 19/08 Q1015
2026-04-29 18:50:00,METAR LIRZ 291850Z AUTO VRB02KT 9999 BKN096/// 20/08 Q1015
2026-04-29 18:20:00,METAR LIRZ 291820Z AUTO 24008KT 9999 BKN088/// 21/04 Q1015
2026-04-29 17:50:00,METAR LIRZ 291750Z AUTO VRB01KT 9999 BKN086/// 22/05 Q1014
2026-04-29 17:20:00,METAR LIRZ 291720Z AUTO 29006KT 260V320 9999 BKN086/// BKN100/// 22/05 Q1014
2026-04-29 16:50:00,METAR LIRZ 291650Z AUTO 24008KT 9999 SCT089/// 22/04 Q1014
2026-04-29 16:20:00,METAR LIRZ 291620Z AUTO 23006KT 9999 BKN089/// 23/05 Q1014
2026-04-29 15:50:00,METAR LIRZ 291550Z AUTO 28003KT 210V360 9999 SCT088/// 25/02 Q1014
2026-04-29 15:20:00,METAR LIRZ 291520Z AUTO VRB03KT 9999 BKN089/// 26/01 Q1014
2026-04-29 14:50:00,METAR LIRZ 291450Z AUTO 22006KT 9999 BKN093/// 25/02 Q1014
2026-04-29 14:20:00,METAR LIRZ 291420Z AUTO VRB03KT 9999 SCT096/// 26/04 Q1014
2026-04-29 13:50:00,METAR LIRZ 291350Z AUTO VRB03KT 9999 FEW091/// 26/05 Q1014
2026-04-29 13:20:00,METAR LIRZ 291320Z AUTO VRB03KT 9999 NCD 25/04 Q1014
2026-04-29 12:50:00,METAR LIRZ 291250Z AUTO 27006KT 190V320 9999 FEW089/// 25/05 Q1015
2026-04-29 12:20:00,METAR LIRZ 291220Z AUTO 27006KT 210V330 9999 NCD 25/04 Q1015
2026-04-29 11:50:00,METAR LIRZ 291150Z AUTO 26008KT 190V300 9999 FEW090/// 25/M01 Q1015
2026-04-29 11:20:00,METAR LIRZ 291120Z AUTO 22005KT 130V300 9999 NCD 24/02 Q1015
2026-04-29 10:50:00,METAR LIRZ 291050Z AUTO VRB05KT 9999 FEW088/// 23/05 Q1015
2026-04-29 10:20:00,METAR LIRZ 291020Z AUTO VRB03KT 9999 NCD 23/06 Q1016
2026-04-29 09:50:00,METAR LIRZ 290950Z AUTO VRB02KT 9999 NCD 22/07 Q1016
2026-04-29 09:20:00,METAR LIRZ 290920Z AUTO VRB02KT 9999 NCD 20/08 Q1016
2026-04-29 08:50:00,METAR LIRZ 290850Z AUTO VRB02KT 9999 NCD 19/09 Q1016
2026-04-29 08:20:00,METAR LIRZ 290820Z AUTO VRB02KT 9999 NCD 18/08 Q1016
2026-04-29 07:50:00,METAR LIRZ 290750Z AUTO VRB01KT 9999 NCD 17/08 Q1017
2026-04-29 07:20:00,METAR LIRZ 290720Z AUTO VRB01KT 9999 NCD 15/08 Q1017
2026-04-29 06:50:00,METAR LIRZ 290650Z AUTO VRB02KT 9999 NCD 14/09 Q1017
2026-04-29 06:20:00,METAR LIRZ 290620Z AUTO 06003KT 020V120 9999 NCD 12/08 Q1017
