Time_recorded,METAR
2026-05-02 14:53:00,METAR KPSP 021453Z 33006KT 10SM CLR 26/04 A2989 RMK AO2 SLP119 T02610044 53014
2026-05-02 13:53:00,METAR KPSP 021353Z 32005KT 10SM CLR 23/05 A2988 RMK AO2 SLP115 T02330050
2026-05-02 12:53:00,METAR KPSP 021253Z 32012KT 10SM CLR 22/07 A2986 RMK AO2 SLP107 T02170067
2026-05-02 11:53:00,METAR KPSP 021153Z AUTO 36003KT 10SM CLR 22/06 A2985 RMK AO2 SLP104 T02220061 10278 20200 53003
2026-05-02 10:53:00,METAR KPSP 021053Z AUTO 00000KT 10SM CLR 21/09 A2985 RMK AO2 SLP103 T02060094
2026-05-02 09:53:00,METAR KPSP 020953Z AUTO 00000KT 10SM CLR 23/10 A2984 RMK AO2 SLP100 T02280100
2026-05-02 08:53:00,METAR KPSP 020853Z AUTO 00000KT 10SM CLR 23/08 A2984 RMK AO2 SLP101 T02330083 50004
2026-05-02 07:53:00,METAR KPSP 020753Z AUTO 36009KT 10SM CLR 25/09 A2985 RMK AO2 SLP103 T02500094 403670167
2026-05-02 06:53:00,METAR KPSP 020653Z AUTO 00000KT 10SM CLR 26/07 A2984 RMK AO2 SLP100 T02560067
2026-05-02 05:53:00,METAR KPSP 020553Z AUTO 32006KT 10SM CLR 28/07 A2983 RMK AO2 SLP097 T02780072 10361 20278 51024
2026-05-02 04:53:00,METAR KPSP 020453Z 32014G22KT 10SM CLR 29/05 A2983 RMK AO2 SLP095 T02890050
2026-05-02 03:53:00,METAR KPSP 020353Z AUTO 32013G19KT 10SM CLR 31/M01 A2979 RMK AO2 SLP084 T03111011
2026-05-02 02:53:00,METAR KPSP 020253Z AUTO 33017KT 10SM CLR 31/04 A2976 RMK AO2 SLP074 T03110044 53006
2026-05-02 01:53:00,METAR KPSP 020153Z 32014KT 10SM CLR 33/05 A2975 RMK AO2 SLP069 T03280050
2026-05-02 00:53:00,METAR KPSP 020053Z 32014G22KT 10SM CLR 35/04 A2974 RMK AO2 SLP067 T03500039
2026-05-01 23:53:00,METAR KPSP 012353Z 32016G21KT 10SM CLR 36/04 A2974 RMK AO2 SLP068 T03560039 10367 20289 56021
2026-05-01 22:53:00,METAR KPSP 012253Z 10SM CLR 36/01 A2976 RMK AO2 SLP071 T03560006
2026-05-01 21:53:00,METAR KPSP 012153Z 34007KT 10SM CLR 35/01 A2978 RMK AO2 SLP081 T03500006
2026-05-01 20:53:00,METAR KPSP 012053Z VRB06KT 10SM CLR 36/01 A2980 RMK AO2 SLP088 T03560011 56022
2026-05-01 19:53:00,METAR KPSP 011953Z VRB05KT 10SM CLR 33/05 A2982 RMK AO2 SLP095 T03330050
2026-05-01 18:53:00,METAR KPSP 011853Z VRB05KT 10SM CLR 31/07 A2985 RMK AO2 SLP104 T03110067
2026-05-01 17:53:00,METAR KPSP 011753Z 00000KT 10SM CLR 29/08 A2987 RMK AO2 SLP111 T02940078 10294 20167 50006
2026-05-01 16:53:00,METAR KPSP 011653Z VRB04KT 10SM CLR 27/09 A2987 RMK AO2 SLP113 T02720094
2026-05-01 15:53:00,METAR KPSP 011553Z VRB05KT 10SM CLR 26/09 A2986 RMK AO2 SLP109 T02610094
2026-05-01 14:53:00,METAR KPSP 011453Z 30009KT 10SM CLR 22/10 A2985 RMK AO2 SLP105 T02220100 51018
2026-05-01 13:53:00,METAR KPSP 011353Z 00000KT 10SM CLR 19/10 A2984 RMK AO2 SLP101 T01890100
2026-05-01 12:53:00,METAR KPSP 011253Z 00000KT 10SM CLR 18/10 A2981 RMK AO2 SLP093 T01830100
2026-05-01 11:53:00,METAR KPSP 011153Z AUTO 00000KT 10SM CLR 18/11 A2980 RMK AO2 SLP087 T01830106 10244 20178 53007
2026-05-01 10:53:00,METAR KPSP 011053Z AUTO 12004KT 10SM CLR 19/10 A2978 RMK AO2 SLP082 T01940100
2026-05-01 09:53:00,METAR KPSP 010953Z AUTO 21003KT 10SM CLR 19/10 A2977 RMK AO2 SLP079 T01940100
2026-05-01 08:53:00,METAR KPSP 010853Z AUTO 28003KT 10SM CLR 21/09 A2977 RMK AO2 SLP078 T02110089 50004
2026-05-01 07:53:00,METAR KPSP 010753Z AUTO 00000KT 10SM CLR 21/09 A2978 RMK AO2 SLP081 T02110089 403500167
2026-05-01 06:53:00,METAR KPSP 010653Z 31010KT 10SM CLR 23/09 A2977 RMK AO2 SLP078 T02280089
2026-05-01 05:53:00,METAR KPSP 010553Z 31011KT 10SM CLR 24/08 A2976 RMK AO2 PK WND 31027/0510 SLP075 T02440078 10333 20239 51021
2026-05-01 04:53:00,METAR KPSP 010453Z AUTO 32017G24KT 10SM CLR 24/09 A2975 RMK AO2 PK WND 31027/0419 SLP072 T02440089
2026-05-01 03:53:00,METAR KPSP 010353Z 32015G23KT 10SM CLR 26/09 A2974 RMK AO2 PK WND 32026/0305 SLP066 T02560094
2026-05-01 02:53:00,METAR KPSP 010253Z 32020G30KT 10SM CLR 28/09 A2970 RMK AO2 PK WND 33030/0253 SLP053 T02780089 53008
2026-05-01 01:53:00,METAR KPSP 010153Z 32019G29KT 10SM CLR 29/08 A2968 RMK AO2 PK WND 32028/0143 SLP047 T02940078
2026-05-01 00:53:00,METAR KPSP 010053Z 33018G27KT 10SM CLR 32/08 A2968 RMK AO2 PK WND 32026/0021 SLP046 T03170083
2026-04-30 23:53:00,METAR KPSP 302353Z 32015G22KT 10SM CLR 33/06 A2968 RMK AO2 SLP046 T03330061 10350 20289 56016
2026-04-30 22:53:00,METAR KPSP 302253Z 32010KT 10SM CLR 34/01 A2968 RMK AO2 SLP047 T03440011
2026-04-30 21:53:00,METAR KPSP 302153Z VRB05KT 10SM CLR 34/M04 A2970 RMK AO2 SLP054 T03441039
2026-04-30 20:53:00,METAR KPSP 302053Z 35006KT 10SM CLR 34/M04 A2972 RMK AO2 SLP061 T03391039 56025
2026-04-30 19:53:00,METAR KPSP 301953Z VRB05KT 10SM CLR 34/M02 A2974 RMK AO2 SLP068 T03391022
2026-04-30 18:53:00,METAR KPSP 301853Z AUTO 00000KT 10SM CLR 32/01 A2978 RMK AO2 SLP080 T03170006
2026-04-30 17:53:00,METAR KPSP 301753Z AUTO VRB03KT 10SM CLR 29/04 A2980 RMK AO2 SLP088 T02890044 10289 20167 58008
2026-04-30 16:53:00,METAR KPSP 301653Z AUTO VRB03KT 10SM CLR 27/04 A2981 RMK AO2 SLP092 T02670039
2026-04-30 14:53:00,METAR KPSP 301453Z 00000KT 10SM CLR 21/06 A2982 RMK AO2 SLP096 T02110056 53007 $
2026-04-30 13:53:00,METAR KPSP 301353Z 27011KT 10SM CLR 19/06 A2981 RMK AO2 SLP093 T01940061 $
2026-04-30 12:53:00,METAR KPSP 301253Z AUTO VRB04KT 10SM CLR 18/06 A2980 RMK AO2 SLP089 T01830056 $
2026-04-30 11:53:00,METAR KPSP 301153Z AUTO 29005KT 10SM CLR 20/05 A2980 RMK AO2 SLP089 T02000050 10239 20178 56014 $
2026-04-30 10:53:00,METAR KPSP 301053Z AUTO 30006KT 10SM CLR 21/05 A2981 RMK AO2 SLP091 T02060050 $
2026-04-30 09:53:00,METAR KPSP 300953Z AUTO 32009KT 10SM CLR 21/06 A2982 RMK AO2 SLP095 T02060056 $
2026-04-30 08:53:00,METAR KPSP 300853Z AUTO 00000KT 10SM CLR 21/05 A2984 RMK AO2 SLP103 T02110050 58010 $
2026-04-30 07:53:00,METAR KPSP 300753Z AUTO 30006KT 10SM CLR 22/04 A2986 RMK AO2 SLP110 T02220044 403330144 $
2026-04-30 06:53:00,METAR KPSP 300653Z AUTO 31008KT 10SM CLR 23/05 A2987 RMK AO2 SLP111 T02280050 $
2026-04-30 05:53:00,METAR KPSP 300553Z 32012KT 10SM CLR 24/05 A2988 RMK AO2 PK WND 32028/0509 SLP114 T02390050 10328 20239 51018 $
2026-04-30 04:53:00,METAR KPSP 300453Z 32015G23KT 10SM CLR 24/05 A2986 RMK AO2 SLP109 T02440050 $
2026-04-30 03:53:00,METAR KPSP 300353Z 32015G28KT 10SM CLR 26/07 A2985 RMK AO2 PK WND 33028/0349 SLP106 T02560067 $
2026-04-30 02:53:00,METAR KPSP 300253Z 31016G23KT 10SM CLR 27/06 A2982 RMK AO2 SLP095 T02720056 53003 $
2026-04-30 01:53:00,METAR KPSP 300153Z 32013G22KT 10SM CLR 29/04 A2981 RMK AO2 SLP091 T02890039 $
2026-04-30 00:53:00,METAR KPSP 300053Z 34014G23KT 10SM CLR 31/02 A2981 RMK AO2 SLP092 T03110017 $
2026-04-29 23:53:00,METAR KPSP 292353Z 32010G16KT 10SM CLR 32/00 A2981 RMK AO2 PK WND 33026/2317 SLP092 T03220000 10333 20278 56023 $
2026-04-29 22:53:00,METAR KPSP 292253Z VRB05KT 10SM CLR 32/M03 A2982 RMK AO2 SLP096 T03221033 $
2026-04-29 21:53:00,METAR KPSP 292153Z VRB06KT 10SM CLR 32/M04 A2986 RMK AO2 SLP107 T03221039 $
2026-04-29 20:53:00,METAR KPSP 292053Z VRB05KT 10SM CLR 31/M08 A2988 RMK AO2 SLP115 T03061083 56026 $
2026-04-29 19:53:00,METAR KPSP 291953Z 05007KT 020V090 10SM CLR 31/M07 A2990 RMK AO2 SLP121 T03111072 $
2026-04-29 18:53:00,METAR KPSP 291853Z 10005KT 10SM CLR 29/M02 A2993 RMK AO2 SLP133 T02941022 $
2026-04-29 17:53:00,METAR KPSP 291753Z VRB05KT 10SM CLR 28/M01 A2996 RMK AO2 SLP141 T02831006 10283 20144 58007 $
2026-04-29 16:53:00,METAR KPSP 291653Z 35006KT 10SM CLR 27/00 A2997 RMK AO2 SLP145 T02720000 $
2026-04-29 15:53:00,METAR KPSP 291553Z VRB06KT 10SM CLR 24/03 A2997 RMK AO2 SLP146 T02440028
2026-04-29 14:53:00,METAR KPSP 291453Z 29009KT 10SM CLR 21/04 A2998 RMK AO2 SLP149 T02060044 53006
2026-04-29 13:53:00,METAR KPSP 291353Z 31005KT 10SM CLR 19/02 A2997 RMK AO2 SLP148 T01890022 $
2026-04-29 12:53:00,METAR KPSP 291253Z AUTO 00000KT 10SM CLR 14/06 A2996 RMK AO2 SLP144 T01440061 $
2026-04-29 11:53:00,METAR KPSP 291153Z AUTO 36004KT 10SM CLR 17/05 A2996 RMK AO2 SLP143 6//// 7//// T01720050 10228 20161 55000 $
2026-04-29 10:53:00,METAR KPSP 291053Z AUTO VRB03KT 10SM CLR 18/04 A2995 RMK AO2 SLP141 T01830039 $
2026-04-29 09:53:00,METAR KPSP 290953Z AUTO 26003KT 10SM CLR 18/06 A2995 RMK AO2 SLP141 T01780061 $
2026-04-29 08:53:00,METAR KPSP 290853Z AUTO 23003KT 10SM CLR 18/06 A2996 RMK AO2 SLP143 6//// T01780061 $
2026-04-29 07:53:00,METAR KPSP 290753Z AUTO 15003KT 10SM CLR 19/06 A2997 RMK AO2 SLP145 T01890061 402940128 $
2026-04-29 06:53:00,METAR KPSP 290653Z AUTO 13004KT 10SM 21/06 A2997 RMK AO2 SLP148 T02060056 $
2026-04-29 05:53:00,METAR KPSP 290553Z AUTO 32008KT 10SM CLR 23/04 A2996 RMK AO2 SLP143 T02280044 10289 20228 51017
2026-04-29 04:53:00,METAR KPSP 290453Z 32011KT 10SM CLR 23/05 A2996 RMK AO2 SLP143 T02330050
2026-04-29 03:53:00,METAR KPSP 290353Z 30013G19KT 10SM CLR 25/03 A2994 RMK AO2 SLP136 T02500033
2026-04-29 02:53:00,METAR KPSP 290253Z 27009KT 10SM CLR 26/00 A2991 RMK AO2 SLP127 T02610000 53002 $
2026-04-29 01:53:00,METAR KPSP 290153Z VRB06KT 10SM CLR 28/M01 A2990 RMK AO2 SLP122 T02781006 $
2026-04-29 00:53:00,METAR KPSP 290053Z AUTO 13007KT 10SM CLR 29/M01 A2990 RMK AO2 SLP122 T02891006 $
2026-04-28 23:53:00,METAR KPSP 282353Z 17006KT 10SM CLR 29/M01 A2991 RMK AO2 SLP125 T02891006 10294 20244 56018 $
