Time_recorded,METAR
2026-05-02 15:30:00,METAR VVTS 021530Z 13007KT 050V160 CAVOK 29/26 Q1009 NOSIG
2026-05-02 15:00:00,METAR VVTS 021500Z 12010KT CAVOK 29/26 Q1009 NOSIG
2026-05-02 14:30:00,METAR VVTS 021430Z 12007KT CAVOK 29/26 Q1009 NOSIG
2026-05-02 14:00:00,METAR VVTS 021400Z 12008KT CAVOK 29/25 Q1009 NOSIG
2026-05-02 13:30:00,METAR VVTS 021330Z 11006KT 080V140 CAVOK 28/25 Q1009 NOSIG
2026-05-02 13:00:00,METAR VVTS 021300Z 10006KT 060V140 CAVOK 29/25 Q1008 NOSIG
2026-05-02 12:30:00,METAR VVTS 021230Z 12007KT 050V150 CAVOK 29/25 Q1008 NOSIG
2026-05-02 12:00:00,METAR VVTS 021200Z 12006KT CAVOK 29/25 Q1007 NOSIG
2026-05-02 11:30:00,METAR VVTS 021130Z 11006KT 9999 FEW025 BKN060 29/25 Q1007 NOSIG
2026-05-02 11:00:00,METAR VVTS 021100Z 09004KT 070V140 9999 FEW025 BKN060 28/26 Q1007 NOSIG
2026-05-02 10:30:00,METAR VVTS 021030Z VRB01KT 9999 -RA SCT025 BKN060 27/25 Q1007 NOSIG
2026-05-02 10:00:00,METAR VVTS 021000Z 25003KT 200V280 9999 -SHRA VCTS SCT023 FEW027CB BKN058 26/25 Q1007 NOSIG
2026-05-02 09:30:00,METAR VVTS 020930Z COR VRB02KT 7000 SHRA VCTS SCT015 FEW018CB BKN054 25/25 Q1007 NOSIG
2026-05-02 09:00:00,METAR VVTS 020900Z 05018G28KT 3000 TSRA SCT013 FEW015CB 25/25 Q1007 BECMG TL0910 5000 TSRA
2026-05-02 08:30:00,METAR VVTS 020830Z 19006KT 160V220 8000 -TSRA SCT020 FEW023CB BKN044 30/24 Q1007 TEMPO TL0900 04015G25KT 3000 TSRA
2026-05-02 08:00:00,METAR VVTS 020800Z 22010KT 9999 -TSRA SCT023 FEW025CB BKN047 31/24 Q1006 TEMPO TL0835 3000 TSRA
2026-05-02 07:30:00,METAR VVTS 020730Z 19010KT 170V230 8000 -TSRA SCT023 FEW025CB 31/24 Q1006 TEMPO TL0810 20015G26KT 3000 TSRA
2026-05-02 07:00:00,METAR VVTS 020700Z 35005KT 270V040 9999 -TSRA SCT027 FEW030CB 34/23 Q1006 TEMPO FM0720 TL0810 09015G26KT 3000 TSRA
2026-05-02 06:30:00,METAR VVTS 020630Z 35007KT 310V040 9999 SCT027 FEW030CB 35/23 Q1007 TEMPO FM0640 TL0740 09015G26KT 3000 TSRA
2026-05-02 06:00:00,METAR VVTS 020600Z 04008KT 340V060 9999 -SHRA SCT027 FEW030CB 35/23 Q1008 NOSIG
2026-05-02 05:30:00,METAR VVTS 020530Z 05006KT 340V130 9999 SCT027 FEW030TCU 35/23 Q1009 NOSIG
2026-05-02 05:00:00,METAR VVTS 020500Z 07006KT 020V110 9999 SCT030 35/23 Q1009 NOSIG
2026-05-02 04:30:00,METAR VVTS 020430Z VRB06KT 9999 SCT030 35/23 Q1010 NOSIG
2026-05-02 04:00:00,METAR VVTS 020400Z VRB04KT 9999 SCT032 35/23 Q1010 NOSIG
2026-05-02 03:30:00,METAR VVTS 020330Z 08006KT 050V140 CAVOK 34/23 Q1010 NOSIG
2026-05-02 03:00:00,METAR VVTS 020300Z 09007KT CAVOK 34/24 Q1010 NOSIG
