time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:03:16,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T15:03:16Z
2026-05-02 20:10:22,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T13:10:22Z
2026-05-02 20:02:32,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T13:02:32Z
2026-05-02 18:03:35,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T11:03:35Z
2026-05-02 16:17:28,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T09:17:28Z
2026-05-02 14:02:26,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T07:02:26Z
2026-05-02 12:02:12,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T05:02:12Z
2026-05-02 10:11:36,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T03:11:36Z
2026-05-02 08:02:43,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T01:02:43Z
2026-05-02 06:04:36,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T23:04:36Z
2026-05-01 22:07:41,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T15:07:41Z
2026-05-01 20:13:07,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T13:13:07Z
2026-05-01 17:47:05,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T10:47:05Z
2026-05-01 16:03:57,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T09:03:57Z
2026-05-01 14:07:44,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T07:07:44Z
2026-05-01 12:07:14,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T05:07:14Z
2026-05-01 10:02:50,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T03:02:50Z
2026-05-01 08:04:52,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T01:04:52Z
2026-05-01 06:04:00,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T23:04:00Z
2026-04-30 22:20:34,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T15:20:34Z
2026-04-30 20:11:53,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T13:11:53Z
2026-04-30 18:21:13,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T11:21:13Z
2026-04-30 16:07:47,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T09:07:47Z
2026-04-30 14:11:44,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T07:11:44Z
2026-04-30 12:02:47,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T05:02:47Z
2026-04-30 10:02:29,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T03:02:29Z
2026-04-30 06:05:02,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-29T23:05:02Z
2026-04-29 22:02:09,DIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-29T15:02:09Z
