time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:05:58,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-03T05:05:58Z
2026-05-02 20:12:59,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T03:12:59Z
2026-05-02 20:05:12,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T03:05:12Z
2026-05-02 18:05:54,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T01:05:54Z
2026-05-02 16:20:06,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T23:20:06Z
2026-05-02 14:05:00,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T21:05:00Z
2026-05-02 12:04:56,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T19:04:56Z
2026-05-02 10:14:24,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T17:14:24Z
2026-05-02 08:05:33,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T15:05:33Z
2026-05-02 06:07:16,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-02T13:07:16Z
2026-05-01 22:10:27,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T05:10:27Z
2026-05-01 20:15:37,MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T03:15:37Z
