time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:07:27,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T22:07:27Z
2026-05-02 20:14:19,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T20:14:19Z
2026-05-02 20:06:38,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T20:06:38Z
2026-05-02 18:07:12,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T18:07:12Z
2026-05-02 16:21:34,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-02T16:21:34Z
2026-05-02 14:06:26,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T14:06:26Z
2026-05-02 12:06:31,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T12:06:31Z
2026-05-02 10:16:01,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T10:16:01Z
2026-05-02 08:07:09,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T08:07:09Z
2026-05-02 06:08:42,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T06:08:42Z
2026-05-01 22:11:56,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-01T22:11:56Z
2026-05-01 20:17:05,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-01T20:17:05Z
2026-05-01 17:51:55,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T17:51:55Z
2026-05-01 16:08:00,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T16:08:00Z
2026-05-01 14:11:49,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T14:11:49Z
2026-05-01 12:11:38,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-01T12:11:38Z
2026-05-01 10:07:11,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T10:07:11Z
2026-05-01 08:09:19,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T08:09:19Z
2026-05-01 06:08:36,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T06:08:36Z
2026-04-30 22:24:39,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-30T22:24:39Z
2026-04-30 20:15:59,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T20:15:59Z
2026-04-30 18:25:13,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T18:25:13Z
2026-04-30 16:11:57,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T16:11:57Z
2026-04-30 14:15:42,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T14:15:42Z
2026-04-30 12:06:50,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T12:06:50Z
2026-04-30 10:06:34,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T10:06:34Z
2026-04-30 06:08:34,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T06:08:34Z
2026-04-29 22:06:25,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2026-04-29T22:06:25Z
2026-04-29 20:07:09,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2026-04-29T20:07:09Z
2026-04-29 18:06:02,NHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2026-04-29T18:06:02Z
