time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:05:11,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T22:05:11Z
2026-05-02 20:12:14,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T20:12:14Z
2026-05-02 20:04:27,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T20:04:27Z
2026-05-02 18:05:15,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T18:05:15Z
2026-05-02 16:19:21,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-02T16:19:21Z
2026-05-02 14:04:17,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-02T14:04:17Z
2026-05-02 12:04:07,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T12:04:07Z
2026-05-02 10:13:35,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T10:13:35Z
2026-05-02 08:04:42,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T08:04:42Z
2026-05-02 06:06:31,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T06:06:31Z
2026-05-01 22:09:39,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T22:09:39Z
2026-05-01 20:14:55,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-01T20:14:55Z
2026-05-01 17:49:20,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T17:49:20Z
2026-05-01 16:05:47,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T16:05:47Z
2026-05-01 14:09:35,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-01T14:09:35Z
2026-05-01 12:09:14,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T12:09:14Z
2026-05-01 10:04:46,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T10:04:46Z
2026-05-01 08:06:50,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T08:06:50Z
2026-05-01 06:06:06,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T06:06:06Z
2026-04-30 22:22:29,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-30T22:22:29Z
2026-04-30 20:13:48,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-04-30T20:13:48Z
2026-04-30 18:23:03,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-04-30T18:23:03Z
2026-04-30 16:09:44,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-30T16:09:44Z
2026-04-30 14:13:34,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-30T14:13:34Z
2026-04-30 12:04:40,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T12:04:40Z
2026-04-30 10:04:19,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T10:04:19Z
2026-04-30 06:06:39,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T06:06:39Z
2026-04-29 22:04:06,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2026-04-29T22:04:06Z
2026-04-29 20:04:55,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2026-04-29T20:04:55Z
2026-04-29 18:03:51,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2026-04-29T18:03:51Z
2026-04-29 16:18:48,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-29T16:18:48Z
2026-04-29 14:05:05,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-29T14:05:05Z
2026-04-29 12:03:42,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-29T12:03:42Z
2026-04-29 10:05:08,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-29T10:05:08Z
2026-04-29 08:07:02,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-29T08:07:02Z
2026-04-29 06:07:57,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-29T06:07:57Z
2026-04-28 23:16:16,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-28T23:16:16Z
2026-04-28 20:03:48,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-28T20:03:48Z
2026-04-28 18:21:00,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-04-28T18:21:00Z
2026-04-28 16:21:33,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-28T16:21:33Z
2026-04-28 14:08:14,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-28T14:08:14Z
2026-04-28 12:03:45,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T12:03:45Z
2026-04-28 10:10:09,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T10:10:09Z
2026-04-28 08:04:43,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T08:04:43Z
2026-04-28 06:10:38,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T06:10:38Z
2026-04-27 22:06:07,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T22:06:07Z
2026-04-27 18:06:01,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T18:06:01Z
2026-04-27 16:10:01,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T16:10:01Z
2026-04-27 14:03:33,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T14:03:33Z
2026-04-27 12:10:52,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T12:10:52Z
2026-04-27 10:04:01,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T10:04:01Z
2026-04-27 08:04:38,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T08:04:38Z
2026-04-27 06:08:50,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T06:08:50Z
2026-04-26 22:36:29,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T22:36:29Z
2026-04-26 20:27:31,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T20:27:31Z
2026-04-26 18:23:19,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T18:23:19Z
2026-04-26 16:04:05,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T16:04:05Z
2026-04-26 14:06:49,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T14:06:49Z
2026-04-26 12:03:35,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T12:03:35Z
2026-04-26 10:16:46,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T10:16:46Z
2026-04-26 08:09:55,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T08:09:55Z
2026-04-26 06:10:33,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T06:10:33Z
2026-04-25 22:58:58,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T22:58:58Z
2026-04-25 20:04:08,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-25T20:04:08Z
2026-04-25 18:08:01,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T18:08:01Z
2026-04-25 16:06:18,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T16:06:18Z
2026-04-25 14:04:23,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T14:04:23Z
2026-04-25 12:04:10,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T12:04:10Z
2026-04-25 10:12:37,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T10:12:37Z
2026-04-25 08:09:09,OXF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T08:09:09Z
