time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:07:21,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-05-02T15:07:21Z
2026-05-02 20:14:13,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-02T13:14:13Z
2026-05-02 20:06:32,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-02T13:06:32Z
2026-05-02 18:07:06,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-02T11:07:06Z
2026-05-02 16:21:27,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2026-05-02T09:21:27Z
2026-05-02 14:06:19,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-02T07:06:19Z
2026-05-02 12:06:24,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-02T05:06:24Z
2026-05-02 10:15:53,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-05-02T03:15:53Z
2026-05-02 08:07:01,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-05-02T01:07:01Z
2026-05-02 06:08:35,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-05-01T23:08:35Z
2026-05-01 22:11:49,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-01T15:11:49Z
2026-05-01 20:16:58,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T13:16:58Z
2026-05-01 17:51:47,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-01T10:51:47Z
2026-05-01 16:07:54,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-01T09:07:54Z
2026-05-01 14:11:42,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-01T07:11:42Z
2026-05-01 12:11:30,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-01T05:11:30Z
2026-05-01 10:07:04,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T03:07:04Z
2026-05-01 08:09:11,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-05-01T01:09:11Z
2026-05-01 06:08:28,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-04-30T23:08:28Z
2026-04-30 22:24:32,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-04-30T15:24:32Z
2026-04-30 20:15:53,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2026-04-30T13:15:53Z
2026-04-30 18:25:07,VDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-04-30T11:25:07Z
