Time_recorded,METAR
2026-05-02 15:20:00,METAR LGAV 021520Z 01014G24KT 9999 SCT020 14/M01 Q1017 NOSIG
2026-05-02 14:50:00,METAR LGAV 021450Z 01015KT 9999 FEW018 BKN025 13/M01 Q1017 NOSIG
2026-05-02 14:20:00,METAR LGAV 021420Z 36017KT 9999 FEW018 BKN025 12/00 Q1017 NOSIG
2026-05-02 13:50:00,METAR LGAV 021350Z 35017KT 9999 FEW018 BKN025 12/01 Q1018 NOSIG
2026-05-02 13:20:00,METAR LGAV 021320Z 01023KT 9999 FEW018 BKN025 13/M00 Q1018 NOSIG
2026-05-02 12:50:00,METAR LGAV 021250Z 01019KT 9999 FEW018 BKN025 13/M00 Q1018 NOSIG
2026-05-02 12:20:00,METAR LGAV 021220Z 01020KT 9999 FEW018 BKN025 13/00 Q1018 NOSIG
2026-05-02 11:50:00,METAR LGAV 021150Z 01021KT 9999 FEW018 SCT025 13/01 Q1018 NOSIG
2026-05-02 11:20:00,METAR LGAV 021120Z 03018KT 9999 FEW018 SCT025 14/M00 Q1018 NOSIG
2026-05-02 10:50:00,METAR LGAV 021050Z 03019KT 9999 FEW018 SCT025 13/M00 Q1018 NOSIG
2026-05-02 10:20:00,METAR LGAV 021020Z 03019KT 9999 FEW018 SCT025 14/00 Q1019 NOSIG
2026-05-02 09:50:00,METAR LGAV 020950Z 02018KT 9999 FEW018 BKN025 12/01 Q1019 NOSIG
2026-05-02 09:20:00,METAR LGAV 020920Z 04017KT 9999 FEW018 SCT025 13/01 Q1018 NOSIG
2026-05-02 08:50:00,METAR LGAV 020850Z 04020G30KT 9999 SCT020 14/02 Q1018 NOSIG
2026-05-02 08:20:00,METAR LGAV 020820Z 03020KT 9999 SCT020 13/01 Q1018 NOSIG
2026-05-02 07:50:00,METAR LGAV 020750Z 03016KT 9999 SCT020 12/01 Q1018 NOSIG
2026-05-02 07:20:00,METAR LGAV 020720Z 03020KT 9999 SCT020 13/01 Q1018 NOSIG
2026-05-02 06:50:00,METAR LGAV 020650Z 04018KT 9999 SCT020 12/02 Q1018 NOSIG
2026-05-02 06:20:00,METAR LGAV 020620Z 03018KT 9999 FEW018 SCT030 14/02 Q1018 NOSIG
2026-05-02 05:50:00,METAR LGAV 020550Z 03014G24KT 9999 FEW018 SCT030 12/03 Q1018 NOSIG
2026-05-02 05:20:00,METAR LGAV 020520Z 02011KT 350V060 9999 FEW018 SCT035 12/03 Q1018 NOSIG
2026-05-02 04:50:00,METAR LGAV 020450Z 02010KT 9999 FEW018 SCT035 12/03 Q1018 NOSIG
2026-05-02 04:20:00,METAR LGAV 020420Z 02012KT 9999 FEW018 SCT035 12/03 Q1018 NOSIG
2026-05-02 03:50:00,METAR LGAV 020350Z 02009KT 9999 SCT025 BKN060 12/03 Q1018 NOSIG
2026-05-02 03:20:00,METAR LGAV 020320Z 01017KT 9999 SCT025 BKN060 11/05 Q1017 NOSIG
2026-05-02 02:50:00,METAR LGAV 020250Z 01016KT 9999 SCT025 BKN060 12/05 Q1018 NOSIG
2026-05-02 02:20:00,METAR LGAV 020220Z 01013KT 9999 SCT025 BKN060 11/05 Q1018 NOSIG
2026-05-02 01:50:00,METAR LGAV 020150Z 01013KT 9999 SCT025 BKN060 11/04 Q1018 NOSIG
2026-05-02 01:20:00,METAR LGAV 020120Z 01017KT 9999 SCT025 BKN060 12/04 Q1018 NOSIG
2026-05-02 00:50:00,METAR LGAV 020050Z 01014KT 9999 SCT025 BKN060 12/05 Q1018 NOSIG
2026-05-02 00:20:00,METAR LGAV 020020Z 01015KT 9999 SCT025 BKN060 11/05 Q1018 NOSIG
2026-05-01 23:50:00,METAR LGAV 012350Z 01013KT 9999 SCT025 BKN060 12/05 Q1018 NOSIG
2026-05-01 23:20:00,METAR LGAV 012320Z 02015KT 9999 SCT025 BKN060 12/05 Q1019 NOSIG
