Time_recorded,METAR
2026-05-02 15:53:00,METAR KBFI 021553Z 25003KT 10SM CLR 13/10 A3004 RMK AO2 SLP170 T01280100
2026-05-02 14:53:00,METAR KBFI 021453Z 31003KT 10SM BKN120 12/09 A3003 RMK AO2 SLP168 T01170094 55002
2026-05-02 13:53:00,METAR KBFI 021353Z 00000KT 10SM CLR 11/09 A3003 RMK AO2 SLP167 T01110089
2026-05-02 12:53:00,METAR KBFI 021253Z 00000KT 10SM BKN120 11/09 A3003 RMK AO2 SLP168 T01110089
2026-05-02 11:53:00,METAR KBFI 021153Z 25003KT 10SM CLR 11/09 A3004 RMK AO2 SLP170 60000 T01110089 10167 20111 50002
2026-05-02 10:53:00,METAR KBFI 021053Z 21003KT 10SM CLR 11/09 A3005 RMK AO2 SLP174 T01110089
2026-05-02 09:53:00,METAR KBFI 020953Z 31003KT 10SM SCT110 12/09 A3002 RMK AO2 SLP164 T01220094
2026-05-02 08:53:00,METAR KBFI 020853Z 00000KT 10SM SCT090 13/11 A3003 RMK AO2 SLP168 60000 T01280106 53008
2026-05-02 07:53:00,METAR KBFI 020753Z 00000KT 10SM SCT090 14/09 A3002 RMK AO2 RAE04 SLP165 P0000 T01390094 402220117
2026-05-02 06:53:00,METAR KBFI 020653Z 00000KT 9SM -RA SCT090 BKN110 15/07 A3001 RMK AO2 RAB48 SLP162 P0000 T01500072
2026-05-02 05:53:00,METAR KBFI 020553Z 00000KT 10SM BKN110 17/07 A3000 RMK AO2 SLP160 T01670072 10217 20167 53017
2026-05-02 04:53:00,METAR KBFI 020453Z 00000KT 10SM FEW120 18/07 A2999 RMK AO2 SLP154 T01830067
2026-05-02 03:53:00,METAR KBFI 020353Z 00000KT 10SM SCT110 18/07 A2997 RMK AO2 SLP148 T01830072
2026-05-02 02:53:00,METAR KBFI 020253Z VRB05KT 10SM BKN110 19/08 A2995 RMK AO2 SLP143 T01890083 51002
2026-05-02 01:53:00,METAR KBFI 020153Z 30007KT 10SM CLR 19/08 A2995 RMK AO2 SLP141 T01890083
2026-05-02 00:53:00,METAR KBFI 020053Z 31006KT 10SM BKN120 21/07 A2995 RMK AO2 SLP143 T02060067
2026-05-01 23:53:00,METAR KBFI 012353Z 32006KT 10SM CLR 22/07 A2995 RMK AO2 SLP141 T02170072 10222 20172 58012
2026-05-01 22:53:00,METAR KBFI 012253Z VRB06KT 10SM CLR 22/07 A2996 RMK AO2 SLP145 T02170072
2026-05-01 21:53:00,METAR KBFI 012153Z 30008KT 10SM SCT120 21/08 A2998 RMK AO2 SLP151 T02110078
2026-05-01 20:53:00,METAR KBFI 012053Z 28008KT 10SM SCT140 21/09 A2998 RMK AO2 SLP153 T02060094 56012
2026-05-01 19:53:00,METAR KBFI 011953Z VRB06KT 10SM CLR 19/08 A2999 RMK AO2 SLP156 T01940083
2026-05-01 18:53:00,METAR KBFI 011853Z VRB06KT 10SM CLR 19/08 A3000 RMK AO2 SLP160 T01890083
2026-05-01 17:53:00,METAR KBFI 011753Z 32005KT 10SM SCT130 17/09 A3002 RMK AO2 SLP164 T01720089 10172 20117 58007
2026-05-01 16:53:00,METAR KBFI 011653Z VRB04KT 10SM CLR 16/09 A3003 RMK AO2 SLP168 T01610089
2026-05-01 15:53:00,METAR KBFI 011553Z 31003KT 10SM CLR 15/08 A3004 RMK AO2 SLP172 T01500083
2026-05-01 14:53:00,METAR KBFI 011453Z 30003KT 10SM CLR 13/08 A3004 RMK AO2 SLP171 T01330083 53010
2026-05-01 13:53:00,METAR KBFI 011353Z 00000KT 10SM CLR 12/09 A3002 RMK AO2 SLP166 T01220089
2026-05-01 12:53:00,METAR KBFI 011253Z 00000KT 10SM CLR 12/08 A3002 RMK AO2 SLP164 T01170083
2026-05-01 11:53:00,METAR KBFI 011153Z 00000KT 10SM CLR 12/08 A3001 RMK AO2 SLP161 T01220083 10167 20122 53003
2026-05-01 10:53:00,METAR KBFI 011053Z 00000KT 10SM CLR 13/08 A3001 RMK AO2 SLP161 T01280083
2026-05-01 09:53:00,METAR KBFI 010953Z 33003KT 10SM CLR 14/09 A3000 RMK AO2 SLP159 T01390089
2026-05-01 08:53:00,METAR KBFI 010853Z 00000KT 10SM CLR 14/08 A3000 RMK AO2 SLP159 T01440083 58003
2026-05-01 07:53:00,METAR KBFI 010753Z 00000KT 10SM CLR 16/09 A3001 RMK AO2 SLP160 T01560089 402390094
2026-05-01 06:53:00,METAR KBFI 010653Z 00000KT 10SM FEW100 16/09 A3001 RMK AO2 SLP161 T01560089
2026-05-01 05:53:00,METAR KBFI 010553Z 00000KT 10SM CLR 17/08 A3001 RMK AO2 SLP162 T01670083 10239 20167 51009
2026-05-01 04:53:00,METAR KBFI 010453Z 00000KT 10SM FEW200 18/08 A3000 RMK AO2 SLP160 T01780083
2026-05-01 03:53:00,METAR KBFI 010353Z 00000KT 10SM SCT200 18/09 A2999 RMK AO2 SLP155 T01830094
2026-05-01 02:53:00,METAR KBFI 010253Z VRB03KT 10SM FEW040 19/09 A2998 RMK AO2 SLP153 T01890094 56009
2026-05-01 01:53:00,METAR KBFI 010153Z 32005KT 10SM FEW070 22/09 A2998 RMK AO2 SLP153 T02170094
2026-05-01 00:53:00,METAR KBFI 010053Z 32005KT 10SM CLR 23/08 A3000 RMK AO2 SLP158 T02330078
2026-04-30 23:53:00,METAR KBFI 302353Z 29005KT 10SM FEW080 BKN250 23/08 A3001 RMK AO2 SLP162 T02330083 10233 20161 58021
2026-04-30 22:53:00,METAR KBFI 302253Z 31006KT 10SM FEW080 23/08 A3004 RMK AO2 SLP171 T02280083
2026-04-30 21:53:00,METAR KBFI 302153Z 31007KT 10SM FEW070 SCT230 22/09 A3006 RMK AO2 SLP177 T02170094
2026-04-30 20:53:00,METAR KBFI 302053Z 33006KT 10SM CLR 20/08 A3007 RMK AO2 SLP183 T02000083 56020
2026-04-30 19:53:00,METAR KBFI 301953Z 32005KT 10SM CLR 19/08 A3009 RMK AO2 SLP188 T01940083
2026-04-30 18:53:00,METAR KBFI 301853Z VRB05KT 10SM CLR 18/09 A3011 RMK AO2 SLP195 T01830094
2026-04-30 17:53:00,METAR KBFI 301753Z 31004KT 10SM CLR 16/09 A3013 RMK AO2 SLP202 T01610089 10161 20094 57013
2026-04-30 16:53:00,METAR KBFI 301653Z VRB03KT 10SM CLR 16/09 A3014 RMK AO2 SLP207 T01560089
2026-04-30 14:53:00,METAR KBFI 301453Z AUTO 00000KT 10SM CLR 12/08 A3017 RMK AO2 SLP215 T01220078 53002
2026-04-30 13:53:00,METAR KBFI 301353Z 00000KT 10SM CLR 11/07 A3016 RMK AO2 SLP214 T01060072
2026-04-30 12:53:00,METAR KBFI 301253Z 00000KT 10SM CLR 09/07 A3016 RMK AO2 SLP214 T00940072
2026-04-30 11:53:00,METAR KBFI 301153Z 00000KT 10SM CLR 10/07 A3016 RMK AO2 SLP213 T01000067 10144 20100 56004
2026-04-30 10:53:00,METAR KBFI 301053Z 00000KT 10SM CLR 11/07 A3016 RMK AO2 SLP213 T01060072
2026-04-30 09:53:00,METAR KBFI 300953Z 00000KT 10SM CLR 12/07 A3016 RMK AO2 SLP213 T01170072
2026-04-30 08:53:00,METAR KBFI 300853Z 00000KT 10SM CLR 12/07 A3017 RMK AO2 SLP217 T01220072 58003
2026-04-30 07:53:00,METAR KBFI 300753Z 00000KT 10SM CLR 13/08 A3018 RMK AO2 SLP219 T01280078 401830083
2026-04-30 06:53:00,METAR KBFI 300653Z 00000KT 10SM CLR 13/08 A3018 RMK AO2 SLP220 T01330078
2026-04-30 05:53:00,METAR KBFI 300553Z 00000KT 10SM CLR 14/08 A3018 RMK AO2 SLP220 T01390078 10183 20139 50005
