Time_recorded,METAR
2026-05-02 15:44:00,SPECI KCHS 021544Z 35006KT 5SM RA BR FEW008 BKN010 OVC060 15/14 A2988 RMK AO2 P0007 T01500139
2026-05-02 15:30:00,SPECI KCHS 021530Z 03006KT 4SM RA BR BKN010 BKN042 OVC055 15/14 A2987 RMK AO2 P0004 T01500139
2026-05-02 15:12:00,SPECI KCHS 021512Z 02006KT 6SM -RA BR SCT010 BKN025 OVC065 16/14 A2987 RMK AO2 P0002 T01560144
2026-05-02 14:56:00,METAR KCHS 021456Z 02007KT 9SM -RA SCT013 BKN070 OVC095 15/14 A2988 RMK AO2 SLP118 P0007 60030 T01500139 51019
2026-05-02 14:35:00,SPECI KCHS 021435Z 04007KT 5SM -RA BR SCT013 BKN055 OVC100 15/14 A2987 RMK AO2 P0006 T01500139
2026-05-02 14:23:00,SPECI KCHS 021423Z 03008KT 5SM RA BR SCT006 BKN016 OVC035 15/13 A2988 RMK AO2 P0004 T01500133
2026-05-02 13:56:00,METAR KCHS 021356Z 03012G17KT 4SM RA BR BKN006 BKN016 OVC060 16/15 A2987 RMK AO2 SLP115 P0016 T01560150
2026-05-02 12:56:00,METAR KCHS 021256Z 01006KT 4SM RA BR BKN006 BKN060 OVC090 16/16 A2986 RMK AO2 SLP110 P0007 T01610156
2026-05-02 12:08:00,SPECI KCHS 021208Z 01006KT 9SM -RA BKN006 BKN040 OVC075 17/16 A2983 RMK AO2 P0000 T01670156
2026-05-02 11:56:00,METAR KCHS 021156Z 04006KT 9SM -RA BKN004 BKN070 OVC100 17/16 A2983 RMK AO2 RAE05B51 SLP099 P0001 60029 70046 T01670156 10172 20167 55010
2026-05-02 10:56:00,METAR KCHS 021056Z 02007KT 5SM -RA BR BKN004 BKN025 OVC038 17/17 A2982 RMK AO2 SLP098 P0005 T01720167
2026-05-02 09:56:00,METAR KCHS 020956Z 35005KT 5SM -RA BR BKN004 OVC027 17/17 A2985 RMK AO2 SLP107 P0007 T01720167
2026-05-02 09:09:00,SPECI KCHS 020909Z 33003KT 5SM RA BR SCT004 BKN029 OVC095 17/17 A2986 RMK AO2 P0001 T01720167
2026-05-02 08:56:00,METAR KCHS 020856Z 33003KT 5SM -RA BR FEW004 SCT027 OVC047 17/17 A2985 RMK AO2 SLP109 P0007 60016 T01720167 55001
2026-05-02 08:54:00,SPECI KCHS 020854Z 34004KT 5SM -RA BR FEW004 SCT027 OVC047 17/17 A2985 RMK AO2 P0007
2026-05-02 07:56:00,METAR KCHS 020756Z 00000KT 3SM -RA BR SCT037 OVC049 17/17 A2986 RMK AO2 SLP110 P0006 T01720167
2026-05-02 06:56:00,METAR KCHS 020656Z 29003KT 6SM -RA BR FEW004 OVC044 17/17 A2986 RMK AO2 SLP110 P0003 T01720167
2026-05-02 06:45:00,SPECI KCHS 020645Z 27003KT 7SM -RA FEW004 OVC044 17/17 A2987 RMK AO2 P0003 T01720167
2026-05-02 05:56:00,METAR KCHS 020556Z 00000KT 8SM -RA FEW028 OVC044 17/17 A2987 RMK AO2 RAE06B24 SLP113 P0000 60004 T01720167 10178 20172 56012
2026-05-02 04:56:00,METAR KCHS 020456Z 01005KT 10SM -RA FEW028 OVC046 17/17 A2987 RMK AO2 RAB42 SLP114 P0000 T01720167 402170144
2026-05-02 03:56:00,METAR KCHS 020356Z 06003KT 10SM FEW010 OVC050 17/17 A2988 RMK AO2 SLP117 T01720167
2026-05-02 03:17:00,SPECI KCHS 020317Z 04004KT 10SM FEW004 SCT010 OVC055 18/17 A2989 RMK AO2 T01780172 
2026-05-02 02:56:00,METAR KCHS 020256Z 08003KT 10SM SCT007 BKN010 OVC060 18/17 A2990 RMK AO2 RAB10E48 SLP124 P0001 60004 T01780172 50007
2026-05-02 02:36:00,SPECI KCHS 020236Z 07004KT 7SM -RA BKN007 OVC055 18/17 A2991 RMK AO2 RAB10 P0001 T01780172
2026-05-02 01:56:00,METAR KCHS 020156Z 00000KT 10SM FEW006 SCT050 OVC060 18/17 A2992 RMK AO2 RAE27 SLP131 P0001 T01780172
2026-05-02 00:56:00,METAR KCHS 020056Z 05005KT 9SM -RA SCT005 BKN050 OVC070 18/17 A2988 RMK AO2 SLP118 P0002 T01780172
2026-05-02 00:03:00,SPECI KCHS 020003Z 02004KT 3SM -RA BR SCT005 BKN040 OVC070 18/17 A2988 RMK AO2 P0001 T01780172
