Time_recorded,METAR
2026-05-02 14:52:00,METAR KCLT 021452Z 07007KT 10SM FEW020 BKN045 OVC065 13/08 A2995 RMK RAE20 SLP155 P0000 60000 T01280083 51018
2026-05-02 13:52:00,METAR KCLT 021352Z 04010KT 10SM -RA BKN045 OVC060 13/07 A2994 RMK RAB1257 SLP151 P0000 T01280072
2026-05-02 12:52:00,METAR KCLT 021252Z 020008KT 10SM BKN 060 SCT 042 OVC 110 12/08 A2992
2026-05-02 11:52:00,METAR KCLT 021152Z 010012KT 10SM OVC 037 13/08 A2990
2026-05-02 11:28:00,METAR KCLT 021128Z 010010KT 10SM OVC 033 13/09 A2990
2026-05-02 10:52:00,METAR KCLT 021052Z 010005KT 10SM OVC 023 13/09 A2988
2026-05-02 10:16:00,METAR KCLT 021016Z 030010KT 10SM -RA BKN 020 O026 13/09 A2989
2026-05-02 09:52:00,METAR KCLT 020952Z 040004KT 8SM -RA SCT 028 BKN 036 OVC 044 13/11 A2990
2026-05-02 08:52:00,METAR KCLT 020852Z 350004KT 10SM -RA OVC 075 13/11 A2992
2026-05-02 06:52:00,METAR KCLT 020652Z 14003KT 10SM OVC130 14/10 A2987 RMK AO2 SLP127 T01390100
2026-05-02 05:52:00,METAR KCLT 020552Z 14004KT 10SM FEW030 FEW120 OVC140 14/10 A2989 RMK AO2 SLP133 T01390100 10161 20139 58009
2026-05-02 04:52:00,METAR KCLT 020452Z 16004KT 10SM FEW030 OVC140 14/10 A2991 RMK AO2 SLP139 T01440100 401830128
2026-05-02 03:52:00,METAR KCLT 020352Z 14003KT 10SM BKN140 OVC250 14/09 A2991 RMK AO2 SLP140 T01440094
2026-05-02 02:52:00,METAR KCLT 020252Z 14003KT 10SM BKN140 OVC250 15/09 A2992 RMK AO2 SLP142 T01500094 51008
2026-05-02 01:52:00,METAR KCLT 020152Z 14004KT 10SM BKN140 BKN180 OVC250 15/09 A2992 RMK AO2 SLP142 T01500094
2026-05-02 00:52:00,METAR KCLT 020052Z 17005KT 10SM BKN160 BKN200 BKN250 16/09 A2991 RMK AO2 SLP141 T01610094
2026-05-01 23:52:00,METAR KCLT 012352Z 16005KT 10SM BKN160 BKN200 BKN250 16/09 A2989 RMK AO2 SLP134 T01610089 10183 20156 55004
2026-05-01 22:52:00,METAR KCLT 012252Z COR 18006KT 10SM FEW045 SCT150 BKN180 BKN250 17/08 A2989 RMK AO2 SLP132 T01720083
2026-05-01 21:52:00,METAR KCLT 012152Z 19006KT 10SM FEW045 FEW110 BKN170 BKN250 18/07 A2990 RMK AO2 SLP135 T01780072
2026-05-01 20:52:00,METAR KCLT 012052Z 14006KT 10SM FEW045 SCT110 BKN180 BKN250 17/07 A2991 RMK AO2 SLP138 T01720067 58021
2026-05-01 19:52:00,METAR KCLT 011952Z 14007KT 10SM FEW042 FEW100 SCT150 BKN180 BKN250 18/06 A2993 RMK AO2 SLP144 T01830061
2026-05-01 18:52:00,METAR KCLT 011852Z 10005KT 10SM BKN041 BKN250 16/05 A2996 RMK AO2 SLP156 T01610050
2026-05-01 17:52:00,METAR KCLT 011752Z 16007KT 10SM BKN040 BKN250 16/04 A2997 RMK AO2 SLP159 T01610039 10172 20128 58008
2026-05-01 16:52:00,METAR KCLT 011652Z 00000KT 10SM BKN043 BKN250 16/04 A2998 RMK AO2 SLP163 T01610039
2026-05-01 15:52:00,METAR KCLT 011552Z 07008KT 10SM BKN050 BKN250 16/03 A3000 RMK AO2 SLP170 T01560033
2026-05-01 14:52:00,METAR KCLT 011452Z 04003KT 10SM BKN055 BKN180 BKN250 14/03 A3000 RMK AO2 SLP168 T01440033 51002
2026-05-01 13:52:00,METAR KCLT 011352Z 08010KT 10SM BKN050 BKN180 BKN250 14/02 A3000 RMK AO2 SLP168 T01390022
2026-05-01 12:52:00,METAR KCLT 011252Z 07010KT 10SM FEW050 SCT070 BKN180 BKN250 13/02 A2999 RMK AO2 SLP167 T01280017
2026-05-01 11:52:00,METAR KCLT 011152Z 07011KT 10SM FEW050 SCT065 SCT100 BKN170 BKN250 13/02 A2999 RMK AO2 SLP165 60000 70001 T01280017 10161 20128 52012
2026-05-01 10:52:00,METAR KCLT 011052Z 06012KT 10SM BKN050 BKN070 BKN080 BKN140 OVC250 13/01 A2998 RMK AO2 RAB0957E08 SLP161 P0000 T01280011
2026-05-01 09:52:00,METAR KCLT 010952Z 06009KT 10SM OVC065 13/02 A2996 RMK AO2 SLP156 T01330017
2026-05-01 08:52:00,METAR KCLT 010852Z 06012KT 10SM OVC060 14/02 A2995 RMK AO2 SLP151 T01390022 53003
