Time_recorded,METAR
2026-05-02 14:51:00,METAR KCMH 021451Z 32011G20KT 10SM SCT040 SCT250 08/M02 A3005 RMK AO2 SLP179 T00781022 51005
2026-05-02 13:51:00,METAR KCMH 021351Z 32005KT 10SM FEW027 FEW250 07/M01 A3005 RMK AO2 SLP179 T00671006
2026-05-02 12:51:00,METAR KCMH 021251Z 33008KT 10SM FEW250 04/M01 A3004 RMK AO2 SLP177 T00441011
2026-05-02 11:51:00,METAR KCMH 021151Z 33005KT 10SM FEW250 02/M01 A3003 RMK AO2 SLP174 70012 T00221011 10039 20006 51003
2026-05-02 10:51:00,METAR KCMH 021051Z 34003KT 10SM FEW250 01/M01 A3003 RMK AO2 SLP174 T00111006
2026-05-02 09:51:00,METAR KCMH 020951Z 30004KT 10SM FEW250 02/00 A3003 RMK AO2 SLP173 T00170000
2026-05-02 08:51:00,METAR KCMH 020851Z 00000KT 10SM FEW250 02/01 A3002 RMK AO2 SLP171 T00170011 55003
2026-05-02 07:51:00,METAR KCMH 020751Z 27003KT 10SM FEW002 02/02 A3002 RMK AO2 SLP169 T00220017
2026-05-02 07:25:00,SPECI KCMH 020725Z 00000KT 10SM FEW002 02/02 A3002 RMK AO2 T00220022
2026-05-02 06:51:00,METAR KCMH 020651Z 00000KT 10SM FEW080 03/02 A3003 RMK AO2 SLP172 T00280022
2026-05-02 05:51:00,METAR KCMH 020551Z 00000KT 10SM FEW039 04/03 A3003 RMK AO2 SLP174 60001 T00390033 10089 20033 56001
2026-05-02 04:51:00,METAR KCMH 020451Z 00000KT 10SM FEW046 03/03 A3004 RMK AO2 SLP174 T00330033 401280033
2026-05-02 03:51:00,METAR KCMH 020351Z 18003KT 10SM FEW090 04/04 A3003 RMK AO2 SLP173 T00440039
2026-05-02 02:51:00,METAR KCMH 020251Z 02003KT 10SM FEW090 04/03 A3004 RMK AO2 SLP175 60001 T00440033 53021
2026-05-02 01:51:00,METAR KCMH 020151Z 08003KT 10SM FEW036 BKN090 06/03 A3002 RMK AO2 RAB04E48 SLP169 P0001 T00610033
2026-05-02 00:51:00,METAR KCMH 020051Z 04006KT 10SM BKN047 OVC090 08/03 A2998 RMK AO2 SLP156 T00780028
2026-05-01 23:51:00,METAR KCMH 012351Z 33007KT 10SM FEW038 BKN080 08/02 A2997 RMK AO2 SLP153 T00830017 10128 20083 51011
2026-05-01 22:51:00,METAR KCMH 012251Z 33009KT 10SM FEW032 BKN070 09/02 A2996 RMK AO2 SLP148 T00890017
2026-05-01 21:51:00,METAR KCMH 012151Z 35009G20KT 10SM SCT025 BKN042 09/04 A2997 RMK AO2 SLP151 T00940039
2026-05-01 20:51:00,METAR KCMH 012051Z 30015KT 10SM BKN023 BKN029 OVC048 08/03 A2994 RMK AO2 SLP142 T00830033 51020
2026-05-01 19:51:00,METAR KCMH 011951Z 30016KT 10SM BKN022 BKN029 OVC047 10/04 A2994 RMK AO2 PK WND 32026/1854 SLP140 T01000039
2026-05-01 19:04:00,SPECI KCMH 011904Z 31014G26KT 10SM BKN026 BKN036 10/05 A2991 RMK AO2 PK WND 32026/1854 T01000050
2026-05-01 18:51:00,METAR KCMH 011851Z 30019G28KT 10SM SCT025 BKN035 11/06 A2990 RMK AO2 PK WND 30028/1846 SLP128 T01110056
2026-05-01 18:30:00,SPECI KCMH 011830Z 30019G26KT 10SM SCT026 BKN032 BKN045 13/07 A2989 RMK AO2 PK WND 30026/1830 T01280072
2026-05-01 17:51:00,METAR KCMH 011751Z 26013KT 10SM BKN024 BKN030 OVC036 10/06 A2988 RMK AO2 RAB00E12 SLP120 P0000 60011 T01000061 10100 20072 58002
2026-05-01 17:05:00,SPECI KCMH 011705Z 23010KT 10SM -RA BKN020 BKN031 OVC048 09/07 A2988 RMK AO2 RAB00 P0000 T00940067
2026-05-01 16:51:00,METAR KCMH 011651Z 21011KT 10SM BKN030 BKN047 10/07 A2988 RMK AO2 RAE32 SLP120 P0002 T01000067
