Time_recorded,METAR
2026-05-02 15:30:00,METAR VIDP 021530Z 09010KT 4000 HZ FEW035 FEW040CB SCT090 32/20 Q1001 NOSIG
2026-05-02 15:00:00,METAR VIDP 021500Z 10006KT 4000 HZ FEW040 32/20 Q1000 NOSIG
2026-05-02 14:30:00,METAR VIDP 021430Z 08006KT 4000 HZ NSC 32/20 Q1000 NOSIG
2026-05-02 14:00:00,METAR VIDP 021400Z 10007KT 4000 HZ NSC 32/21 Q0999 NOSIG
2026-05-02 13:30:00,METAR VIDP 021330Z 09006G16KT 4000 HZ NSC 33/21 Q0999 NOSIG
2026-05-02 13:00:00,METAR VIDP 021300Z 09009G19KT 4000 HZ NSC 34/21 Q0999 NOSIG
2026-05-02 12:30:00,METAR VIDP 021230Z 10010G20KT 4500 HZ FEW035 35/20 Q0999 NOSIG
2026-05-02 12:00:00,METAR VIDP 021200Z 10006G16KT 4500 HZ FEW035 35/20 Q0999 NOSIG
2026-05-02 11:30:00,METAR VIDP 021130Z 10006G16KT 4500 HZ SCT035 36/20 Q0999 NOSIG
2026-05-02 11:00:00,METAR VIDP 021100Z 09006G16KT 4500 HZ SCT035 36/20 Q0999 NOSIG
2026-05-02 10:30:00,METAR VIDP 021030Z 07006G16KT 4500 HZ SCT035 36/20 Q1000 NOSIG
2026-05-02 10:00:00,METAR VIDP 021000Z 09010KT 4500 HZ SCT035 36/19 Q1000 NOSIG
2026-05-02 09:30:00,METAR VIDP 020930Z 12007KT 5000 HZ FEW035 37/18 Q1001 NOSIG
2026-05-02 09:00:00,METAR VIDP 020900Z 14005KT 5000 HZ FEW035 37/18 Q1001 NOSIG
2026-05-02 08:30:00,METAR VIDP 020830Z 12007KT 5000 HZ FEW035 37/19 Q1002 NOSIG
2026-05-02 08:00:00,METAR VIDP 020800Z 12005KT 5000 HZ FEW035 36/19 Q1003 NOSIG
2026-05-02 07:30:00,METAR VIDP 020730Z 15006KT 5000 HZ FEW100 36/19 Q1003 NOSIG
2026-05-02 07:00:00,METAR VIDP 020700Z 14007KT 070V200 5000 HZ FEW100 36/19 Q1003 NOSIG
2026-05-02 06:30:00,METAR VIDP 020630Z 13006KT 5000 HZ FEW100 35/19 Q1004 NOSIG
2026-05-02 06:00:00,METAR VIDP 020600Z 13005KT 4500 HZ FEW100 35/19 Q1004 BECMG 5000 HZ
2026-05-02 05:30:00,METAR VIDP 020530Z 13006KT 4000 HZ NSC 34/19 Q1004 NOSIG
2026-05-02 05:00:00,METAR VIDP 020500Z 13006KT 4000 HZ FEW100 33/19 Q1004 NOSIG
2026-05-02 04:30:00,METAR VIDP 020430Z 13005KT 4000 HZ FEW100 32/20 Q1004 NOSIG
2026-05-02 04:00:00,METAR VIDP 020400Z 14005KT 3500 HZ FEW100 32/20 Q1004 NOSIG
2026-05-02 03:30:00,METAR VIDP 020330Z 14007KT 3000 HZ FEW100 30/20 Q1004 NOSIG
2026-05-02 03:00:00,METAR VIDP 020300Z 13008KT 2500 HZ FEW100 29/20 Q1004 BECMG 3000 HZ
2026-05-02 02:30:00,METAR VIDP 020230Z 11006KT 2500 HZ NSC 28/20 Q1004 NOSIG
2026-05-02 02:00:00,METAR VIDP 020200Z 10005KT 2500 HZ NSC 28/20 Q1005 NOSIG
2026-05-02 01:30:00,METAR VIDP 020130Z VRB03KT 2500 HZ FEW035 27/20 Q1005 NOSIG
2026-05-02 01:00:00,METAR VIDP 020100Z 11004KT 3000 HZ NSC 26/20 Q1003 NOSIG
2026-05-02 00:30:00,METAR VIDP 020030Z 14006KT 3000 HZ NSC 26/20 Q1003 NOSIG
2026-05-02 00:00:00,METAR VIDP 020000Z 14006KT 3500 HZ NSC 26/19 Q1002 BECMG 3000 HZ
2026-05-01 23:30:00,METAR VIDP 012330Z 12006KT 4000 HZ NSC 26/20 Q1002 NOSIG
2026-05-01 23:00:00,METAR VIDP 012300Z 12007KT 4000 HZ NSC 26/20 Q1002 NOSIG
2026-05-01 22:30:00,METAR VIDP 012230Z 10005KT 4000 HZ NSC 26/20 Q1002 NOSIG
2026-05-01 22:00:00,METAR VIDP 012200Z 13006KT 4000 HZ NSC 26/20 Q1002 NOSIG
2026-05-01 21:30:00,METAR VIDP 012130Z 11005KT 4000 HZ NSC 27/20 Q1002 NOSIG
2026-05-01 21:00:00,METAR VIDP 012100Z 12005KT 4500 HZ NSC 27/20 Q1003 NOSIG
2026-05-01 20:30:00,METAR VIDP 012030Z 12005KT 4500 HZ NSC 27/20 Q1003 NOSIG
2026-05-01 20:00:00,METAR VIDP 012000Z 10006KT 5000 HZ NSC 28/20 Q1003 NOSIG
2026-05-01 19:30:00,METAR VIDP 011930Z 10006KT 5000 HZ NSC 28/19 Q1003 NOSIG
2026-05-01 19:00:00,METAR VIDP 011900Z 09006KT 5000 HZ NSC 28/19 Q1003 NOSIG
2026-05-01 18:30:00,METAR VIDP 011830Z 09007KT 5000 HZ NSC 29/19 Q1003 NOSIG
2026-05-01 18:00:00,METAR VIDP 011800Z 08008KT 5000 HZ NSC 29/19 Q1003 NOSIG
2026-05-01 17:30:00,METAR VIDP 011730Z 08008KT 5000 HZ NSC 29/20 Q1003 NOSIG
2026-05-01 17:00:00,METAR VIDP 011700Z 08008KT 5000 HZ NSC 29/20 Q1003 NOSIG
