Time_recorded,METAR
2026-05-02 14:52:00,METAR KDPA 021452Z 30005KT 10SM CLR 09/M04 A3012 RMK AO2 SLP204 T00891039 50004
2026-05-02 13:52:00,METAR KDPA 021352Z 29005KT 10SM CLR 07/M01 A3012 RMK AO2 SLP205 T00721011
2026-05-02 12:52:00,METAR KDPA 021252Z 00000KT 10SM CLR 03/01 A3012 RMK AO2 SLP205 T00330006
2026-05-02 11:52:00,METAR KDPA 021152Z AUTO 00000KT 10SM CLR M01/M01 A3011 RMK AO2 SLP201 60000 I6000 T10061011 10011 21017 53005
2026-05-02 10:52:00,METAR KDPA 021052Z AUTO 00000KT 10SM CLR M01/M02 A3010 RMK AO2 SLP197 I1000 T10111017
2026-05-02 09:52:00,METAR KDPA 020952Z AUTO 01003KT 10SM CLR M02/M02 A3009 RMK AO2 UPB0856E11SNB0859E08 SLP196 P0000 I1000 T10171017
2026-05-02 08:52:00,METAR KDPA 020852Z AUTO 00000KT 10SM CLR M01/M01 A3009 RMK AO2 SLP195 I1000 I3000 T10061011 55005
2026-05-02 07:52:00,METAR KDPA 020752Z AUTO 00000KT 10SM CLR M01/M01 A3009 RMK AO2 SLP194 T10061011
2026-05-02 06:52:00,METAR KDPA 020652Z 00000KT 10SM CLR M01/M01 A3010 RMK AO2 SLP197 T10061011
2026-05-02 05:52:00,METAR KDPA 020552Z 00000KT 10SM CLR 01/00 A3011 RMK AO2 SLP200 T00110000 10067 20011 401110011 50003
2026-05-02 04:52:00,METAR KDPA 020452Z 00000KT 10SM CLR 01/M01 A3011 RMK AO2 SLP201 T00111006
2026-05-02 03:52:00,METAR KDPA 020352Z 00000KT 10SM CLR 02/M01 A3010 RMK AO2 SLP199 T00221006
2026-05-02 02:52:00,METAR KDPA 020252Z 00000KT 10SM CLR 03/M01 A3010 RMK AO2 SLP197 T00281006 52019
2026-05-02 01:52:00,METAR KDPA 020152Z 06007KT 10SM CLR 03/M01 A3008 RMK AO2 SLP191 T00281006
2026-05-02 00:52:00,METAR KDPA 020052Z 07009KT 10SM FEW047 SCT060 04/00 A3005 RMK AO2 SLP183 T00440000
2026-05-01 23:52:00,METAR KDPA 012352Z 05007KT 10SM SCT100 07/02 A3004 RMK AO2 SLP177 60000 T00720017 10111 20072 50002
2026-05-01 22:52:00,METAR KDPA 012252Z 05006KT 10SM SCT050 BKN060 OVC100 07/02 A3004 RMK AO2 RAB04E16 SLP178 P0000 T00720017
2026-05-01 21:52:00,METAR KDPA 012152Z 08009KT 10SM BKN047 OVC055 08/02 A3004 RMK AO2 SLP177 T00780017
2026-05-01 20:52:00,METAR KDPA 012052Z VRB05KT 10SM FEW049 OVC060 09/M01 A3003 RMK AO2 SLP174 T00891011 50005
2026-05-01 19:52:00,METAR KDPA 011952Z 32008KT 10SM OVC070 09/M02 A3003 RMK AO2 SLP175 T00891022
2026-05-01 18:52:00,METAR KDPA 011852Z 34008KT 10SM FEW055 OVC080 09/M02 A3002 RMK AO2 SLP171 T00941022
2026-05-01 17:52:00,METAR KDPA 011752Z 34010KT 10SM SCT050 OVC070 09/M02 A3002 RMK AO2 SLP169 T00941017 10100 20044 55000
2026-05-01 16:52:00,METAR KDPA 011652Z 32012G16KT 10SM SCT050 BKN070 09/M01 A3001 RMK AO2 SLP168 T00941011
2026-05-01 15:52:00,METAR KDPA 011552Z 01007KT 10SM FEW046 SCT055 09/M01 A3002 RMK AO2 SLP168 T00891006
2026-05-01 14:52:00,METAR KDPA 011452Z 33009KT 10SM FEW028 FEW041 08/03 A3002 RMK AO2 SLP169 T00830028 51007
2026-05-01 14:29:00,SPECI KDPA 011429Z 33008KT 10SM FEW017 SCT026 08/03 A3002 RMK AO2 T00780028
2026-05-01 14:17:00,SPECI KDPA 011417Z 30006KT 10SM BKN017 BKN024 07/04 A3002 RMK AO2 T00720039
2026-05-01 14:10:00,SPECI KDPA 011410Z 00000KT 10SM SCT015 07/03 A3001 RMK AO2 T00720033
2026-05-01 13:52:00,METAR KDPA 011352Z 34004KT 10SM BKN015 BKN060 07/03 A3001 RMK AO2 SLP167 T00670033
2026-05-01 13:20:00,SPECI KDPA 011320Z 32004KT 10SM FEW028 SCT045 BKN065 06/03 A3001 RMK AO2 T00610033
2026-05-01 13:03:00,SPECI KDPA 011303Z 32007KT 10SM BKN027 BKN039 05/03 A3001 RMK AO2 T00500028
2026-05-01 12:52:00,METAR KDPA 011252Z AUTO 32008KT 10SM SCT028 BKN039 05/03 A3001 RMK AO2 SLP169 T00500033
2026-05-01 12:21:00,SPECI KDPA 011221Z AUTO 32006KT 10SM SCT028 BKN033 05/03 A3001 RMK AO2 T00500033
2026-05-01 11:52:00,METAR KDPA 011152Z AUTO 33005KT 10SM BKN027 04/03 A3000 RMK AO2 SLP163 60001 70024 T00440033 10050 20033 53010
2026-05-01 10:52:00,METAR KDPA 011052Z 35003KT 10SM FEW029 BKN100 03/03 A2998 RMK AO2 SLP158 T00330028
2026-05-01 10:33:00,SPECI KDPA 011033Z 03004KT 10SM SCT012 SCT030 OVC100 03/03 A2998 RMK AO2 T00330028
2026-05-01 10:11:00,SPECI KDPA 011011Z 01005KT 10SM BKN013 OVC049 04/03 A2998 RMK AO2 T00440033
2026-05-01 09:52:00,METAR KDPA 010952Z 36004KT 10SM SCT034 OVC049 04/03 A2998 RMK AO2 RAE14 SLP155 P0000 T00440028
2026-05-01 09:22:00,SPECI KDPA 010922Z 04005KT 10SM FEW012 SCT023 OVC039 04/03 A2997 RMK AO2 RAE14 P0000 T00440033
2026-05-01 08:52:00,METAR KDPA 010852Z 36004KT 8SM -RA SCT010 BKN015 OVC021 04/03 A2997 RMK AO2 RAB05 SLP152 P0001 60001 T00440033 53005
2026-05-01 08:45:00,SPECI KDPA 010845Z 02007KT 8SM -RA SCT009 BKN014 OVC020 04/03 A2997 RMK AO2 RAB05 P0001 T00440028
2026-05-01 08:38:00,SPECI KDPA 010838Z 01011KT 10SM -RA SCT009 BKN016 OVC020 04/03 A2996 RMK AO2 RAB05 P0001 T00440033
2026-05-01 08:16:00,SPECI KDPA 010816Z 36007KT 6SM -RA BR BKN010 OVC016 05/04 A2996 RMK AO2 RAB05 CIG 006V011 P0001 T00500039
2026-05-01 08:09:00,SPECI KDPA 010809Z 36006KT 6SM -RA BR BKN008 OVC016 04/04 A2995 RMK AO2 RAB05 CIG 006V012 P0001 T00440039
2026-05-01 07:52:00,METAR KDPA 010752Z 33008KT 6SM BR SCT008 BKN013 OVC085 05/04 A2996 RMK AO2 SLP148 T00500039
2026-05-01 07:45:00,SPECI KDPA 010745Z 32007KT 6SM BR FEW006 BKN013 OVC085 04/04 A2996 RMK AO2 T00440044
2026-05-01 06:52:00,METAR KDPA 010652Z 02004KT 7SM BKN060 OVC100 04/03 A2996 RMK AO2 SLP148 T00390033
2026-05-01 05:52:00,METAR KDPA 010552Z 10005KT 10SM SCT050 OVC070 04/03 A2995 RMK AO2 RAE26 SLP146 P0000 60012 T00440033 10061 20039 401390017 58006
2026-05-01 04:52:00,METAR KDPA 010452Z 09003KT 10SM -RA FEW034 BKN040 OVC055 04/03 A2997 RMK AO2 SLP152 P0005 T00440028
2026-05-01 04:42:00,SPECI KDPA 010442Z 06005KT 7SM -RA SCT027 BKN034 OVC055 04/03 A2997 RMK AO2 P0005 T00390028
2026-05-01 03:52:00,METAR KDPA 010352Z 04005KT 8SM RA OVC022 04/02 A2997 RMK AO2 RAB07E18B41 SLP152 P0002 T00440022
2026-05-01 02:52:00,METAR KDPA 010252Z 06005KT 10SM BKN022 OVC028 05/03 A2997 RMK AO2 RAE31 SLP152 P0000 60005 T00500033 53008
2026-05-01 01:52:00,METAR KDPA 010152Z AUTO 10006KT 8SM -RA OVC019 05/03 A2996 RMK AO2 RAB00 SLP150 P0005 T00500028
2026-05-01 01:32:00,SPECI KDPA 010132Z AUTO 07006KT 7SM RA BKN020 OVC034 05/03 A2996 RMK AO2 RAB00 P0002 T00500028
2026-05-01 00:59:00,SPECI KDPA 010059Z 07010KT 10SM BKN034 OVC041 06/04 A2995 RMK AO2 T00560039
2026-05-01 00:52:00,METAR KDPA 010052Z 07008KT 10SM BKN018 OVC040 06/04 A2995 RMK AO2 RAE28 SLP145 P0000 T00560039
2026-04-30 23:52:00,METAR KDPA 302352Z 04007KT 8SM -RA BKN018 OVC040 07/05 A2995 RMK AO2 SLP146 P0002 60011 T00670050 10139 20067 50002
2026-04-30 23:31:00,SPECI KDPA 302331Z VRB03KT 6SM -RA BR BKN018 BKN031 OVC038 07/06 A2995 RMK AO2 P0001 T00670056
2026-04-30 23:11:00,SPECI KDPA 302311Z 11008KT 8SM -RA SCT025 OVC034 07/06 A2995 RMK AO2 P0001 T00720056
2026-04-30 23:03:00,SPECI KDPA 302303Z 09006KT 8SM -RA SCT023 BKN029 OVC039 07/05 A2995 RMK AO2 P0000 T00720050
2026-04-30 22:52:00,METAR KDPA 302252Z 09007KT 7SM -RA SCT027 BKN034 OVC044 07/06 A2995 RMK AO2 SLP148 P0002 T00720056
2026-04-30 21:52:00,METAR KDPA 302152Z 10006KT 3SM -RA BR OVC035 08/06 A2995 RMK AO2 SLP148 P0007 T00780061
2026-04-30 21:32:00,SPECI KDPA 302132Z 08010KT 4SM -RA BKN037 OVC045 08/06 A2995 RMK AO2 P0004 T00830056
2026-04-30 21:25:00,SPECI KDPA 302125Z 06008KT 2 1/2SM RA BKN036 OVC047 08/06 A2995 RMK AO2 P0003 T00830056
2026-04-30 20:52:00,METAR KDPA 302052Z 06013KT 10SM -RA SCT049 OVC060 10/04 A2994 RMK AO2 RAB21 SLP143 P0000 60000 T01000044 58013
2026-04-30 19:52:00,METAR KDPA 301952Z 28009KT 10SM SCT055 OVC075 13/02 A2996 RMK AO2 SLP148 T01280017
2026-04-30 18:52:00,METAR KDPA 301852Z VRB03KT 10SM OVC060 13/M02 A2997 RMK AO2 SLP151 T01281017
2026-04-30 17:52:00,METAR KDPA 301752Z 22006KT 10SM SCT065 OVC095 13/00 A2998 RMK AO2 SLP155 T01330000 10133 20033 58013
2026-04-30 16:52:00,METAR KDPA 301652Z 25007KT 10SM SCT055 BKN080 13/02 A3000 RMK AO2 SLP161 T01330017
2026-04-30 15:52:00,METAR KDPA 301552Z AUTO 30005KT 10SM SCT075 BKN090 12/01 A3001 RMK AO2 SLP166 T01170006
2026-04-30 14:52:00,METAR KDPA 301452Z AUTO 00000KT 10SM FEW060 BKN080 11/01 A3002 RMK AO2 SLP169 T01060011 58002
2026-04-30 13:52:00,METAR KDPA 301352Z AUTO 36004KT 10SM BKN070 09/02 A3003 RMK AO2 SLP172 T00890022
2026-04-30 12:52:00,METAR KDPA 301252Z 29003KT 10SM BKN085 07/03 A3003 RMK AO2 SLP172 T00670033
2026-04-30 11:52:00,METAR KDPA 301152Z 00000KT 9SM BKN075 OVC090 03/03 A3003 RMK AO2 SLP171 60000 I6000 T00330028 10044 20017 53003
2026-04-30 10:52:00,METAR KDPA 301052Z 00000KT 10SM CLR 02/02 A3002 RMK AO2 SLP169 T00220017
2026-04-30 09:52:00,METAR KDPA 300952Z 00000KT 9SM CLR 02/02 A3001 RMK AO2 SLP166 I1000 T00220022
2026-04-30 08:52:00,METAR KDPA 300852Z 00000KT 9SM CLR 03/03 A3002 RMK AO2 SLP168 60000 T00280028 55003
2026-04-30 07:52:00,METAR KDPA 300752Z 00000KT 10SM CLR 04/03 A3001 RMK AO2 RAB0658E18SNB18E19 SLP165 P0000 T00440033
2026-04-30 06:52:00,METAR KDPA 300652Z 00000KT 10SM CLR 04/03 A3002 RMK AO2 SLP167 T00390033
2026-04-30 05:52:00,METAR KDPA 300552Z 00000KT 5SM BR CLR 03/03 A3002 RMK AO2 SLP170 60000 T00330033 10100 20033 401440033 55001
2026-04-30 04:52:00,METAR KDPA 300452Z 00000KT 10SM CLR 04/03 A3002 RMK AO2 SLP170 T00440033
2026-04-30 03:52:00,METAR KDPA 300352Z 00000KT 10SM CLR 06/03 A3002 RMK AO2 SLP169 T00610033
2026-04-30 02:52:00,METAR KDPA 300252Z 35004KT 10SM FEW080 06/03 A3003 RMK AO2 SLP170 60000 T00610033 51017
2026-04-30 01:52:00,METAR KDPA 300152Z 35008KT 10SM BKN075 08/04 A3002 RMK AO2 RAB23E34 SLP167 P0000 T00780039
2026-04-30 00:52:00,METAR KDPA 300052Z 32009KT 10SM SCT080 09/03 A3000 RMK AO2 SLP160 T00890028
2026-04-29 23:52:00,METAR KDPA 292352Z 35009KT 10SM FEW037 BKN046 BKN070 10/04 A2998 RMK AO2 SLP153 60000 T01000039 10133 20094 53010
2026-04-29 22:52:00,METAR KDPA 292252Z 36011KT 10SM FEW034 BKN050 OVC070 10/04 A2997 RMK AO2 SLP149 T01000044
2026-04-29 21:52:00,METAR KDPA 292152Z 36011KT 10SM FEW031 SCT036 BKN080 11/05 A2995 RMK AO2 SLP142 T01060050
2026-04-29 20:52:00,METAR KDPA 292052Z 34011G20KT 10SM OVC080 12/04 A2995 RMK AO2 RAB11E21 SLP142 P0000 60000 T01170039 51004
2026-04-29 19:52:00,METAR KDPA 291952Z 33012KT 10SM SCT040 OVC080 12/04 A2994 RMK AO2 SLP141 T01220044
2026-04-29 18:52:00,METAR KDPA 291852Z 32018G25KT 10SM FEW036 SCT044 BKN060 12/04 A2994 RMK AO2 SLP139 T01220039
2026-04-29 17:52:00,METAR KDPA 291752Z 31018KT 10SM SCT034 BKN045 OVC050 12/04 A2993 RMK AO2 SLP137 T01220044 10144 20100 51005
2026-04-29 16:52:00,METAR KDPA 291652Z 32017G23KT 10SM SCT034 BKN044 BKN090 13/06 A2993 RMK AO2 SLP134 T01330056
2026-04-29 15:52:00,METAR KDPA 291552Z 29015KT 10SM FEW033 SCT070 BKN090 13/06 A2993 RMK AO2 SLP134 T01330061
2026-04-29 14:52:00,METAR KDPA 291452Z 30014G20KT 10SM SCT027 BKN043 13/07 A2992 RMK AO2 SLP131 T01280067 55001
2026-04-29 13:52:00,METAR KDPA 291352Z 34011KT 10SM FEW024 SCT120 12/06 A2991 RMK AO2 SLP130 T01220061
2026-04-29 12:52:00,METAR KDPA 291252Z 33008KT 10SM BKN065 BKN090 BKN120 11/07 A2992 RMK AO2 SLP133 T01060072
2026-04-29 11:52:00,METAR KDPA 291152Z 30009KT 10SM SCT049 OVC080 10/07 A2992 RMK AO2 RAE07 SLP132 P0000 60000 T01000067 10122 20100 53012
2026-04-29 10:52:00,METAR KDPA 291052Z 31009KT 10SM -RA BKN060 OVC075 11/06 A2991 RMK AO2 RAB51 SLP127 P0000 T01060061
2026-04-29 09:52:00,METAR KDPA 290952Z 32010KT 10SM BKN060 OVC070 11/06 A2990 RMK AO2 SLP124 T01110056
2026-04-29 08:52:00,METAR KDPA 290852Z 34011KT 10SM FEW060 OVC090 12/04 A2989 RMK AO2 SLP119 T01170044 58006
2026-04-29 07:52:00,METAR KDPA 290752Z 32008KT 10SM BKN060 OVC090 12/06 A2990 RMK AO2 SLP124 T01170056
2026-04-29 06:52:00,METAR KDPA 290652Z 29005KT 10SM BKN060 OVC095 11/07 A2990 RMK AO2 SLP125 T01110067
2026-04-29 05:52:00,METAR KDPA 290552Z 29003KT 10SM BKN120 12/07 A2991 RMK AO2 SLP127 T01170067 10156 20111 401670094 55007
2026-04-29 04:52:00,METAR KDPA 290452Z 33005KT 10SM SCT100 13/07 A2990 RMK AO2 SLP125 T01280067
2026-04-29 03:52:00,METAR KDPA 290352Z 29005KT 10SM BKN095 BKN120 13/09 A2992 RMK AO2 SLP132 T01330089
2026-04-29 02:52:00,METAR KDPA 290252Z 24003KT 10SM SCT120 13/08 A2993 RMK AO2 SLP135 T01330083 53012
2026-04-29 01:52:00,METAR KDPA 290152Z 00000KT 10SM SCT120 13/08 A2991 RMK AO2 SLP129 T01280078
2026-04-29 00:52:00,METAR KDPA 290052Z 26004KT 10SM CLR 15/07 A2989 RMK AO2 SLP121 T01500072
2026-04-28 23:52:00,METAR KDPA 282352Z 27006KT 10SM CLR 16/08 A2989 RMK AO2 SLP122 T01560078 10167 20139 56010
2026-04-28 22:52:00,METAR KDPA 282252Z 31009KT 10SM CLR 17/07 A2990 RMK AO2 SLP124 T01670072
2026-04-28 21:52:00,METAR KDPA 282152Z 29008KT 10SM CLR 17/08 A2991 RMK AO2 SLP128 T01670078
2026-04-28 20:52:00,METAR KDPA 282052Z 30010G18KT 10SM CLR 17/08 A2992 RMK AO2 SLP131 T01670083 58013
2026-04-28 19:52:00,METAR KDPA 281952Z 28009G18KT 10SM FEW031 16/09 A2993 RMK AO2 SLP135 T01610089
2026-04-28 18:52:00,METAR KDPA 281852Z 26011KT 10SM BKN032 15/08 A2996 RMK AO2 SLP143 T01500083
2026-04-28 18:39:00,SPECI KDPA 281839Z 24016G23KT 10SM BKN030 BKN036 15/08 A2996 RMK AO2 T01500083
2026-04-28 17:52:00,METAR KDPA 281752Z 24012G23KT 10SM BKN029 14/08 A2996 RMK AO2 SLP144 T01440083 10144 20100 51014
