Time_recorded,METAR
2026-05-02 15:30:00,METAR LPFR 021530Z 25013KT 9999 FEW025 20/14 Q1016
2026-05-02 15:00:00,METAR LPFR 021500Z 25013KT 9999 FEW025 20/13 Q1016
2026-05-02 14:30:00,METAR LPFR 021430Z 25011KT 9999 FEW025 20/12 Q1017
2026-05-02 14:00:00,METAR LPFR 021400Z 24010KT 9999 FEW025 20/12 Q1017
2026-05-02 13:30:00,METAR LPFR 021330Z 24011KT 9999 FEW025 20/12 Q1017
2026-05-02 13:00:00,METAR LPFR 021300Z 24010KT 200V270 9999 FEW025 20/12 Q1017
2026-05-02 12:30:00,METAR LPFR 021230Z 23009KT 9999 FEW025 20/13 Q1018
2026-05-02 12:00:00,METAR LPFR 021200Z 22008KT 170V260 9999 FEW030 20/13 Q1018
2026-05-02 11:30:00,METAR LPFR 021130Z 19007KT 9999 FEW030 20/13 Q1018
2026-05-02 11:00:00,METAR LPFR 021100Z 17006KT 150V210 9999 FEW030 20/14 Q1018
2026-05-02 10:30:00,METAR LPFR 021030Z 21005KT 160V250 9999 FEW030 20/14 Q1018
2026-05-02 10:00:00,METAR LPFR 021000Z 17006KT 140V210 9999 FEW025 20/14 Q1018
2026-05-02 09:30:00,METAR LPFR 020930Z 12005KT 090V150 9999 FEW025 20/13 Q1018
2026-05-02 09:00:00,METAR LPFR 020900Z 06005KT 350V090 9999 FEW030 18/11 Q1018
2026-05-02 08:30:00,METAR LPFR 020830Z 04003KT 320V090 9999 FEW025 18/11 Q1018
2026-05-02 08:00:00,METAR LPFR 020800Z 04005KT 340V060 9999 FEW025 17/11 Q1017
2026-05-02 07:30:00,METAR LPFR 020730Z VRB02KT 9999 SCT030 17/11 Q1018
2026-05-02 07:00:00,METAR LPFR 020700Z 04005KT 9999 FEW030 17/10 Q1017
2026-05-02 06:30:00,METAR LPFR 020630Z 04006KT 020V090 9999 FEW030 16/10 Q1017
2026-05-02 06:00:00,METAR LPFR 020600Z 03006KT 9999 FEW035 16/10 Q1017
2026-05-02 05:30:00,METAR LPFR 020530Z 04005KT 010V090 CAVOK 16/10 Q1017
2026-05-02 05:00:00,METAR LPFR 020500Z 04005KT CAVOK 16/10 Q1017
2026-05-02 04:30:00,METAR LPFR 020430Z 36004KT CAVOK 16/10 Q1017
2026-05-02 04:00:00,METAR LPFR 020400Z 34003KT 310V010 CAVOK 16/11 Q1017
2026-05-02 03:30:00,METAR LPFR 020330Z VRB02KT CAVOK 17/12 Q1017
2026-05-02 03:00:00,METAR LPFR 020300Z 26003KT CAVOK 16/11 Q1017
2026-05-02 02:30:00,METAR LPFR 020230Z VRB02KT CAVOK 16/11 Q1017
2026-05-02 02:00:00,METAR LPFR 020200Z 04004KT CAVOK 17/11 Q1017
2026-05-02 01:30:00,METAR LPFR 020130Z 07003KT 360V100 CAVOK 17/10 Q1018
2026-05-02 01:00:00,METAR LPFR 020100Z 04003KT CAVOK 17/10 Q1018
2026-05-02 00:30:00,METAR LPFR 020030Z 05003KT CAVOK 17/10 Q1018
2026-05-02 00:00:00,METAR LPFR 020000Z 05007KT CAVOK 17/10 Q1018
2026-05-01 23:30:00,METAR LPFR 012330Z 03005KT CAVOK 18/10 Q1019
2026-05-01 23:00:00,METAR LPFR 012300Z 02004KT 330V070 CAVOK 18/09 Q1019
2026-05-01 22:30:00,METAR LPFR 012230Z 34005KT CAVOK 17/10 Q1019
2026-05-01 22:00:00,METAR LPFR 012200Z 33007KT CAVOK 17/10 Q1019
2026-05-01 21:30:00,METAR LPFR 012130Z 31007KT CAVOK 18/10 Q1019
2026-05-01 21:00:00,METAR LPFR 012100Z 30007KT CAVOK 18/10 Q1018
2026-05-01 20:30:00,METAR LPFR 012030Z 28010KT CAVOK 19/12 Q1018
2026-05-01 20:00:00,METAR LPFR 012000Z 27009KT CAVOK 18/13 Q1018
2026-05-01 19:30:00,METAR LPFR 011930Z 26009KT CAVOK 18/13 Q1018
2026-05-01 19:00:00,METAR LPFR 011900Z 27010KT CAVOK 18/13 Q1018
2026-05-01 18:30:00,METAR LPFR 011830Z 26012KT CAVOK 19/13 Q1018
2026-05-01 18:00:00,METAR LPFR 011800Z 26009KT CAVOK 19/12 Q1017
2026-05-01 17:30:00,METAR LPFR 011730Z 26010KT CAVOK 19/13 Q1018
2026-05-01 17:00:00,METAR LPFR 011700Z 26011KT CAVOK 20/13 Q1018
2026-05-01 16:30:00,METAR LPFR 011630Z 25011KT CAVOK 20/13 Q1018
2026-05-01 16:00:00,METAR LPFR 011600Z 26012KT CAVOK 20/13 Q1018
2026-05-01 15:30:00,METAR LPFR 011530Z 26013KT CAVOK 20/13 Q1018
2026-05-01 15:00:00,METAR LPFR 011500Z 25011KT CAVOK 20/13 Q1018
2026-05-01 14:30:00,METAR LPFR 011430Z 25012KT 9999 FEW025 20/12 Q1018
2026-05-01 14:00:00,METAR LPFR 011400Z 25012KT 9999 FEW025 20/14 Q1018
2026-05-01 13:30:00,METAR LPFR 011330Z 24010KT 9999 FEW025 20/13 Q1019
2026-05-01 13:00:00,METAR LPFR 011300Z 25009KT 210V270 9999 FEW025 20/13 Q1019
2026-05-01 12:30:00,METAR LPFR 011230Z 24009KT 9999 FEW025 20/13 Q1019
2026-05-01 12:00:00,METAR LPFR 011200Z 24009KT CAVOK 19/12 Q1019
2026-05-01 11:30:00,METAR LPFR 011130Z 23007KT 200V260 CAVOK 19/11 Q1019
2026-05-01 11:00:00,METAR LPFR 011100Z 22005KT 170V260 CAVOK 19/11 Q1019
2026-05-01 10:30:00,METAR LPFR 011030Z 22005KT 180V250 CAVOK 19/11 Q1019
2026-05-01 10:00:00,METAR LPFR 011000Z 18005KT 150V240 CAVOK 19/11 Q1019
2026-05-01 09:30:00,METAR LPFR 010930Z 17005KT 140V200 CAVOK 19/11 Q1019
