Time_recorded,METAR
2026-05-02 15:20:00,METAR LGIR 021520Z 34017KT 9999 SCT020 15/06 Q1015 NOSIG
2026-05-02 14:50:00,METAR LGIR 021450Z 34017KT 9999 SCT020 15/06 Q1015 NOSIG
2026-05-02 14:20:00,METAR LGIR 021420Z 33016KT 9999 BKN020 16/06 Q1015 NOSIG
2026-05-02 13:50:00,METAR LGIR 021350Z 33016KT 9999 BKN020 16/06 Q1015 NOSIG
2026-05-02 13:20:00,METAR LGIR 021320Z 34017KT 9999 BKN020 16/06 Q1015 NOSIG
2026-05-02 12:50:00,METAR LGIR 021250Z 33014KT 9999 FEW012 BKN025 BKN070 16/06 Q1015 NOSIG
2026-05-02 12:20:00,METAR LGIR 021220Z 33014KT 9999 FEW012 BKN025 BKN070 16/06 Q1015 NOSIG
2026-05-02 11:50:00,METAR LGIR 021150Z 33014KT 9999 FEW012 BKN025 BKN070 16/06 Q1015 NOSIG
2026-05-02 11:20:00,METAR LGIR 021120Z 33014KT 9999 FEW012 BKN025 BKN070 16/07 Q1015 NOSIG
2026-05-02 10:50:00,METAR LGIR 021050Z 34013KT 9999 FEW012 BKN025 BKN070 15/07 Q1015 NOSIG
2026-05-02 10:20:00,METAR LGIR 021020Z 33012KT 9999 FEW012 BKN025 BKN070 15/08 Q1015 NOSIG
2026-05-02 09:50:00,METAR LGIR 020950Z 32011KT 9999 FEW012 BKN025 BKN070 15/09 Q1016 NOSIG
2026-05-02 09:20:00,METAR LGIR 020920Z 33012KT 9999 FEW012 BKN025 BKN070 14/09 Q1016 NOSIG
2026-05-02 08:50:00,METAR LGIR 020850Z 35011KT 9999 FEW012 BKN025 BKN070 15/09 Q1016 NOSIG
2026-05-02 08:20:00,METAR LGIR 020820Z 33012KT 9999 FEW012 BKN025 BKN070 13/10 Q1016 NOSIG
2026-05-02 07:50:00,METAR LGIR 020750Z VRB03KT 9999 FEW012 BKN025 BKN070 12/09 Q1015 NOSIG
2026-05-02 07:20:00,METAR LGIR 020720Z 27004KT 9999 -RA FEW012 BKN025 BKN070 12/08 Q1016 NOSIG
