Time_recorded,METAR
2026-04-30 15:00:00,METAR VTSP 301500Z 06005KT 010V090 9999 FEW020 SCT040 30/25 Q1011 NOSIG
2026-04-30 14:30:00,METAR VTSP 301430Z 06003KT 350V110 9999 FEW020CB SCT040 30/25 Q1010 NOSIG
2026-04-30 14:00:00,METAR VTSP 301400Z 33003KT 290V020 9999 FEW020CB SCT040 30/26 Q1010 TEMPO FM1420 TL1450 3000 RA
2026-04-30 13:30:00,METAR VTSP 301330Z 30005KT 9999 FEW020 30/26 Q1009 NOSIG
2026-04-30 13:00:00,METAR VTSP 301300Z 29007KT 9999 FEW020 30/26 Q1008 NOSIG
2026-04-30 12:30:00,METAR VTSP 301230Z 29006KT 9999 FEW020 30/26 Q1008 NOSIG
2026-04-30 12:00:00,METAR VTSP 301200Z 29007KT 9999 FEW020 30/26 Q1007 NOSIG
2026-04-30 11:30:00,METAR VTSP 301130Z 28008KT 9999 FEW020 31/26 Q1007 NOSIG
2026-04-30 11:00:00,METAR VTSP 301100Z 27009KT 9999 FEW020 31/27 Q1007 NOSIG
2026-04-30 10:30:00,METAR VTSP 301030Z 28010KT 9999 FEW020 32/26 Q1007 NOSIG
2026-04-30 10:00:00,METAR VTSP 301000Z 27011KT 9999 FEW020 32/26 Q1006 NOSIG
2026-04-30 09:30:00,METAR VTSP 300930Z 27011KT 9999 FEW020 33/26 Q1006 NOSIG
2026-04-30 09:00:00,METAR VTSP 300900Z 27013KT 9999 FEW020 33/26 Q1007 NOSIG
2026-04-30 08:30:00,METAR VTSP 300830Z VRB05KT 9999 FEW020 35/22 Q1007 WS ALL RWY NOSIG
2026-04-30 08:00:00,METAR VTSP 300800Z 22009KT 170V310 9999 FEW020 33/26 Q1007 WS ALL RWY NOSIG
2026-04-30 07:30:00,METAR VTSP 300730Z 16004KT 100V210 9999 FEW020 35/22 Q1007 NOSIG
2026-04-30 07:00:00,METAR VTSP 300700Z 09007KT 040V150 9999 FEW020 35/21 Q1008 NOSIG
2026-04-30 06:30:00,METAR VTSP 300630Z 09008KT 060V140 9999 FEW020 35/22 Q1008 NOSIG
2026-04-30 06:00:00,METAR VTSP 300600Z 08007KT 020V120 9999 FEW020 35/23 Q1009 NOSIG
2026-04-30 05:30:00,METAR VTSP 300530Z 08009KT 040V100 9999 FEW020 35/24 Q1009 NOSIG
2026-04-30 05:00:00,METAR VTSP 300500Z VRB06KT 9999 FEW020 34/24 Q1010 NOSIG
2026-04-30 04:30:00,METAR VTSP 300430Z 09007KT 040V130 9999 FEW020 34/24 Q1010 NOSIG
2026-04-30 04:00:00,METAR VTSP 300400Z 09010KT 060V130 9999 FEW020 33/25 Q1010 NOSIG
2026-04-30 03:30:00,METAR VTSP 300330Z 08009KT 030V130 9999 FEW020 33/25 Q1010 NOSIG
2026-04-30 03:00:00,METAR VTSP 300300Z 08010KT 050V120 9999 FEW020 33/25 Q1011 NOSIG
2026-04-30 02:30:00,METAR VTSP 300230Z 08010KT 030V100 9999 FEW020 32/25 Q1011 NOSIG
2026-04-30 02:00:00,METAR VTSP 300200Z 08011KT 030V100 9999 FEW020 31/25 Q1011 NOSIG
2026-04-30 01:30:00,METAR VTSP 300130Z 07006KT 010V100 9999 FEW020 30/25 Q1010 NOSIG
2026-04-30 01:00:00,METAR VTSP 300100Z 07005KT 010V110 9999 FEW020 30/25 Q1010 NOSIG
2026-04-30 00:30:00,METAR VTSP 300030Z 08007KT 060V130 9999 FEW020 28/26 Q1009 NOSIG
2026-04-30 00:00:00,METAR VTSP 300000Z 11003KT 070V140 9999 FEW020 28/26 Q1009 NOSIG
2026-04-29 23:30:00,METAR VTSP 292330Z VRB02KT 9999 FEW020 26/25 Q1008 NOSIG
2026-04-29 23:00:00,METAR VTSP 292300Z 09003KT 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 22:30:00,METAR VTSP 292230Z 07004KT 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 22:00:00,METAR VTSP 292200Z 08003KT 030V130 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 21:30:00,METAR VTSP 292130Z 09006KT 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 21:00:00,METAR VTSP 292100Z 08006KT 9999 FEW020 28/25 Q1007 NOSIG
2026-04-29 20:30:00,METAR VTSP 292030Z 09004KT 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 20:00:00,METAR VTSP 292000Z 08004KT 9999 FEW020 28/25 Q1007 NOSIG
2026-04-29 19:30:00,METAR VTSP 291930Z 09006KT 9999 FEW020 27/25 Q1007 NOSIG
2026-04-29 19:00:00,METAR VTSP 291900Z 09005KT 9999 FEW020 28/25 Q1007 NOSIG
2026-04-29 18:30:00,METAR VTSP 291830Z 10004KT 9999 FEW020 28/25 Q1008 NOSIG
2026-04-29 18:00:00,METAR VTSP 291800Z 08004KT 9999 FEW020 28/25 Q1009 NOSIG
2026-04-29 17:30:00,METAR VTSP 291730Z 07003KT 030V120 9999 FEW020 28/25 Q1009 NOSIG
2026-04-29 17:00:00,METAR VTSP 291700Z 07004KT 010V110 9999 FEW020 28/25 Q1010 NOSIG
2026-04-29 16:30:00,METAR VTSP 291630Z 09009KT 9999 FEW020 28/24 Q1010 NOSIG
2026-04-29 16:00:00,METAR VTSP 291600Z 11004KT 9999 FEW020 28/25 Q1010 NOSIG
2026-04-29 15:30:00,METAR VTSP 291530Z 09006KT 9999 FEW020 29/24 Q1010 NOSIG
2026-04-29 15:00:00,METAR VTSP 291500Z 11004KT 080V150 9999 FEW020 29/24 Q1010 NOSIG
2026-04-29 14:30:00,METAR VTSP 291430Z VRB03KT 9999 FEW020 28/24 Q1009 NOSIG
2026-04-29 14:00:00,METAR VTSP 291400Z 09005KT 050V120 9999 FEW020 28/24 Q1009 NOSIG
2026-04-29 13:30:00,METAR VTSP 291330Z 09007KT 9999 FEW018CB SCT030 29/23 Q1008 RETS NOSIG
2026-04-29 13:00:00,METAR VTSP 291300Z 06003KT 340V090 9999 TS VCSH FEW018CB SCT020 30/26 Q1008 TEMPO FM1320 TL1400 3000 TSRA
