Time_recorded,METAR
2026-05-02 14:56:00,METAR KHND 021456Z 00000KT 10SM CLR 20/M08 A3006 RMK AO2 SLP175 T02001078 51014 $
2026-05-02 13:56:00,METAR KHND 021356Z 15004KT 10SM CLR 16/M06 A3005 RMK AO2 SLP173 T01561061 $
2026-05-02 12:56:00,METAR KHND 021256Z 15005KT 10SM CLR 13/M07 A3003 RMK AO2 SLP167 T01331067 $
2026-05-02 11:56:00,METAR KHND 021156Z AUTO 14005KT 10SM CLR 13/M07 A3001 RMK AO2 SLP162 T01331067 10211 20133 56001 $
2026-05-02 10:56:00,METAR KHND 021056Z AUTO 19003KT 10SM CLR 13/M07 A3001 RMK AO2 SLP162 T01331067 $
2026-05-02 09:56:00,METAR KHND 020956Z AUTO 15006KT 10SM CLR 14/M06 A3001 RMK AO2 SLP160 T01441056 $
2026-05-02 08:56:00,METAR KHND 020856Z AUTO 17006KT 10SM CLR 16/M06 A3001 RMK AO2 SLP161 T01561061 50007 $
2026-05-02 07:56:00,METAR KHND 020756Z AUTO 17006KT 10SM CLR 16/M06 A3002 RMK AO2 SLP163 T01611061 $
2026-05-02 06:56:00,METAR KHND 020656Z AUTO VRB03KT 10SM CLR 18/M07 A3001 RMK AO2 SLP160 T01831072 402890139 $
2026-05-02 05:56:00,METAR KHND 020556Z AUTO 00000KT 10SM CLR 21/M08 A2999 RMK AO2 SLP151 T02111078 10283 20200 51019 $
2026-05-02 04:56:00,METAR KHND 020456Z AUTO 00000KT 10SM CLR 22/M07 A2998 RMK AO2 SLP147 T02171072 $
2026-05-02 03:56:00,METAR KHND 020356Z AUTO 07004KT 10SM CLR 24/M08 A2996 RMK AO2 SLP140 T02391083 $
2026-05-02 02:56:00,METAR KHND 020256Z 06008KT 10SM CLR 26/M10 A2993 RMK AO2 SLP131 T02561100 53004 $
2026-05-02 01:57:00,METAR KHND 020157Z 03006KT 10SM 27/M08 A2992 RMK SP
2026-05-02 01:56:00,METAR KHND 020156Z 06009KT 10SM CLR 27/M08 A2992 RMK AO2 SLP127 T02671078 $
2026-05-02 00:56:00,METAR KHND 020056Z 02010KT 10SM CLR 28/M07 A2991 RMK AO2 SLP126 T02781067 $
2026-05-01 23:56:00,METAR KHND 012356Z 05007KT 10SM CLR 28/M06 A2992 RMK AO2 SLP126 T02781056 10289 20250 56015 $
2026-05-01 22:56:00,METAR KHND 012256Z 05007KT 10SM CLR 27/M05 A2992 RMK AO2 SLP129 T02721050 $
2026-05-01 21:56:00,METAR KHND 012156Z 04007KT 330V090 10SM CLR 27/M05 A2994 RMK AO2 SLP135 T02721050 $
2026-05-01 20:56:00,METAR KHND 012056Z 04011G17KT 10SM CLR 28/M05 A2997 RMK AO2 SLP140 T02831050 58018 $
2026-05-01 19:56:00,METAR KHND 011956Z 02009G15KT 10SM CLR 27/M05 A2999 RMK AO2 SLP146 T02721050 $
2026-05-01 18:56:00,METAR KHND 011856Z 04007KT 010V070 10SM CLR 26/M06 A3001 RMK AO2 SLP155 T02611056 $
2026-05-01 17:56:00,METAR KHND 011756Z 04009KT 10SM CLR 25/M06 A3002 RMK AO2 SLP160 T02501061 10256 20139 50005 $
2026-05-01 16:56:00,METAR KHND 011656Z 05009KT 10SM FEW120 23/M06 A3002 RMK AO2 SLP163 T02331056 $
2026-05-01 15:56:00,METAR KHND 011556Z 00000KT 10SM CLR 22/M03 A3002 RMK AO2 SLP159 T02171028 $
2026-05-01 14:56:00,METAR KHND 011456Z 00000KT 10SM CLR 19/M02 A3000 RMK AO2 SLP156 T01941017 53020 $
2026-05-01 13:56:00,METAR KHND 011356Z 15005KT 10SM CLR 17/M03 A2998 RMK AO2 SLP150 T01671028 $
2026-05-01 12:56:00,METAR KHND 011256Z AUTO 17003KT 10SM CLR 14/M04 A2995 RMK AO2 SLP141 T01441039 $
2026-05-01 11:56:00,METAR KHND 011156Z AUTO VRB05KT 10SM CLR 18/M04 A2994 RMK AO2 SLP134 T01781039 10228 20150 53009 $
2026-05-01 10:56:00,METAR KHND 011056Z AUTO 23003KT 10SM CLR 16/M04 A2992 RMK AO2 SLP130 T01561044 $
2026-05-01 09:56:00,METAR KHND 010956Z AUTO 10003KT 10SM CLR 18/M04 A2991 RMK AO2 SLP125 T01831044 $
2026-05-01 08:56:00,METAR KHND 010856Z AUTO 02003KT 10SM CLR 20/M04 A2991 RMK AO2 SLP123 T02001044 50009 $
2026-05-01 07:56:00,METAR KHND 010756Z AUTO 05005KT 10SM CLR 21/M05 A2991 RMK AO2 SLP123 T02111050 $
2026-05-01 06:56:00,METAR KHND 010656Z AUTO 06006KT 10SM CLR 22/M06 A2990 RMK AO2 SLP118 T02171056 402830122 $
2026-05-01 05:56:00,METAR KHND 010556Z AUTO 01005KT 10SM CLR 23/M05 A2988 RMK AO2 SLP112 T02281050 10278 20200 52016 $
2026-05-01 04:56:00,METAR KHND 010456Z AUTO 00000KT 10SM CLR 22/M02 A2986 RMK AO2 SLP108 T02171022 $
2026-05-01 03:56:00,METAR KHND 010356Z AUTO 06003KT 10SM CLR 24/M05 A2985 RMK AO2 SLP102 T02441050 $
2026-05-01 02:56:00,METAR KHND 010256Z 03005KT 10SM CLR 26/M05 A2983 RMK AO2 SLP096 T02561050 53003 $
2026-05-01 01:56:00,METAR KHND 010156Z 01013KT 10SM CLR 27/M05 A2981 RMK AO2 SLP091 T02721050 $
2026-05-01 00:56:00,METAR KHND 010056Z 04008KT 360V070 10SM CLR 28/M04 A2981 RMK AO2 SLP093 T02781039 $
2026-04-30 23:56:00,METAR KHND 302356Z 06005KT 10SM CLR 27/M03 A2982 RMK AO2 SLP096 T02721033 10283 20250 56023 $
2026-04-30 22:56:00,METAR KHND 302256Z 36011G15KT 10SM CLR 28/M03 A2984 RMK AO2 SLP102 T02781033 $
2026-04-30 21:56:00,METAR KHND 302156Z 35007KT 10SM FEW120 27/M03 A2987 RMK AO2 SLP111 T02721033 $
2026-04-30 20:56:00,METAR KHND 302056Z VRB03KT 10SM CLR 26/M03 A2989 RMK AO2 SLP120 T02611033 56022 $
2026-04-30 19:56:00,METAR KHND 301956Z 05009KT 10SM CLR 26/M03 A2991 RMK AO2 SLP125 T02611033 $
2026-04-30 19:33:00,METAR KHND 301933Z 010/10G16KT 10SM CLR 26/M03 A2992 RMK OZ
2026-04-30 18:56:00,METAR KHND 301856Z 01010G16KT 10SM CLR 26/M03 A2994 RMK AO2 SLP135 T02611033 $
2026-04-30 17:56:00,METAR KHND 301756Z 02012G19KT 10SM CLR 25/M03 A2996 RMK AO2 SLP142 T02501028 10250 20122 58004 $
2026-04-30 16:56:00,METAR KHND 301656Z 02008G14KT 10SM CLR 23/M02 A2997 RMK AO2 SLP146 T02331022 $
2026-04-30 15:56:00,METAR KHND 301556Z 03007KT 10SM CLR 22/M02 A2997 RMK AO2 SLP147 T02171022 $
2026-04-30 14:56:00,METAR KHND 301456Z 00000KT 10SM CLR 19/M02 A2997 RMK AO2 SLP147 T01941017 53012 $
2026-04-30 13:56:00,METAR KHND 301356Z 09003KT 10SM CLR 16/M02 A2996 RMK AO2 SLP144 T01561017 $
2026-04-30 12:56:00,METAR KHND 301256Z 17004KT 10SM CLR 13/M04 A2994 RMK AO2 SLP139 T01281039 $
2026-04-30 11:56:00,METAR KHND 301156Z 16007KT 10SM CLR 13/M03 A2993 RMK AO2 SLP136 T01331033 10189 20133 53001 $
2026-04-30 10:56:00,METAR KHND 301056Z 17006KT 10SM CLR 14/M06 A2993 RMK AO2 SLP135 T01391061 $
2026-04-30 09:56:00,METAR KHND 300956Z 16006KT 10SM CLR 15/M04 A2993 RMK AO2 SLP133 T01501044 $
2026-04-30 08:56:00,METAR KHND 300856Z 16008KT 10SM CLR 16/M04 A2993 RMK AO2 SLP134 T01611044 58005 $
2026-04-30 07:56:00,METAR KHND 300756Z 18006KT 10SM CLR 17/M06 A2994 RMK AO2 SLP139 T01671056 $
2026-04-30 06:56:00,METAR KHND 300656Z 17005KT 10SM CLR 18/M06 A2995 RMK AO2 SLP140 T01781056 402780106 $
2026-04-30 05:56:00,METAR KHND 300556Z 18006KT 10SM CLR 19/M06 A2995 RMK AO2 SLP141 T01891056 10278 20189 50012 $
2026-04-30 04:56:00,METAR KHND 300456Z 20006KT 10SM CLR 21/M06 A2995 RMK AO2 SLP140 T02111061 $
2026-04-30 03:56:00,METAR KHND 300356Z 19004KT 10SM CLR 23/M06 A2994 RMK AO2 SLP135 T02281056 $
2026-04-30 02:56:00,METAR KHND 300256Z 03004KT 10SM CLR 24/M04 A2991 RMK AO2 SLP125 T02441044 55001 $
2026-04-30 01:56:00,METAR KHND 300156Z 02006KT 10SM CLR 26/M06 A2990 RMK AO2 SLP122 T02561061 $
2026-04-30 00:56:00,METAR KHND 300056Z 01005KT 10SM CLR 27/M07 A2990 RMK AO2 SLP126 T02671067 $
2026-04-29 23:56:00,METAR KHND 292356Z VRB03KT 10SM CLR 27/M07 A2992 RMK AO2 SLP130 T02671067 10278 20217 56024 $
2026-04-29 22:56:00,METAR KHND 292256Z VRB05KT 10SM CLR 27/M06 A2993 RMK AO2 SLP133 T02721061 $
2026-04-29 21:56:00,METAR KHND 292156Z 08006KT 10SM CLR 26/M06 A2996 RMK AO2 SLP146 T02611061 $
2026-04-29 20:56:00,METAR KHND 292056Z VRB06KT 10SM CLR 26/M05 A2999 RMK AO2 SLP155 T02561050 58022 $
2026-04-29 19:56:00,METAR KHND 291956Z 24004KT 10SM CLR 24/M05 A3001 RMK AO2 SLP162 T02441050 $
2026-04-29 18:56:00,METAR KHND 291856Z VRB04KT 10SM CLR 23/M02 A3004 RMK AO2 SLP173 T02281022 $
2026-04-29 17:56:00,METAR KHND 291756Z VRB03KT 10SM CLR 22/M01 A3006 RMK AO2 SLP178 T02171006 10222 20106 58005 $
2026-04-29 16:56:00,METAR KHND 291656Z 04006KT 10SM CLR 21/M01 A3007 RMK AO2 SLP181 T02111011 $
2026-04-29 15:56:00,METAR KHND 291556Z 06007KT 10SM CLR 20/M01 A3008 RMK AO2 SLP184 T02001006 $
2026-04-29 14:56:00,METAR KHND 291456Z 04005KT 10SM CLR 18/M01 A3008 RMK AO2 SLP184 T01831006 51014 $
2026-04-29 13:56:00,METAR KHND 291356Z 00000KT 10SM CLR 15/M02 A3007 RMK AO2 SLP183 T01501017 $
2026-04-29 12:56:00,METAR KHND 291256Z AUTO 11003KT 10SM CLR 11/M04 A3004 RMK AO2 SLP179 T01061044 $
