Time_recorded,METAR
2026-05-02 15:30:00,METAR RCKH 021530Z 23005KT 180V270 9999 FEW018 SCT027 BKN042 28/23 Q1011 NOSIG RMK A2987
2026-05-02 15:00:00,METAR RCKH 021500Z 24005KT 220V280 9999 FEW014 SCT040 BKN060 28/23 Q1011 NOSIG RMK A2987
2026-05-02 14:30:00,METAR RCKH 021430Z 25005KT 190V270 9999 FEW014 BKN034 BKN052 28/23 Q1011 NOSIG RMK A2987
2026-05-02 14:00:00,METAR RCKH 021400Z 25006KT 9999 FEW014 BKN030 BKN050 28/23 Q1011 NOSIG RMK A2988
2026-05-02 13:30:00,METAR RCKH 021330Z 24005KT 200V270 9999 FEW014 BKN024 BKN044 28/23 Q1011 NOSIG RMK A2987
2026-05-02 13:00:00,METAR RCKH 021300Z 25004KT 9999 FEW014 BKN025 BKN040 28/23 Q1011 NOSIG RMK A2987
2026-05-02 12:30:00,METAR RCKH 021230Z 25004KT 210V280 9999 FEW014 BKN026 BKN045 27/23 Q1011 NOSIG RMK A2986
2026-05-02 12:00:00,METAR RCKH 021200Z 25004KT 230V290 9999 FEW015 BKN036 27/23 Q1010 NOSIG RMK A2985
2026-05-02 11:30:00,METAR RCKH 021130Z 28004KT 250V310 9999 FEW015 SCT048 27/22 Q1010 NOSIG RMK A2984
2026-05-02 11:00:00,METAR RCKH 021100Z 29005KT 9999 FEW018 SCT045 BKN150 27/22 Q1010 NOSIG RMK A2983
2026-05-02 10:30:00,METAR RCKH 021030Z 27006KT 9999 FEW015 SCT045 BKN075 27/22 Q1010 NOSIG RMK A2983
2026-05-02 10:00:00,METAR RCKH 021000Z 28007KT 260V330 9999 FEW020 SCT050 BKN180 28/22 Q1009 NOSIG RMK A2982
2026-05-02 09:30:00,METAR RCKH 020930Z 26006KT 220V310 9999 FEW020 SCT050 BKN180 29/22 Q1009 NOSIG RMK A2981
2026-05-02 09:23:00,SPECI RCKH 020923Z 25005KT 220V310 9999 FEW025 SCT050 BKN200 29/22 Q1009 NOSIG RMK A2981
2026-05-02 09:00:00,METAR RCKH 020900Z 25008KT 190V300 9999 SCT040 SCT060 BKN200 29/23 Q1009 NOSIG RMK 27006KT/R09 A2980
2026-05-02 08:30:00,METAR RCKH 020830Z 25008KT 220V290 9999 FEW020 SCT060 BKN200 29/22 Q1009 NOSIG RMK 25007KT/R09 A2980
2026-05-02 08:00:00,METAR RCKH 020800Z 25007KT 220V300 9999 FEW025 SCT200 30/22 Q1009 NOSIG RMK 24007KT/R09 A2980
2026-05-02 07:30:00,METAR RCKH 020730Z 26008KT 230V300 9999 FEW030 SCT210 30/22 Q1009 NOSIG RMK 24008KT/R09 A2981
2026-05-02 07:00:00,METAR RCKH 020700Z 25010KT 210V280 9999 FEW030 SCT210 30/22 Q1010 NOSIG RMK 24009KT/R09 A2983
2026-05-02 06:30:00,METAR RCKH 020630Z 25009KT 220V280 9999 FEW020 SCT180 30/22 Q1010 NOSIG RMK 25010KT/R09 A2983
2026-05-02 06:00:00,METAR RCKH 020600Z 26009KT 220V290 9999 FEW020 SCT200 30/22 Q1010 NOSIG RMK 24008KT/R09 A2984
2026-05-02 05:30:00,METAR RCKH 020530Z 25010KT 220V290 9999 FEW020 SCT200 30/21 Q1010 NOSIG RMK 25009KT/R09 A2985
2026-05-02 05:00:00,METAR RCKH 020500Z 25009KT 210V280 9999 FEW020 SCT200 30/21 Q1011 NOSIG RMK 23006KT/R09 A2986
2026-05-02 04:30:00,METAR RCKH 020430Z 25008KT 200V290 9999 FEW025 BKN200 30/21 Q1011 NOSIG RMK 25009KT/R09 A2987
2026-05-02 04:00:00,METAR RCKH 020400Z 24009KT 210V280 9999 FEW025 SCT180 BKN200 30/21 Q1011 NOSIG RMK 24010KT/R09 A2988
2026-05-02 03:30:00,METAR RCKH 020330Z 22008KT 180V280 8000 FEW018 BKN200 30/22 Q1012 NOSIG RMK 23008KT/R09 A2989
