Time_recorded,METAR
2026-05-02 15:30:00,METAR LFPB 021530Z AUTO 22010KT 190V260 CAVOK 25/10 Q1014 NOSIG
2026-05-02 15:00:00,METAR LFPB 021500Z AUTO 18012KT 140V210 CAVOK 26/07 Q1014 TEMPO 20015G25KT
2026-05-02 14:30:00,METAR LFPB 021430Z AUTO 19012KT 160V220 CAVOK 26/08 Q1014 TEMPO 20015G25KT
2026-05-02 14:00:00,METAR LFPB 021400Z AUTO 16012KT 110V200 CAVOK 25/09 Q1015 TEMPO 20015G25KT 3000 SHRA FEW050CB
2026-05-02 13:30:00,METAR LFPB 021330Z AUTO 15011KT 110V180 CAVOK 25/12 Q1015 TEMPO 20015G25KT 3000 SHRA FEW050CB
2026-05-02 13:00:00,METAR LFPB 021300Z AUTO 16009KT 130V190 9999 FEW043 BKN052 BKN064 25/14 Q1015 TEMPO 3000 SHRA FEW050CB
2026-05-02 12:30:00,METAR LFPB 021230Z AUTO 16012KT 9999 SCT044 BKN050 BKN060 25/14 Q1016 TEMPO 3000 SHRA FEW050CB
2026-05-02 12:00:00,METAR LFPB 021200Z AUTO 15009KT 120V190 9999 BKN042 BKN064 24/14 Q1016 TEMPO 3000 SHRA FEW050CB
2026-05-02 11:30:00,METAR LFPB 021130Z AUTO 15010KT 120V190 9999 SCT040 BKN062 24/14 Q1017 TEMPO 4000 -SHRA FEW030TCU
2026-05-02 11:00:00,METAR LFPB 021100Z AUTO 16010KT 130V200 9999 SCT039 SCT047 BKN062 24/14 Q1017 TEMPO 4000 -SHRA FEW030TCU
2026-05-02 10:30:00,METAR LFPB 021030Z AUTO 14008KT 110V190 9999 FEW035 23/13 Q1017 TEMPO 4000 -SHRA FEW030TCU
2026-05-02 10:00:00,METAR LFPB 021000Z AUTO 15005KT 090V200 CAVOK 22/15 Q1018 TEMPO 3000 SHRA FEW025CB
2026-05-02 09:30:00,METAR LFPB 020930Z AUTO 14006KT 070V190 CAVOK 22/14 Q1018 TEMPO 3000 SHRA FEW025CB
2026-05-02 09:00:00,METAR LFPB 020900Z AUTO 16005KT 110V210 CAVOK 21/14 Q1018 TEMPO 3000 SHRA FEW025CB
2026-05-02 08:30:00,METAR LFPB 020830Z AUTO 13003KT 090V180 CAVOK 20/14 Q1019 TEMPO 3000 SHRA FEW025CB
2026-05-02 08:00:00,METAR LFPB 020800Z AUTO VRB02KT CAVOK 18/15 Q1019 TEMPO 3000 SHRA FEW025CB
2026-05-02 07:30:00,METAR LFPB 020730Z AUTO VRB02KT CAVOK 17/15 Q1019 TEMPO 3000 SHRA FEW025CB
2026-05-02 07:00:00,METAR LFPB 020700Z AUTO 13003KT 090V160 9000 NSC 17/15 Q1019 TEMPO 3000 SHRA FEW025CB
2026-05-02 06:30:00,METAR LFPB 020630Z AUTO VRB02KT 8000 FEW004 SCT120 16/15 Q1019 TEMPO 3000 SHRA FEW025CB
2026-05-02 06:00:00,METAR LFPB 020600Z AUTO 07002KT 6000 NSC 15/15 Q1019 TEMPO 1200 BR BKN003
2026-05-02 05:30:00,METAR LFPB 020530Z AUTO 06002KT 5000 BR NSC 14/14 Q1019
2026-05-02 05:00:00,METAR LFPB 020500Z AUTO VRB03KT 3500 BR NSC 14/13 Q1019
2026-05-02 04:30:00,METAR LFPB 020430Z AUTO 36002KT 5000 1600 BR NSC 13/13 Q1019
2026-05-02 04:00:00,METAR LFPB 020400Z AUTO 00000KT 4500 1200 R27/P2000 R09/1200U R07/1500U BR FEW003 BKN130 14/13 Q1019
2026-05-02 03:30:00,METAR LFPB 020330Z AUTO 11003KT 6000 NSC 14/13 Q1019
2026-05-02 03:00:00,METAR LFPB 020300Z AUTO 11002KT CAVOK 15/14 Q1019
2026-05-02 02:30:00,METAR LFPB 020230Z AUTO VRB02KT CAVOK 15/14 Q1019
2026-05-02 02:00:00,METAR LFPB 020200Z AUTO 14002KT CAVOK 15/14 Q1020
2026-05-02 01:30:00,METAR LFPB 020130Z AUTO 17004KT CAVOK 15/14 Q1020
2026-05-02 01:00:00,METAR LFPB 020100Z AUTO 17001KT CAVOK 16/14 Q1020
2026-05-02 00:30:00,METAR LFPB 020030Z AUTO 15004KT CAVOK 16/14 Q1020
2026-05-02 00:00:00,METAR LFPB 020000Z AUTO 13006KT CAVOK 16/15 Q1020
2026-05-01 23:30:00,METAR LFPB 012330Z AUTO VRB03KT 9999 FEW048 BKN140 16/15 Q1020
