Time_recorded,METAR
2026-04-30 14:50:00,METAR LIML 301450Z VRB03KT CAVOK 20/03 Q1023 NOSIG
2026-04-30 14:20:00,METAR LIML 301420Z 03005KT 350V090 CAVOK 19/03 Q1023 NOSIG
2026-04-30 13:50:00,METAR LIML 301350Z 07006KT 330V100 CAVOK 19/04 Q1023 NOSIG
2026-04-30 13:20:00,METAR LIML 301320Z 10009KT 060V140 CAVOK 19/04 Q1023 NOSIG
2026-04-30 12:50:00,METAR LIML 301250Z 07010KT 040V110 9999 FEW070 19/04 Q1024 NOSIG
2026-04-30 12:20:00,METAR LIML 301220Z 08009KT 040V130 9999 FEW070 19/03 Q1024 NOSIG
2026-04-30 11:50:00,METAR LIML 301150Z 10009KT 060V140 9999 SCT070 18/03 Q1024 NOSIG
2026-04-30 11:20:00,METAR LIML 301120Z 10010KT 040V150 9999 SCT070 19/02 Q1024 NOSIG
2026-04-30 10:50:00,METAR LIML 301050Z 08012KT 9999 SCT070 18/02 Q1024 NOSIG
2026-04-30 10:20:00,METAR LIML 301020Z 12012KT 070V150 9999 FEW030 SCT070 18/02 Q1024 NOSIG
2026-04-30 09:50:00,METAR LIML 300950Z 09012KT 070V130 9999 SCT030 SCT070 17/02 Q1024 NOSIG
2026-04-30 09:20:00,METAR LIML 300920Z 08012KT 9999 SCT030 SCT070 16/02 Q1024 NOSIG
2026-04-30 08:50:00,METAR LIML 300850Z 10012KT 070V130 9999 SCT030 SCT070 17/04 Q1024 NOSIG
2026-04-30 08:20:00,METAR LIML 300820Z 11009KT 070V140 9999 SCT030 SCT070 15/03 Q1024 NOSIG
2026-04-30 07:50:00,METAR LIML 300750Z 10013KT 9999 SCT030 SCT070 15/03 Q1024 NOSIG
2026-04-30 07:20:00,METAR LIML 300720Z 11012KT 080V140 9999 SCT030 BKN080 14/04 Q1023 NOSIG
2026-04-30 06:50:00,METAR LIML 300650Z 11013KT 080V140 9999 SCT030 BKN080 14/05 Q1023 NOSIG
2026-04-30 06:20:00,METAR LIML 300620Z 10007KT 050V140 9999 SCT020 BKN080 13/06 Q1023 NOSIG
2026-04-30 05:50:00,METAR LIML 300550Z 11008KT 080V160 9999 SCT020 BKN080 13/07 Q1023 NOSIG
2026-04-30 05:20:00,METAR LIML 300520Z 11009KT 070V140 9999 FEW020 BKN080 13/08 Q1022 NOSIG
2026-04-30 04:50:00,METAR LIML 300450Z 10007KT 070V130 9999 BKN080 13/09 Q1022 NOSIG
2026-04-30 04:20:00,METAR LIML 300420Z 09008KT 9999 BKN080 12/09 Q1022 NOSIG
2026-04-30 03:50:00,METAR LIML 300350Z 06006KT 9999 BKN080 12/10 Q1022 NOSIG
2026-04-30 03:20:00,METAR LIML 300320Z 09006KT 050V110 9999 SCT090 13/10 Q1021 NOSIG
2026-04-30 02:50:00,METAR LIML 300250Z 10007KT 9999 SCT010 BKN090 13/11 Q1021 NOSIG
2026-04-30 02:20:00,METAR LIML 300220Z 08007KT 9999 SCT010 BKN080 13/11 Q1021 NOSIG
2026-04-30 01:50:00,METAR LIML 300150Z 10009KT 9999 FEW010 BKN080 13/11 Q1021 NOSIG
2026-04-30 01:20:00,METAR LIML 300120Z 10010KT 9999 FEW050 BKN080 13/11 Q1021 NOSIG
2026-04-30 00:50:00,METAR LIML 300050Z 10012KT 9999 FEW060 BKN085 14/10 Q1021 NOSIG
2026-04-30 00:20:00,METAR LIML 300020Z 09012KT 9999 SCT060 BKN090 14/11 Q1020 NOSIG
2026-04-29 23:50:00,METAR LIML 292350Z 13012KT 9999 BKN060 16/10 Q1020 NOSIG
2026-04-29 23:20:00,METAR LIML 292320Z 11010KT 070V130 9999 -RA BKN060 16/10 Q1020 NOSIG
2026-04-29 22:50:00,METAR LIML 292250Z 10010KT 9999 BKN060 17/09 Q1020 NOSIG
2026-04-29 22:20:00,METAR LIML 292220Z 12010KT 9999 SCT030 BKN100 17/09 Q1019 NOSIG
2026-04-29 21:50:00,METAR LIML 292150Z 12011KT 9999 FEW030 BKN100 17/09 Q1018 NOSIG
2026-04-29 21:20:00,METAR LIML 292120Z 13012KT 100V160 9999 SCT030 BKN070 18/09 Q1018 NOSIG
2026-04-29 20:50:00,METAR LIML 292050Z 12010KT 090V150 9999 SCT030 BKN070 18/09 Q1018 NOSIG
