Time_recorded,METAR
2026-05-02 12:00:00,METAR VLLB 021200Z 18002KT 9999 SCT020 BKN060 32/23 Q1005 NOSIG
2026-05-02 11:00:00,METAR VLLB 021100Z 27004KT 9999 SCT020 BKN060 35/23 Q1004 NOSIG
2026-05-02 10:00:00,METAR VLLB 021000Z 24008KT 9999 SCT020 SCT060 36/23 Q1004 NOSIG
2026-05-02 08:00:00,METAR VLLB 020800Z 27010KT 9999 SCT020 FEW060 37/22 Q1005 NOSIG
2026-05-02 07:00:00,METAR VLLB 020700Z 27008KT 9999 SCT020 BKN060 37/23 Q1006 NOSIG
2026-05-02 06:00:00,METAR VLLB 020600Z 27008KT 9999 SCT020 SCT060 36/23 Q1008 NOSIG
2026-05-02 05:00:00,METAR VLLB 020500Z 27006KT 9999 SCT020 FEW060 33/23 Q1009 NOSIG
2026-05-02 04:00:00,METAR VLLB 020400Z 24004KT 9999 SCT020 BKN060 31/23 Q1009 NOSIG
2026-05-02 03:00:00,METAR VLLB 020300Z 27004KT 9999 SCT020 BKN060 29/23 Q1010 NOSIG
2026-05-02 02:00:00,METAR VLLB 020200Z 27002KT 9999 SCT020 BKN080 26/23 Q1010 NOSIG
2026-05-02 01:00:00,METAR VLLB 020100Z 04002KT 9999 SCT010 BKN060 25/21 Q1010 NOSIG
2026-05-02 00:00:00,METAR VLLB 020000Z 27002KT 9999 SCT010 BKN060 24/22 Q1010 NOSIG
2026-05-01 12:00:00,METAR VLLB 011200Z 27004KT 9999 SCT010 BKN060 29/23 Q1006 NOSIG
2026-05-01 11:00:00,METAR VLLB 011100Z 27004KT 9999 SCT020 BKN060 31/22 Q1005 NOSIG
2026-05-01 10:00:00,METAR VLLB 011000Z 27004KT 9999 SCT020 BKN060 32/23 Q1005 NOSIG
2026-05-01 09:00:00,METAR VLLB 010900Z 27006KT 9999 SCT020 BKN060 34/21 Q1005 NOSIG
2026-05-01 08:00:00,METAR VLLB 010800Z 18004KT 9999 SCT020 BKN060 34/23 Q1006 NOSIG
2026-05-01 06:00:00,METAR VLLB 010600Z 27006KT 9999 SCT020 SCT060 32/20 Q1009 NOSIG
2026-05-01 05:00:00,METAR VLLB 010500Z 18002KT 9999 SCT020 BKN060 30/23 Q1010 NOSIG
2026-05-01 04:00:00,METAR VLLB 010400Z 27004KT 9999 SCT020 BKN060 29/22 Q1012 NOSIG
2026-05-01 03:00:00,METAR VLLB 010300Z 09004KT 9999 SCT010 BKN060 28/22 Q1013 NOSIG
2026-05-01 02:00:00,METAR VLLB 010200Z 36002KT 9999 SCT010 BKN060 25/21 Q1012 NOSIG
2026-05-01 01:00:00,METAR VLLB 010100Z 27002KT 9999 SCT010 FEW060 24/22 Q1012 NOSIG
2026-05-01 00:00:00,METAR VLLB 010000Z 36002KT 9999 SCT010 BKN080 23/22 Q1012 NOSIG
2026-04-30 12:00:00,METAR VLLB 301200Z 04006KT 9999 SCT020 SCT060 28/22 Q1009 NOSIG
2026-04-30 08:00:00,METAR VLLB 300800Z 22004KT 9999 SCT020 FEW060 33/24 Q1009 NOSIG
2026-04-30 07:00:00,METAR VLLB 300700Z 09008KT 9999 TS SCT010 FEW030CB BKN080 31/24 Q1011 CB E NOSIG
2026-04-30 06:00:00,METAR VLLB 300600Z 24006KT 9999 SCT020 SCT060 33/23 Q1012 NOSIG
2026-04-30 04:00:00,METAR VLLB 300400Z 27006KT 9999 SCT020 BKN080 29/22 Q1013 NOSIG
2026-04-30 03:00:00,METAR VLLB 300300Z 36004KT 9999 SCT010 BKN080 27/22 Q1014 NOSIG
2026-04-30 02:00:00,METAR VLLB 300200Z 36004KT 9999 SCT010 BKN080 25/22 Q1013 NOSIG
2026-04-30 01:00:00,METAR VLLB 300100Z 04004KT 9999 TS FEW020CB SCT060 OVC080 24/22 Q1013 CB S NOSIG
2026-04-30 00:00:00,METAR VLLB 300000Z 00000KT 9999 SCT020 SCT060 OVC080 23/22 Q1013 NOSIG
2026-04-29 12:00:00,METAR VLLB 291200Z 09002KT 9999 SCT020 SCT060 29/23 Q1005 NOSIG
2026-04-29 11:00:00,METAR VLLB 291100Z 04004KT 9999 SCT020 SCT060 30/22 Q1004 NOSIG
2026-04-29 10:00:00,METAR VLLB 291000Z 36002KT 9999 SCT020 BKN080 32/23 Q1005 NOSIG
2026-04-29 09:00:00,METAR VLLB 290900Z 04004KT 9999 SCT020 BKN080 34/21 Q1006 NOSIG
2026-04-29 08:00:00,METAR VLLB 290800Z 32004KT 9999 SCT020 BKN080 33/23 Q1007 NOSIG
2026-04-29 07:00:00,METAR VLLB 290700Z 27004KT 9999 SCT020 BKN080 33/21 Q1008 NOSIG
2026-04-29 06:00:00,METAR VLLB 290600Z 27004KT 9999 SCT020 BKN080 32/21 Q1009 NOSIG
2026-04-29 05:00:00,METAR VLLB 290500Z 27004KT 9999 SCT020 29/22 Q1010 NOSIG
2026-04-29 04:00:00,METAR VLLB 290400Z 04004KT 9999 SCT020 27/21 Q1012 NOSIG
2026-04-29 03:00:00,METAR VLLB 290300Z 04004KT 9999 SCT020 27/21 Q1012 NOSIG
2026-04-29 02:00:00,METAR VLLB 290200Z 36004KT 9999 SCT020 BKN080 24/21 Q1012 NOSIG
2026-04-29 01:00:00,METAR VLLB 290100Z 04002KT 9999 SCT020 BKN080 22/21 Q1012 NOSIG
2026-04-29 00:00:00,METAR VLLB 290000Z 18002KT 9999 SCT020 BKN080 22/21 Q1011 NOSIG
2026-04-28 12:00:00,METAR VLLB 281200Z 18002KT 9999 FEW020 SCT060 32/23 Q1004 NOSIG
2026-04-28 11:00:00,METAR VLLB 281100Z 27006KT 9999 FEW020 FEW060 33/24 Q1004 NOSIG
2026-04-28 10:00:00,METAR VLLB 281000Z 27006KT 9999 SCT020 FEW060 35/24 Q1004 NOSIG
2026-04-28 09:00:00,METAR VLLB 280900Z 27004KT 9999 FEW020 FEW060 35/24 Q1004 NOSIG
2026-04-28 08:00:00,METAR VLLB 280800Z 27004KT 9999 SCT020 FEW060 34/22 Q1005 NOSIG
2026-04-28 07:00:00,METAR VLLB 280700Z 27004KT 9999 FEW020 33/22 Q1006 NOSIG
2026-04-28 06:00:00,METAR VLLB 280600Z 27004KT 9999 FEW020 31/22 Q1008 NOSIG
2026-04-28 05:00:00,METAR VLLB 280500Z 24004KT 9999 FEW020 FEW060 30/21 Q1010 NOSIG
2026-04-28 04:00:00,METAR VLLB 280400Z 27004KT 9999 FEW020 FEW060 28/21 Q1010 NOSIG
2026-04-28 03:00:00,METAR VLLB 280300Z 27002KT 9999 SCT020 BKN060 25/20 Q1011 NOSIG
2026-04-28 02:00:00,METAR VLLB 280200Z 27004KT 9999 SCT010 BKN060 24/22 Q1010 NOSIG
2026-04-28 01:00:00,METAR VLLB 280100Z 22002KT 9999 SCT020 BKN060 23/21 Q1009 NOSIG
2026-04-28 00:00:00,METAR VLLB 280000Z 18002KT 9999 SCT020 21/20 Q1009 NOSIG
2026-04-27 12:00:00,METAR VLLB 271200Z 22004KT 9999 SCT020 SCT060 26/22 Q1005 NOSIG
2026-04-27 11:00:00,METAR VLLB 271100Z 36004KT 9999 SCT020 29/21 Q1004 NOSIG
2026-04-27 10:00:00,METAR VLLB 271000Z 09004KT 9999 SCT020 BKN080 29/23 Q1004 NOSIG
2026-04-27 09:00:00,METAR VLLB 270900Z 27004KT 9999 TS FEW020CB SCT060 BKN080 32/21 Q10054 CB W NOSIG
2026-04-27 08:00:00,METAR VLLB 270800Z 27006KT 9999 SCT020 BKN080 34/22 Q1005 NOSIG
2026-04-27 07:00:00,METAR VLLB 270700Z 27006KT 9999 SCT020 BKN060 33/21 Q1006 NOSIG
2026-04-27 06:00:00,METAR VLLB 270600Z 27006KT 9999 SCT020 BKN060 34/21 Q1007 NOSIG
2026-04-27 05:00:00,METAR VLLB 270500Z 27004KT 9999 SCT020 BKN080 30/22 Q1008 NOSIG
2026-04-27 03:00:00,METAR VLLB 270300Z 27004KT 9999 SCT020 BKN080 28/22 Q1011 NOSIG
2026-04-27 02:00:00,METAR VLLB 270200Z 14002KT 9999 SCT020 BKN080 27/23 Q1010 NOSIG
2026-04-27 01:00:00,METAR VLLB 270100Z 27002KT 9999 FEW020 SCT060 26/21 Q1010 NOSIG
2026-04-27 00:00:00,METAR VLLB 270000Z 36002KT 9999 FEW020 SCT060 22/21 Q1010 NOSIG
