Time_recorded,METAR
2026-05-02 15:20:00,METAR EDDM 021520Z AUTO 09004KT 050V150 CAVOK 24/03 Q1019 NOSIG
2026-05-02 14:50:00,METAR EDDM 021450Z AUTO VRB04KT CAVOK 25/00 Q1019 NOSIG
2026-05-02 14:20:00,METAR EDDM 021420Z AUTO 13004KT 060V200 CAVOK 25/02 Q1019 NOSIG
2026-05-02 13:50:00,METAR EDDM 021350Z AUTO VRB04KT CAVOK 25/02 Q1020 NOSIG
2026-05-02 13:20:00,METAR EDDM 021320Z AUTO 17003KT CAVOK 25/05 Q1020 NOSIG
2026-05-02 12:50:00,METAR EDDM 021250Z AUTO VRB03KT CAVOK 24/04 Q1021 NOSIG
2026-05-02 12:20:00,METAR EDDM 021220Z AUTO VRB04KT CAVOK 23/03 Q1021 NOSIG
2026-05-02 11:50:00,METAR EDDM 021150Z AUTO 18004KT 110V250 CAVOK 23/05 Q1021 NOSIG
2026-05-02 11:20:00,METAR EDDM 021120Z AUTO 10005KT 350V160 CAVOK 23/06 Q1022 NOSIG
2026-05-02 10:50:00,METAR EDDM 021050Z AUTO VRB04KT CAVOK 22/05 Q1022 NOSIG
2026-05-02 10:20:00,METAR EDDM 021020Z AUTO VRB04KT CAVOK 21/04 Q1023 NOSIG
2026-05-02 09:50:00,METAR EDDM 020950Z AUTO VRB04KT CAVOK 20/04 Q1023 NOSIG
2026-05-02 09:20:00,METAR EDDM 020920Z AUTO 09005KT 050V160 CAVOK 20/05 Q1023 NOSIG
2026-05-02 08:50:00,METAR EDDM 020850Z AUTO 11003KT CAVOK 18/05 Q1023 NOSIG
2026-05-02 08:20:00,METAR EDDM 020820Z AUTO 08004KT 030V140 CAVOK 17/05 Q1023 NOSIG
2026-05-02 07:50:00,METAR EDDM 020750Z AUTO VRB03KT CAVOK 16/04 Q1023 NOSIG
2026-05-02 07:20:00,METAR EDDM 020720Z AUTO 12004KT 070V160 CAVOK 15/05 Q1024 NOSIG
2026-05-02 06:50:00,METAR EDDM 020650Z AUTO 10003KT 040V140 CAVOK 13/05 Q1024 NOSIG
2026-05-02 06:20:00,METAR EDDM 020620Z AUTO VRB02KT CAVOK 12/04 Q1024 NOSIG
2026-05-02 05:50:00,METAR EDDM 020550Z AUTO VRB02KT CAVOK 10/04 Q1024 NOSIG
2026-05-02 05:20:00,METAR EDDM 020520Z AUTO 06002KT CAVOK 06/03 Q1024 NOSIG
2026-05-02 04:50:00,METAR EDDM 020450Z AUTO VRB02KT CAVOK 03/01 Q1024 NOSIG
2026-05-02 04:20:00,METAR EDDM 020420Z AUTO VRB02KT CAVOK 01/00 Q1023 NOSIG
2026-05-02 03:50:00,METAR EDDM 020350Z AUTO 04001KT CAVOK 01/00 Q1024 NOSIG
2026-05-02 03:20:00,METAR EDDM 020320Z AUTO 04004KT CAVOK 01/M00 Q1024 NOSIG
2026-05-02 02:50:00,METAR EDDM 020250Z AUTO VRB01KT CAVOK 02/01 Q1024 NOSIG
2026-05-02 02:20:00,METAR EDDM 020220Z AUTO VRB01KT CAVOK 02/01 Q1024 NOSIG
2026-05-02 01:50:00,METAR EDDM 020150Z AUTO VRB01KT CAVOK 05/02 Q1024 NOSIG
2026-05-02 01:20:00,METAR EDDM 020120Z AUTO 04005KT CAVOK 05/02 Q1024 NOSIG
2026-05-02 00:50:00,METAR EDDM 020050Z AUTO 05004KT CAVOK 04/02 Q1024 NOSIG
