Time_recorded,METAR
2026-05-02 15:20:00,METAR LIMC 021520Z 24006KT 200V280 CAVOK 23/04 Q1021 NOSIG
2026-05-02 14:50:00,METAR LIMC 021450Z VRB03KT CAVOK 24/04 Q1021 NOSIG
2026-05-02 14:20:00,METAR LIMC 021420Z VRB04KT CAVOK 23/04 Q1022 NOSIG
2026-05-02 13:50:00,METAR LIMC 021350Z VRB04KT CAVOK 23/03 Q1022 NOSIG
2026-05-02 13:20:00,METAR LIMC 021320Z 24004KT 170V330 CAVOK 23/04 Q1023 NOSIG
2026-05-02 12:50:00,METAR LIMC 021250Z VRB04KT CAVOK 22/03 Q1023 NOSIG
2026-05-02 12:20:00,METAR LIMC 021220Z 25008KT 220V280 CAVOK 22/04 Q1024 NOSIG
2026-05-02 11:50:00,METAR LIMC 021150Z VRB04KT CAVOK 21/04 Q1024 NOSIG
2026-05-02 11:20:00,METAR LIMC 021120Z 21006KT 130V300 CAVOK 21/04 Q1025 NOSIG
2026-05-02 10:50:00,METAR LIMC 021050Z VRB03KT CAVOK 21/04 Q1025 NOSIG
2026-05-02 10:20:00,METAR LIMC 021020Z VRB05KT CAVOK 21/05 Q1025 NOSIG
2026-05-02 09:50:00,METAR LIMC 020950Z 17003KT 080V220 CAVOK 20/05 Q1026 NOSIG
2026-05-02 09:20:00,METAR LIMC 020920Z 17004KT 130V240 CAVOK 19/06 Q1026 NOSIG
2026-05-02 08:50:00,METAR LIMC 020850Z VRB03KT CAVOK 19/06 Q1026 NOSIG
2026-05-02 08:20:00,METAR LIMC 020820Z VRB02KT CAVOK 18/05 Q1026 NOSIG
2026-05-02 07:50:00,METAR LIMC 020750Z VRB02KT CAVOK 17/06 Q1027 NOSIG
2026-05-02 07:20:00,METAR LIMC 020720Z VRB01KT CAVOK 17/08 Q1027 NOSIG
2026-05-02 06:50:00,METAR LIMC 020650Z 33003KT CAVOK 15/08 Q1027 NOSIG
2026-05-02 06:20:00,METAR LIMC 020620Z 35003KT 310V050 CAVOK 14/09 Q1027 NOSIG
2026-05-02 05:50:00,METAR LIMC 020550Z VRB01KT CAVOK 12/09 Q1027 NOSIG
2026-05-02 04:50:00,METAR LIMC 020450Z VRB01KT CAVOK 06/05 Q1026 NOSIG
2026-05-02 04:20:00,METAR LIMC 020420Z VRB02KT CAVOK 05/05 Q1026 NOSIG
2026-05-02 03:50:00,METAR LIMC 020350Z VRB02KT CAVOK 06/05 Q1026 NOSIG
2026-05-02 03:20:00,METAR LIMC 020320Z VRB01KT CAVOK 07/05 Q1026 NOSIG
2026-05-02 02:50:00,METAR LIMC 020250Z VRB02KT CAVOK 06/05 Q1026 NOSIG
2026-05-02 02:20:00,METAR LIMC 020220Z VRB01KT CAVOK 06/05 Q1026 NOSIG
2026-05-02 01:50:00,METAR LIMC 020150Z 34002KT CAVOK 07/06 Q1026 NOSIG
2026-05-02 01:20:00,METAR LIMC 020120Z VRB01KT CAVOK 07/06 Q1026 NOSIG
2026-05-02 00:50:00,METAR LIMC 020050Z VRB01KT CAVOK 07/06 Q1026 NOSIG
2026-05-02 00:20:00,METAR LIMC 020020Z VRB02KT CAVOK 08/06 Q1026 NOSIG
2026-05-01 23:50:00,METAR LIMC 012350Z VRB02KT CAVOK 07/06 Q1026 NOSIG
2026-05-01 23:20:00,METAR LIMC 012320Z VRB01KT CAVOK 08/06 Q1026 NOSIG
2026-05-01 22:50:00,METAR LIMC 012250Z VRB01KT CAVOK 08/05 Q1026 NOSIG
2026-05-01 22:20:00,METAR LIMC 012220Z VRB02KT CAVOK 09/05 Q1026 NOSIG
2026-05-01 21:50:00,METAR LIMC 012150Z 09002KT CAVOK 08/05 Q1026 NOSIG
2026-05-01 21:20:00,METAR LIMC 012120Z VRB01KT CAVOK 09/05 Q1026 NOSIG
2026-05-01 20:50:00,METAR LIMC 012050Z 05002KT CAVOK 11/06 Q1026 NOSIG
2026-05-01 20:20:00,METAR LIMC 012020Z VRB01KT CAVOK 10/05 Q1026 NOSIG
2026-05-01 19:50:00,METAR LIMC 011950Z VRB01KT CAVOK 12/06 Q1025 NOSIG
2026-05-01 19:20:00,METAR LIMC 011920Z VRB02KT CAVOK 14/06 Q1025 NOSIG
2026-05-01 18:50:00,METAR LIMC 011850Z VRB02KT CAVOK 15/06 Q1025 NOSIG
2026-05-01 18:20:00,METAR LIMC 011820Z 15003KT CAVOK 16/05 Q1025 NOSIG
2026-05-01 17:50:00,METAR LIMC 011750Z 19003KT CAVOK 19/03 Q1024 NOSIG
2026-05-01 17:20:00,METAR LIMC 011720Z 15003KT 130V190 CAVOK 20/03 Q1024 NOSIG
2026-05-01 16:50:00,METAR LIMC 011650Z 15004KT CAVOK 20/04 Q1025 NOSIG
2026-05-01 16:20:00,METAR LIMC 011620Z 20003KT 130V260 CAVOK 21/02 Q1025 NOSIG
2026-05-01 15:50:00,METAR LIMC 011550Z 20004KT 150V260 CAVOK 20/04 Q1025 NOSIG
