Time_recorded,METAR
2026-05-02 15:20:00,METAR EGWU 021520Z 12004KT CAVOK 22/09 Q1012 TEMPO 7000 SHRA RMK BLU
2026-05-02 14:50:00,METAR EGWU 021450Z 21003KT 9999 FEW011 BKN250 22/09 Q1013 NOSIG RMK BLU BLU
2026-05-02 14:20:00,METAR EGWU 021420Z 20004KT CAVOK 23/08 Q1013 NOSIG RMK BLU BLU
2026-05-02 13:50:00,METAR EGWU 021350Z 19007KT CAVOK 22/08 Q1014 NOSIG RMK BLU BLU
2026-05-02 13:20:00,METAR EGWU 021320Z 17005KT CAVOK 23/08 Q1014 NOSIG RMK BLU BLU
2026-05-02 12:50:00,METAR EGWU 021250Z 15004KT CAVOK 22/08 Q1015 NOSIG RMK BLU BLU
2026-05-02 12:20:00,METAR EGWU 021220Z 17004KT CAVOK 21/08 Q1015 NOSIG RMK BLU
2026-05-02 11:50:00,METAR EGWU 021150Z 22003KT 9999 FEW040 20/08 Q1016 NOSIG RMK BLU BLU
2026-05-02 11:20:00,METAR EGWU 021120Z 14003KT 9999 FEW030 19/08 Q1016 NOSIG RMK BLU BLU
2026-05-02 10:50:00,METAR EGWU 021050Z 16005KT 9999 FEW030 19/09 Q1017 NOSIG RMK BLU BLU
2026-05-02 10:20:00,METAR EGWU 021020Z 17005KT 9999 FEW029 18/09 Q1017 NOSIG RMK BLU BLU
2026-05-02 09:50:00,METAR EGWU 020950Z 19004KT CAVOK 17/09 Q1017 NOSIG RMK BLU BLU
2026-05-02 09:20:00,METAR EGWU 020920Z AUTO 17004KT 9999 NCD 16/10 Q1017
2026-05-02 08:50:00,METAR EGWU 020850Z 21002KT 9999 FEW010 SCT120 14/09 Q1018 NOSIG RMK BLU BLU
2026-05-02 08:20:00,METAR EGWU 020820Z 21002KT 9999 FEW008 SCT120 13/10 Q1018 NOSIG RMK BLU BLU
2026-05-02 07:50:00,METAR EGWU 020750Z 24003KT 8000 BR BKN006 11/09 Q1018 TEMPO 9999 NSW
2026-05-02 07:20:00,METAR EGWU 020720Z 26003KT 7000 BR OVC006 11/09 Q1018 TEMPO 9999 NSW RMK YLO1 TEMPO BLU
2026-05-02 06:50:00,METAR EGWU 020650Z 26004KT 5000 BR OVC004 10/09 Q1018 TEMPO 9999 NSW
2026-05-02 06:20:00,METAR EGWU 020620Z AUTO 24005KT 3900 BR OVC001/// 09/09 Q1018
2026-05-02 05:50:00,METAR EGWU 020550Z AUTO 25005KT 4500 BR OVC003/// 10/09 Q1018
2026-05-02 05:20:00,METAR EGWU 020520Z AUTO 25002KT 4400 // SCT002/// 09/09 Q1018
