Time_recorded,METAR
2026-05-02 14:52:00,METAR KPWK 021452Z 34005KT 10SM CLR 09/M04 A3013 RMK AO2 SLP207 T00891039 50002 $
2026-05-02 13:52:00,METAR KPWK 021352Z 34007KT 10SM FEW100 08/M02 A3013 RMK AO2 SLP208 T00781022 $
2026-05-02 12:52:00,METAR KPWK 021252Z 00000KT 10SM FEW120 04/M01 A3014 RMK AO2 SLP209 T00441006 $
2026-05-02 11:52:00,METAR KPWK 021152Z 00000KT 10SM CLR 01/M01 A3012 RMK AO2 SLP207 I6000 T00111011 10011 21011 53004 $
2026-05-02 10:52:00,METAR KPWK 021052Z 00000KT 10SM CLR M01/M01 A3011 RMK AO2 SLP203 I1000 T10061011 $
2026-05-02 09:52:00,METAR KPWK 020952Z 00000KT 10SM CLR M01/M01 A3011 RMK AO2 SLP203 T10061011 $
2026-05-02 08:52:00,METAR KPWK 020852Z 00000KT 10SM CLR M01/M02 A3011 RMK AO2 SLP202 T10061017 55005 $
2026-05-02 07:52:00,METAR KPWK 020752Z 00000KT 10SM FEW070 FEW085 SCT110 00/M01 A3011 RMK AO2 SLP200 T00001011 $
2026-05-02 06:52:00,METAR KPWK 020652Z 00000KT 10SM FEW075 01/M01 A3012 RMK AO2 SLP204 T00061011 $
2026-05-02 05:52:00,METAR KPWK 020552Z 00000KT 10SM CLR 01/M01 A3013 RMK AO2 SLP207 I6001 T00111006 10050 20006 400940006 51005 $
2026-05-02 04:52:00,METAR KPWK 020452Z 00000KT 10SM CLR 01/M03 A3012 RMK AO2 SLP206 I1001 T00111028 $
2026-05-02 03:52:00,METAR KPWK 020352Z 00000KT 10SM FEW070 SCT090 BKN110 02/M02 A3012 RMK AO2 SLP203 T00221022 $
2026-05-02 02:52:00,METAR KPWK 020252Z 00000KT 10SM FEW070 FEW095 03/M02 A3011 RMK AO2 SLP201 T00331022 53008 $
2026-05-02 01:52:00,METAR KPWK 020152Z 06003KT 10SM FEW043 SCT065 BKN090 04/M04 A3010 RMK AO2 SLP197 T00441039
2026-05-02 00:52:00,METAR KPWK 020052Z 07003KT 10SM BKN065 05/M04 A3009 RMK AO2 SLP194 T00501039
2026-05-01 23:52:00,METAR KPWK 012352Z 03007KT 10SM SCT042 OVC065 04/M01 A3009 RMK AO2 SLP193 T00441011 10067 20044 53006
2026-05-01 22:52:00,METAR KPWK 012252Z 07008KT 10SM FEW043 BKN080 OVC095 06/M02 A3008 RMK AO2 SLP189 T00561022
2026-05-01 21:52:00,METAR KPWK 012152Z 08006KT 10SM OVC070 06/M01 A3007 RMK AO2 SLP188 T00611006
2026-05-01 20:52:00,METAR KPWK 012052Z 08008KT 10SM FEW027 BKN075 OVC090 07/00 A3007 RMK AO2 SLP186 T00670000 51007
2026-05-01 19:52:00,METAR KPWK 011952Z 07009KT 10SM OVC065 06/01 A3007 RMK AO2 SLP187 T00610011
2026-05-01 18:52:00,METAR KPWK 011852Z 07009KT 10SM OVC065 06/01 A3006 RMK AO2 SLP183 T00610006
2026-05-01 17:52:00,METAR KPWK 011752Z 08007KT 10SM OVC055 07/01 A3005 RMK AO2 SLP179 T00670006 10094 20039 53006
2026-05-01 16:52:00,METAR KPWK 011652Z 09009KT 10SM FEW029 OVC060 07/02 A3004 RMK AO2 SLP174 T00720022
2026-05-01 15:52:00,METAR KPWK 011552Z 35008G20KT 10SM BKN049 09/M02 A3003 RMK AO2 SLP172 T00891022
2026-05-01 14:52:00,METAR KPWK 011452Z 34008KT 10SM FEW029 BKN043 BKN050 08/01 A3003 RMK AO2 SLP172 T00780006 51007
2026-05-01 14:37:00,SPECI KPWK 011437Z 34009G15KT 300V360 10SM SCT027 BKN045 BKN065 08/03 A3003 RMK AO2 T00830028
2026-05-01 13:52:00,METAR KPWK 011352Z VRB03KT 10SM SCT085 SCT110 07/03 A3002 RMK AO2 SLP170 T00670028
2026-05-01 13:40:00,SPECI KPWK 011340Z 27003KT 10SM FEW012 BKN085 BKN110 06/02 A3002 RMK AO2 T00610022
2026-05-01 12:52:00,METAR KPWK 011252Z 35007KT 10SM FEW012 SCT045 BKN055 04/03 A3003 RMK AO2 SLP173 T00440028
2026-05-01 11:52:00,METAR KPWK 011152Z 35004KT 10SM FEW043 04/03 A3001 RMK AO2 SLP166 60001 70003 T00390033 10050 20033 53009 $
2026-05-01 10:52:00,METAR KPWK 011052Z 34004KT 10SM SCT085 SCT110 03/03 A2999 RMK AO2 SLP161 T00330028 $
2026-05-01 09:52:00,METAR KPWK 010952Z AUTO 35003KT 10SM FEW030 SCT060 BKN090 04/03 A2999 RMK AO2 RAE35 SLP158 P0001 T00440033 $
2026-05-01 08:52:00,METAR KPWK 010852Z AUTO 33003KT 10SM -RA BKN040 BKN046 05/03 A2998 RMK AO2 RAB16 SLP156 P0000 60000 T00500033 55001 $
2026-05-01 08:22:00,SPECI KPWK 010822Z AUTO 00000KT 10SM -RA SCT028 OVC044 05/03 A2997 RMK AO2 RAB16 P0000 T00500033 $
2026-05-01 07:52:00,METAR KPWK 010752Z AUTO 00000KT 10SM OVC025 05/04 A2997 RMK AO2 RAE0658B04E42 SLP153 P0000 T00500039 $
2026-05-01 07:15:00,SPECI KPWK 010715Z AUTO 05003KT 10SM -RA FEW010 BKN027 OVC037 05/04 A2998 RMK AO2 RAE0658B04 P0000 T00500039 $
2026-05-01 07:01:00,SPECI KPWK 010701Z AUTO 06005KT 10SM SCT010 SCT022 OVC036 05/04 A2998 RMK AO2 RAE0658 P0000 T00500039 $
2026-05-01 06:52:00,METAR KPWK 010652Z AUTO 04004KT 10SM -RA SCT010 BKN021 OVC036 05/04 A2998 RMK AO2 RAE28B48 SLP155 P0000 T00500039 $
2026-05-01 06:16:00,SPECI KPWK 010616Z AUTO 06006KT 10SM -RA SCT012 OVC020 05/04 A2998 RMK AO2 P0000 T00500039 $
2026-05-01 05:52:00,METAR KPWK 010552Z AUTO 05005KT 10SM -RA BKN012 OVC017 05/04 A2998 RMK AO2 SLP157 P0001 60002 T00500039 10056 20050 401220022 58002 $
