Time_recorded,METAR
2026-05-02 15:50:00,METAR LGRP 021550Z 26017KT 9999 SCT020 16/10 Q1009
2026-05-02 15:20:00,METAR LGRP 021520Z 26017KT 9999 SCT020 17/10 Q1009
2026-05-02 14:50:00,METAR LGRP 021450Z 26016KT 9999 FEW018 SCT025 17/10 Q1009
2026-05-02 14:20:00,METAR LGRP 021420Z 26017KT 9999 FEW018 SCT025 18/11 Q1009
2026-05-02 13:50:00,METAR LGRP 021350Z 26019KT 9999 FEW018 SCT025 17/09 Q1009
2026-05-02 13:20:00,METAR LGRP 021320Z 26018KT 9999 FEW018 SCT025 17/10 Q1009
2026-05-02 12:50:00,METAR LGRP 021250Z 26018KT 9999 FEW018 SCT025 17/11 Q1009
2026-05-02 12:20:00,METAR LGRP 021220Z 27019KT 9999 FEW018 SCT025 17/11 Q1010
2026-05-02 11:50:00,METAR LGRP 021150Z 26020KT 9999 FEW018 SCT025 17/11 Q1010
2026-05-02 11:20:00,METAR LGRP 021120Z 26020KT 9999 SCT020 17/10 Q1010
2026-05-02 10:50:00,METAR LGRP 021050Z 26017KT 9999 FEW018 SCT025 17/10 Q1010
2026-05-02 10:20:00,METAR LGRP 021020Z 26016KT 9999 FEW018 SCT025 17/10 Q1010 NOSIG
2026-05-02 09:50:00,METAR LGRP 020950Z 26016KT 9999 FEW018 SCT025 17/11 Q1010 NOSIG
2026-05-02 09:20:00,METAR LGRP 020920Z 25019KT 9999 FEW018 SCT025 17/11 Q1010 NOSIG
2026-05-02 08:50:00,METAR LGRP 020850Z 25017KT 9999 FEW018 SCT025 17/11 Q1010 NOSIG
2026-05-02 08:20:00,METAR LGRP 020820Z 24010KT 200V260 9999 FEW018 SCT025 17/11 Q1010
2026-05-02 07:50:00,METAR LGRP 020750Z 26009KT 9999 FEW018 SCT025 17/11 Q1009 NOSIG
2026-05-02 07:20:00,METAR LGRP 020720Z 26007KT 230V290 9999 SCT020 17/11 Q1009 NOSIG
2026-05-02 06:50:00,METAR LGRP 020650Z 30010KT 270V330 9999 FEW020 18/11 Q1009 NOSIG
2026-05-02 06:20:00,METAR LGRP 020620Z 31011KT 9999 FEW020 18/11 Q1009 NOSIG
2026-05-02 05:50:00,METAR LGRP 020550Z 31010KT 9999 FEW020 18/11 Q1010 NOSIG
2026-05-02 05:20:00,METAR LGRP 020520Z 29007KT 250V320 9999 FEW020 18/11 Q1010
2026-05-02 04:50:00,METAR LGRP 020450Z 31010KT 9999 FEW020 17/10 Q1009
2026-05-02 04:20:00,METAR LGRP 020420Z 25010KT 9999 FEW020 16/11 Q1009
2026-05-02 03:50:00,METAR LGRP 020350Z 24008KT 9999 FEW018 15/09 Q1009
2026-05-02 03:20:00,METAR LGRP 020320Z 23007KT CAVOK 16/10 Q1009
2026-05-02 02:50:00,METAR LGRP 020250Z 31009KT 9999 FEW018 16/10 Q1009
2026-05-02 02:20:00,METAR LGRP 020220Z 31013KT 9999 FEW018 16/10 Q1009
2026-05-02 01:50:00,METAR LGRP 020150Z 31013KT 9999 FEW018 16/10 Q1009
2026-05-02 01:20:00,METAR LGRP 020120Z 30013KT 9999 FEW018 15/09 Q1010
2026-05-02 00:50:00,METAR LGRP 020050Z 30013KT 9999 FEW018 15/09 Q1010
2026-05-02 00:20:00,METAR LGRP 020020Z 31014KT 9999 FEW018 16/12 Q1010
2026-05-01 23:50:00,METAR LGRP 012350Z 31013KT 9999 FEW018 15/09 Q1010
2026-05-01 23:20:00,METAR LGRP 012320Z 31015KT 9999 FEW018 16/10 Q1011
2026-05-01 22:50:00,METAR LGRP 012250Z 31013KT 9999 FEW018 16/10 Q1011
2026-05-01 22:20:00,METAR LGRP 012220Z 29008KT 9999 FEW018 16/10 Q1011
2026-05-01 21:50:00,METAR LGRP 012150Z 29008KT 9999 FEW018 16/10 Q1011
2026-05-01 21:20:00,METAR LGRP 012120Z 27010KT 9999 FEW018 17/12 Q1012
2026-05-01 20:50:00,METAR LGRP 012050Z 26012KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 20:20:00,METAR LGRP 012020Z 26014KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 19:50:00,METAR LGRP 011950Z 25013KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 19:20:00,METAR LGRP 011920Z 26012KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 18:50:00,METAR LGRP 011850Z 26013KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 18:20:00,METAR LGRP 011820Z 26011KT 9999 FEW018 17/12 Q1012 NOSIG
2026-05-01 17:50:00,METAR LGRP 011750Z 27015KT 9999 FEW018 18/11 Q1012 NOSIG
2026-05-01 17:20:00,METAR LGRP 011720Z 27015KT 9999 FEW018 18/12 Q1012 NOSIG
2026-05-01 16:50:00,METAR LGRP 011650Z 27015KT 9999 FEW018 18/12 Q1012 NOSIG
2026-05-01 16:20:00,METAR LGRP 011620Z 28014KT 9999 FEW018 19/12 Q1011 NOSIG
2026-05-01 15:50:00,METAR LGRP 011550Z 27013KT 9999 FEW018 19/13 Q1011 NOSIG
2026-05-01 15:20:00,METAR LGRP 011520Z 30011KT 9999 FEW018 20/14 Q1011 NOSIG
2026-05-01 14:50:00,METAR LGRP 011450Z 30011KT 9999 FEW018 20/13 Q1011 NOSIG
2026-05-01 14:20:00,METAR LGRP 011420Z VRB09KT 9999 FEW018 20/13 Q1011 NOSIG
2026-05-01 13:50:00,METAR LGRP 011350Z 28009KT 9999 FEW018 21/13 Q1011 NOSIG
2026-05-01 13:20:00,METAR LGRP 011320Z 28006KT 250V310 9999 FEW018 22/12 Q1011 NOSIG
2026-05-01 12:50:00,METAR LGRP 011250Z 27009KT 9999 FEW018 21/14 Q1012 NOSIG
2026-05-01 12:20:00,METAR LGRP 011220Z 26013KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 11:50:00,METAR LGRP 011150Z 26014KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 11:20:00,METAR LGRP 011120Z 26013KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 10:50:00,METAR LGRP 011050Z 27010KT 9999 FEW018 21/15 Q1012 NOSIG
2026-05-01 10:20:00,METAR LGRP 011020Z 26012KT 9999 FEW018 21/15 Q1012 NOSIG
2026-05-01 09:50:00,METAR LGRP 010950Z 27010KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 09:20:00,METAR LGRP 010920Z 27009KT 9999 FEW018 20/17 Q1012 NOSIG
2026-05-01 08:50:00,METAR LGRP 010850Z 27008KT 9999 FEW018 20/16 Q1012 NOSIG
2026-05-01 08:20:00,METAR LGRP 010820Z 28009KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 07:50:00,METAR LGRP 010750Z 27009KT 9999 FEW018 21/16 Q1012 NOSIG
2026-05-01 07:20:00,METAR LGRP 010720Z 27006KT 9999 SCT018 20/16 Q1012 NOSIG
2026-05-01 06:50:00,METAR LGRP 010650Z 26008KT 9999 SCT018 20/17 Q1012 NOSIG
2026-05-01 06:20:00,METAR LGRP 010620Z 25007KT 9999 SCT018 20/15 Q1011 NOSIG
2026-05-01 05:50:00,METAR LGRP 010550Z 24005KT 9999 FEW018 19/14 Q1011 NOSIG
2026-05-01 05:20:00,METAR LGRP 010520Z 25005KT 9999 FEW018 19/14 Q1011 NOSIG
2026-05-01 04:50:00,METAR LGRP 010450Z VRB01KT 9999 FEW018 18/15 Q1011 NOSIG
2026-05-01 04:20:00,METAR LGRP 010420Z 00000KT 9999 FEW018 16/13 Q1011 NOSIG
2026-05-01 03:50:00,METAR LGRP 010350Z 13001KT 9999 FEW018 16/13 Q1011 NOSIG
2026-05-01 03:20:00,METAR LGRP 010320Z 14001KT 9999 FEW018 17/13 Q1011 NOSIG
2026-05-01 02:50:00,METAR LGRP 010250Z 00000KT 9999 FEW018 17/13 Q1011 NOSIG
