Time_recorded,METAR
2026-05-02 14:53:00,METAR KRIL 021453Z AUTO 00000KT 10SM CLR 08/M03 A3025 RMK AO2 SLP212 T00831033 50009
2026-05-02 13:53:00,METAR KRIL 021353Z AUTO 02003KT 10SM CLR 04/M03 A3025 RMK AO2 SLP217 T00441028
2026-05-02 12:53:00,METAR KRIL 021253Z AUTO 17003KT 10SM CLR 02/M04 A3024 RMK AO2 SLP213 T00221044
2026-05-02 11:53:00,METAR KRIL 021153Z AUTO 18003KT 10SM CLR 02/M05 A3022 RMK AO2 SLP207 T00171050 10072 20011 50008
2026-05-02 10:53:00,METAR KRIL 021053Z AUTO 13004KT 10SM CLR 02/M05 A3022 RMK AO2 SLP208 T00221050
2026-05-02 09:53:00,METAR KRIL 020953Z AUTO 18003KT 10SM CLR 02/M05 A3020 RMK AO2 SLP201 T00221050
2026-05-02 08:53:00,METAR KRIL 020853Z AUTO 00000KT 10SM CLR 04/M04 A3019 RMK AO2 SLP193 T00441044 51007
2026-05-02 07:53:00,METAR KRIL 020753Z AUTO 13004KT 10SM CLR 04/M04 A3018 RMK AO2 SLP192 T00391044
2026-05-02 06:53:00,METAR KRIL 020653Z AUTO 00000KT 10SM CLR 05/M04 A3018 RMK AO2 SLP194 T00501044 401831011
2026-05-02 05:53:00,METAR KRIL 020553Z AUTO 10004KT 10SM CLR 07/M04 A3016 RMK AO2 SLP185 T00671039 10178 20067 51021
2026-05-02 04:53:00,METAR KRIL 020453Z AUTO 12009KT 10SM BKN110 08/M03 A3015 RMK AO2 SLP180 T00831033
2026-05-02 03:53:00,METAR KRIL 020353Z AUTO 07006KT 10SM FEW110 12/M08 A3012 RMK AO2 SLP170 T01221078
2026-05-02 02:53:00,METAR KRIL 020253Z AUTO 03004KT 10SM BKN110 14/M07 A3009 RMK AO2 SLP159 T01391072 53015
2026-05-02 01:53:00,METAR KRIL 020153Z AUTO 02005KT 10SM BKN100 16/M07 A3006 RMK AO2 SLP152 T01561067
2026-05-02 00:53:00,METAR KRIL 020053Z AUTO 05009KT 10SM FEW120 17/M06 A3004 RMK AO2 SLP148 T01671061
2026-05-01 23:53:00,METAR KRIL 012353Z AUTO 29008KT 10SM SCT110 17/M07 A3004 RMK AO2 SLP148 T01721067 10183 20128 55012
2026-05-01 22:53:00,METAR KRIL 012253Z AUTO 32010KT 10SM FEW090 FEW120 17/M05 A3003 RMK AO2 SLP146 T01671050
2026-05-01 21:53:00,METAR KRIL 012153Z AUTO 36008KT 10SM CLR 17/M05 A3005 RMK AO2 SLP149 T01671050
2026-05-01 20:53:00,METAR KRIL 012053Z AUTO 33007G18KT 290V360 10SM CLR 17/M03 A3008 RMK AO2 SLP159 T01671033 56012
