Time_recorded,METAR
2026-05-02 14:53:00,METAR KSDL 021453Z 15004KT 10SM CLR 26/01 A2995 RMK AO2 SLP118 T02610006 51021
2026-05-02 13:53:00,METAR KSDL 021353Z 00000KT 10SM CLR 23/01 A2994 RMK AO2 SLP114 T02280011
2026-05-02 12:53:00,METAR KSDL 021253Z VRB03KT 10SM CLR 24/M01 A2990 RMK AO2 SLP101 T02391011
2026-05-02 11:53:00,METAR KSDL 021153Z AUTO 06008KT 10SM CLR 24/M02 A2988 RMK AO2 SLP095 T02441017 10261 20233 53004
2026-05-02 10:53:00,METAR KSDL 021053Z AUTO 00000KT 10SM CLR 24/M01 A2988 RMK AO2 SLP093 T02391011
2026-05-02 09:53:00,METAR KSDL 020953Z AUTO 10003KT 10SM CLR 26/M02 A2987 RMK AO2 SLP091 T02561017
2026-05-02 08:53:00,METAR KSDL 020853Z AUTO 07004KT 10SM CLR 26/M01 A2987 RMK AO2 SLP091 T02561006 51008
2026-05-02 07:53:00,METAR KSDL 020753Z AUTO 07007KT 10SM CLR 26/M01 A2987 RMK AO2 SLP090 T02611011
2026-05-02 06:53:00,METAR KSDL 020653Z AUTO 09003KT 10SM CLR 24/02 A2986 RMK AO2 SLP088 T02440017 403110189
2026-05-02 05:53:00,METAR KSDL 020553Z AUTO 11003KT 10SM CLR 25/02 A2985 RMK AO2 SLP084 T02500022 10311 20250 51014
2026-05-02 04:53:00,METAR KSDL 020453Z AUTO 09003KT 10SM CLR 26/02 A2984 RMK AO2 SLP082 T02610022
2026-05-02 03:53:00,METAR KSDL 020353Z AUTO 00000KT 10SM CLR 27/02 A2982 RMK AO2 SLP078 T02670022
2026-05-02 02:53:00,METAR KSDL 020253Z 00000KT 10SM CLR 28/01 A2980 RMK AO2 SLP071 T02830011 53003
2026-05-02 01:53:00,METAR KSDL 020153Z 23005KT 10SM CLR 30/01 A2979 RMK AO2 SLP066 T03000011
2026-05-02 00:53:00,METAR KSDL 020053Z 23005KT 10SM CLR 31/01 A2979 RMK AO2 SLP065 T03060011
2026-05-01 23:53:00,METAR KSDL 012353Z 23007KT 200V270 10SM CLR 31/01 A2979 RMK AO2 SLP067 T03060011 10311 20250 56016
2026-05-01 22:53:00,METAR KSDL 012253Z 23009KT 10SM CLR 30/02 A2980 RMK AO2 SLP068 T03000017
2026-05-01 21:53:00,METAR KSDL 012153Z 26007KT 10SM CLR 30/03 A2982 RMK AO2 SLP076 T03000028
2026-05-01 20:53:00,METAR KSDL 012053Z 23008KT 10SM CLR 29/04 A2984 RMK AO2 SLP083 T02940039 56022
2026-05-01 19:53:00,METAR KSDL 011953Z 10SM CLR 28/04 A2986 RMK AO2 SLP089 T02830039
2026-05-01 18:53:00,METAR KSDL 011853Z VRB03KT 10SM CLR 27/04 A2989 RMK AO2 SLP097 T02720044
2026-05-01 17:53:00,METAR KSDL 011753Z VRB04KT 10SM CLR 26/05 A2991 RMK AO2 SLP107 T02560050 10256 20189 50005
2026-05-01 16:53:00,METAR KSDL 011653Z 14003KT 10SM CLR 24/06 A2992 RMK AO2 SLP109 T02390061
2026-05-01 15:53:00,METAR KSDL 011553Z 17005KT 10SM CLR 23/07 A2991 RMK AO2 SLP106 T02280067
2026-05-01 14:53:00,METAR KSDL 011453Z 16006KT 10SM CLR 22/07 A2990 RMK AO2 SLP101 T02170067 51021
2026-05-01 13:53:00,METAR KSDL 011353Z 14003KT 10SM CLR 20/07 A2988 RMK AO2 SLP097 T02000067
2026-05-01 12:53:00,METAR KSDL 011253Z 00000KT 10SM CLR 19/05 A2985 RMK AO2 SLP087 T01890050
2026-05-01 11:53:00,METAR KSDL 011153Z 00000KT 10SM CLR 19/05 A2983 RMK AO2 SLP079 T01940050 10250 20194 53007
2026-05-01 10:53:00,METAR KSDL 011053Z 11003KT 10SM CLR 21/04 A2982 RMK AO2 SLP074 T02060044
2026-05-01 09:53:00,METAR KSDL 010953Z 00000KT 10SM CLR 21/04 A2981 RMK AO2 SLP070 T02110044
2026-05-01 08:53:00,METAR KSDL 010853Z 00000KT 10SM CLR 22/04 A2981 RMK AO2 SLP070 T02170044 50009
2026-05-01 07:53:00,METAR KSDL 010753Z 10003KT 10SM CLR 23/04 A2981 RMK AO2 SLP072 T02280039
2026-05-01 06:53:00,METAR KSDL 010653Z 19003KT 10SM CLR 24/01 A2980 RMK AO2 SLP069 T02440006 403220167
2026-05-01 05:53:00,METAR KSDL 010553Z 24008G16KT 190V260 10SM CLR 25/01 A2978 RMK AO2 SLP060 T02500011 10317 20250 53031
2026-05-01 04:53:00,METAR KSDL 010453Z 25013G19KT 10SM CLR 26/M01 A2974 RMK AO2 SLP048 T02611006
2026-05-01 03:53:00,METAR KSDL 010353Z 24004KT 10SM CLR 29/M04 A2970 RMK AO2 SLP034 T02891044
2026-05-01 02:53:00,METAR KSDL 010253Z 25006KT 10SM CLR 29/M04 A2968 RMK AO2 SLP028 T02941039 53005
2026-05-01 01:53:00,METAR KSDL 010153Z 24005KT 10SM CLR 30/M06 A2967 RMK AO2 SLP024 T03001056
2026-05-01 00:53:00,METAR KSDL 010053Z 22004KT 10SM CLR 31/M06 A2967 RMK AO2 SLP024 T03061061
2026-04-30 23:53:00,METAR KSDL 302353Z 21007KT 10SM CLR 32/M06 A2967 RMK AO2 SLP024 T03171056 10322 20272 56025
2026-04-30 22:53:00,METAR KSDL 302253Z VRB05KT 10SM CLR 31/M06 A2969 RMK AO2 SLP030 T03111061
2026-04-30 21:53:00,METAR KSDL 302153Z 23007KT 180V290 10SM CLR 32/M06 A2972 RMK AO2 SLP038 T03171056
2026-04-30 20:53:00,METAR KSDL 302053Z 16006KT 10SM CLR 31/M06 A2975 RMK AO2 SLP048 T03111061 56026
2026-04-30 19:53:00,METAR KSDL 301953Z VRB03KT 10SM CLR 30/M06 A2977 RMK AO2 SLP055 T03001056
2026-04-30 18:53:00,METAR KSDL 301853Z 00000KT 10SM CLR 29/M04 A2980 RMK AO2 SLP067 T02891044
2026-04-30 17:53:00,METAR KSDL 301753Z VRB03KT 10SM CLR 27/M04 A2983 RMK AO2 SLP077 T02721039 10272 20167 58009
2026-04-30 16:53:00,METAR KSDL 301653Z 00000KT 10SM CLR 26/M04 A2984 RMK AO2 SLP079 T02611044
2026-04-30 14:53:00,METAR KSDL 301453Z 19003KT 10SM CLR 22/M03 A2986 RMK AO2 SLP088 T02221028 53007
2026-04-30 13:53:00,METAR KSDL 301353Z 00000KT 10SM CLR 20/M02 A2985 RMK AO2 SLP086 T02001017
2026-04-30 12:53:00,METAR KSDL 301253Z AUTO 00000KT 10SM CLR 17/M01 A2984 RMK AO2 SLP083 T01671006
2026-04-30 11:53:00,METAR KSDL 301153Z AUTO 04003KT 10SM CLR 19/M02 A2983 RMK AO2 SLP081 T01891022 10250 20189 56010
2026-04-30 10:53:00,METAR KSDL 301053Z AUTO 00000KT 10SM CLR 20/M03 A2984 RMK AO2 SLP082 T02001028
2026-04-30 09:53:00,METAR KSDL 300953Z AUTO 00000KT 10SM CLR 21/M03 A2985 RMK AO2 SLP084 T02111028
