Time_recorded,METAR
2026-05-02 14:56:00,METAR KSFO 021456Z 23006KT 10SM BKN011 BKN013 13/10 A2994 RMK AO2 SLP138 T01280100 53009 $
2026-05-02 13:56:00,METAR KSFO 021356Z 23007KT 10SM FEW012 BKN014 13/10 A2993 RMK AO2 SLP133 T01280100 $
2026-05-02 12:56:00,METAR KSFO 021256Z 25011KT 10SM BKN013 13/10 A2991 RMK AO2 SLP129 T01280100 $
2026-05-02 11:56:00,METAR KSFO 021156Z 24010KT 10SM BKN013 13/10 A2991 RMK AO2 SLP129 T01280100 10128 20122 56011 $
2026-05-02 10:56:00,METAR KSFO 021056Z 24010KT 10SM BKN014 13/10 A2991 RMK AO2 SLP130 T01280100 $
2026-05-02 09:56:00,METAR KSFO 020956Z 26010KT 10SM OVC013 13/10 A2992 RMK AO2 SLP133 T01280100 $
2026-05-02 08:56:00,METAR KSFO 020856Z 24008KT 10SM FEW006 BKN014 13/10 A2995 RMK AO2 SLP140 T01280100 56003 $
2026-05-02 08:13:00,SPECI KSFO 020813Z 26009KT 10SM FEW004 BKN010 13/10 A2995 RMK AO2 T01280100 $
2026-05-02 07:56:00,METAR KSFO 020756Z 25006KT 10SM FEW004 BKN009 13/10 A2995 RMK AO2 SLP141 T01280100 401720122 $
2026-05-02 07:34:00,SPECI KSFO 020734Z 25009KT 10SM FEW004 BKN009 13/10 A2995 RMK AO2 T01280100 $
2026-05-02 06:56:00,METAR KSFO 020656Z 26009KT 10SM FEW006 BKN011 13/10 A2995 RMK AO2 SLP141 T01280100 $
2026-05-02 05:56:00,METAR KSFO 020556Z 28011KT 10SM FEW004 BKN011 13/10 A2995 RMK AO2 SLP143 T01280100 10167 20128 51013 $
2026-05-02 04:56:00,METAR KSFO 020456Z 27011KT 10SM FEW004 BKN010 13/11 A2995 RMK AO2 SLP143 T01280106 $
2026-05-02 03:56:00,METAR KSFO 020356Z 28015KT 10SM FEW004 BKN011 BKN180 13/10 A2994 RMK AO2 SLP137 T01280100 $
2026-05-02 03:39:00,SPECI KSFO 020339Z 26011KT 10SM FEW005 BKN012 BKN180 13/10 A2993 RMK AO2 T01280100 $
2026-05-02 02:56:00,METAR KSFO 020256Z 28013KT 10SM FEW005 SCT012 BKN180 BKN200 13/10 A2992 RMK AO2 SLP130 T01280100 55000 $
2026-05-02 01:56:00,METAR KSFO 020156Z 27013G22KT 10SM SCT007 BKN180 BKN200 14/10 A2991 RMK AO2 PK WND 28030/0112 SLP129 T01390100 $
2026-05-02 00:56:00,METAR KSFO 020056Z 29017KT 10SM SCT007 BKN200 15/11 A2992 RMK AO2 SLP130 T01500106 $
2026-05-01 23:56:00,METAR KSFO 012356Z 27017KT 10SM FEW006 BKN200 17/11 A2992 RMK AO2 SLP130 T01670106 10172 20139 56017 $
2026-05-01 22:56:00,METAR KSFO 012256Z 29017G25KT 10SM FEW008 FEW045 BKN200 17/11 A2993 RMK AO2 SLP133 T01720106 $
