Time_recorded,METAR
2026-05-02 15:39:00,SPECI KSNA 021539Z VRB03KT 7SM OVC010 16/14 A2997 RMK AO2 DZE25 P0000 T01610139 $
2026-05-02 15:14:00,SPECI KSNA 021514Z 33003KT 6SM DZ BR OVC009 16/14 A2997 RMK AO2 P0000 T01610139 $
2026-05-02 14:53:00,METAR KSNA 021453Z 24003KT 6SM DZ BR OVC010 16/14 A2997 RMK AO2 DZB51 SLP150 P0000 60000 T01610139 53014 $
2026-05-02 14:29:00,SPECI KSNA 021429Z 25003KT 7SM OVC010 16/14 A2997 RMK AO2 T01610139 $
2026-05-02 13:53:00,METAR KSNA 021353Z 00000KT 7SM OVC009 16/14 A2995 RMK AO2 DZB29E49 SLP143 P0000 T01610139 $
2026-05-02 12:53:00,METAR KSNA 021253Z 22005KT 8SM OVC009 16/14 A2995 RMK AO2 SLP140 T01610139 $
2026-05-02 10:53:00,METAR KSNA 021053Z AUTO 17003KT 9SM OVC009 16/14 A2993 RMK AO2 SLP133 T01610139 $
2026-05-02 10:14:00,SPECI KSNA 021014Z AUTO 00000KT 9SM OVC009 16/14 A2992 RMK AO2 T01610139 $
2026-05-02 09:53:00,METAR KSNA 020953Z AUTO 21003KT 10SM OVC010 16/14 A2992 RMK AO2 SLP131 T01610139 $
2026-05-02 08:53:00,METAR KSNA 020853Z AUTO 21004KT 10SM OVC013 16/14 A2993 RMK AO2 SLP134 T01610139 58004 $
2026-05-02 08:44:00,SPECI KSNA 020844Z AUTO 23004KT 10SM OVC013 16/14 A2993 RMK AO2 T01610139 $
2026-05-02 07:53:00,METAR KSNA 020753Z AUTO 20003KT 10SM OVC017 16/14 A2994 RMK AO2 SLP137 T01610139 402220161 $
2026-05-02 06:53:00,METAR KSNA 020653Z AUTO 22003KT 10SM OVC018 16/14 A2995 RMK AO2 SLP140 T01610139 $
2026-05-02 05:53:00,METAR KSNA 020553Z VRB03KT 5SM HZ BKN020 17/14 A2994 RMK AO2 SLP140 LAST T01670139 10200 20167 51013 $
2026-05-02 05:12:00,SPECI KSNA 020512Z 20004KT 5SM HZ BKN023 17/14 A2995 RMK AO2 T01670139 $
2026-05-02 04:53:00,METAR KSNA 020453Z 23003KT 6SM HZ SCT022 17/14 A2994 RMK AO2 SLP139 T01670139 $
2026-05-02 03:53:00,METAR KSNA 020353Z 25003KT 8SM FEW024 17/14 A2992 RMK AO2 SLP132 T01720139 $
2026-05-02 02:53:00,METAR KSNA 020253Z 24005KT 10SM CLR 18/14 A2991 RMK AO2 SLP126 T01830139 53007 $
2026-05-02 01:53:00,METAR KSNA 020153Z 24007KT 10SM FEW026 19/14 A2989 RMK AO2 SLP121 T01890139 $
2026-05-02 00:53:00,METAR KSNA 020053Z 23008KT 10SM FEW026 20/13 A2988 RMK AO2 SLP118 T02000133 $
2026-05-01 23:53:00,METAR KSNA 012353Z 27008KT 10SM FEW029 20/13 A2989 RMK AO2 SLP120 T02000133 10222 20183 56014 $
2026-05-01 22:53:00,METAR KSNA 012253Z 25008KT 10SM CLR 21/13 A2989 RMK AO2 SLP120 T02110128 $
2026-05-01 21:53:00,METAR KSNA 012153Z 23007KT 10SM FEW055 21/13 A2991 RMK AO2 SLP126 T02110128
2026-05-01 20:53:00,METAR KSNA 012053Z 21009G15KT 10SM FEW030 21/13 A2993 RMK AO2 SLP133 T02110133 56016
2026-05-01 19:53:00,METAR KSNA 011953Z 25006KT 10SM CLR 21/13 A2993 RMK AO2 SLP133 T02110133
2026-05-01 19:18:00,SPECI KSNA 011918Z 25003KT 10SM SCT025 SCT031 20/13 A2994 RMK AO2 T02000128
2026-05-01 18:53:00,METAR KSNA 011853Z 25003KT 10SM BKN025 20/13 A2996 RMK AO2 SLP143 T02000128
2026-05-01 17:53:00,METAR KSNA 011753Z 25003KT 10SM OVC022 18/12 A2997 RMK AO2 SLP150 T01780122 10189 20161 50002
2026-05-01 16:53:00,METAR KSNA 011653Z 00000KT 10SM OVC021 18/12 A2998 RMK AO2 SLP152 T01780122
2026-05-01 15:53:00,METAR KSNA 011553Z 13005KT 10SM OVC020 17/12 A2998 RMK AO2 SLP150 T01720122
2026-05-01 14:53:00,METAR KSNA 011453Z 14005KT 10SM OVC020 17/12 A2997 RMK AO2 SLP147 T01670117 53014
2026-05-01 13:53:00,METAR KSNA 011353Z 12006KT 10SM OVC020 17/12 A2995 RMK AO2 SLP141 T01670117
2026-05-01 12:53:00,METAR KSNA 011253Z 12006KT 10SM OVC020 17/12 A2994 RMK AO2 SLP138 T01670117
2026-05-01 11:53:00,METAR KSNA 011153Z AUTO 13007KT 10SM OVC019 17/12 A2993 RMK AO2 SLP134 T01670117 10172 20167 55002
2026-05-01 10:53:00,METAR KSNA 011053Z AUTO 13005KT 10SM OVC019 17/12 A2993 RMK AO2 SLP133 T01670117
2026-05-01 09:53:00,METAR KSNA 010953Z AUTO 11005KT 10SM OVC019 17/12 A2992 RMK AO2 SLP130 T01670122
2026-05-01 08:53:00,METAR KSNA 010853Z AUTO 11005KT 10SM OVC019 17/12 A2993 RMK AO2 SLP134 T01670122 50001
2026-05-01 07:53:00,METAR KSNA 010753Z AUTO 14005KT 10SM OVC018 17/12 A2994 RMK AO2 SLP137 T01670122 402110144
2026-05-01 06:53:00,METAR KSNA 010653Z AUTO 13006KT 10SM OVC017 17/13 A2993 RMK AO2 SLP134 T01670128
2026-05-01 06:00:00,SPECI KSNA 010600Z 15007KT 10SM OVC016 17/13 A2993 RMK AO2 T01720133
2026-05-01 05:53:00,METAR KSNA 010553Z 17005KT 10SM BKN014 BKN022 17/14 A2993 RMK AO2 SLP135 LAST T01720139 10200 20172 51015
2026-05-01 04:53:00,METAR KSNA 010453Z VRB03KT 10SM BKN014 BKN023 17/14 A2992 RMK AO2 SLP130 T01720139
2026-05-01 03:53:00,METAR KSNA 010353Z 22003KT 10SM SCT014 BKN023 17/14 A2990 RMK AO2 SLP126 T01720139
2026-05-01 02:53:00,METAR KSNA 010253Z 20005KT 10SM FEW017 17/14 A2989 RMK AO2 SLP120 T01720139 53010
2026-05-01 01:53:00,METAR KSNA 010153Z COR 20007KT 10SM FEW018 18/13 A2987 RMK AO2 SLP114 T01830133
2026-05-01 00:53:00,METAR KSNA 010053Z 20008KT 10SM FEW022 FEW150 19/13 A2986 RMK AO2 SLP112 T01940133
2026-04-30 23:53:00,METAR KSNA 302353Z 18009KT 10SM FEW022 SCT150 20/13 A2986 RMK AO2 SLP109 T02000128 10211 20189 58005
2026-04-30 22:53:00,METAR KSNA 302253Z 18011KT 10SM FEW024 SCT150 20/13 A2986 RMK AO2 SLP111 T02000133
2026-04-30 21:53:00,METAR KSNA 302153Z 20013KT 10SM FEW025 SCT150 21/13 A2987 RMK AO2 SLP115 T02060128
2026-04-30 20:53:00,METAR KSNA 302053Z 21014KT 10SM FEW027 SCT180 21/12 A2987 RMK AO2 SLP114 T02110122 56012
2026-04-30 19:53:00,METAR KSNA 301953Z 22010KT 10SM FEW028 SCT180 21/12 A2988 RMK AO2 SLP116 T02060122
2026-04-30 18:53:00,METAR KSNA 301853Z 20009G16KT 10SM FEW026 SCT180 21/13 A2989 RMK AO2 SLP122 T02060128
2026-04-30 17:53:00,METAR KSNA 301753Z 00000KT 10SM SCT026 BKN180 19/12 A2991 RMK AO2 SLP127 T01940122 10194 20144 58006
2026-04-30 16:53:00,METAR KSNA 301653Z 19004KT 10SM BKN023 BKN170 18/12 A2991 RMK AO2 SLP129 T01830117
2026-04-30 14:53:00,METAR KSNA 301453Z 13004KT 10SM SCT021 BKN170 16/11 A2993 RMK AO2 SLP134 T01610111 53002
2026-04-30 13:53:00,METAR KSNA 301353Z 08006KT 10SM SCT021 SCT180 15/11 A2992 RMK AO2 SLP133 T01500111
2026-04-30 12:53:00,METAR KSNA 301253Z 10003KT 10SM BKN018 BKN200 15/12 A2992 RMK AO2 SLP131 T01500117
2026-04-30 11:53:00,METAR KSNA 301153Z AUTO 11003KT 10SM BKN017 14/12 A2992 RMK AO2 SLP131 T01440117 10161 20144 56007
2026-04-30 11:45:00,SPECI KSNA 301145Z AUTO 11005KT 10SM BKN018 14/12 A2992 RMK AO2 T01440117
2026-04-30 10:53:00,METAR KSNA 301053Z AUTO 00000KT 10SM FEW015 15/11 A2993 RMK AO2 SLP134 T01500111
2026-04-30 10:50:00,SPECI KSNA 301050Z AUTO 00000KT 10SM FEW015 15/11 A2993 RMK AO2
2026-04-30 09:53:00,METAR KSNA 300953Z AUTO 09004KT 10SM OVC017 16/11 A2994 RMK AO2 SLP139 T01560106
2026-04-30 09:18:00,SPECI KSNA 300918Z AUTO 06003KT 10SM OVC016 16/10 A2995 RMK AO2 T01610100
2026-04-30 08:53:00,METAR KSNA 300853Z AUTO 00000KT 10SM BKN014 16/11 A2996 RMK AO2 SLP144 T01610106 58010
2026-04-30 08:32:00,SPECI KSNA 300832Z AUTO 00000KT 10SM BKN014 16/11 A2996 RMK AO2 T01610106
2026-04-30 08:24:00,SPECI KSNA 300824Z AUTO 00000KT 10SM SCT014 16/10 A2997 RMK AO2 T01610100
2026-04-30 08:17:00,SPECI KSNA 300817Z AUTO 00000KT 10SM BKN012 16/10 A2996 RMK AO2 T01610100
2026-04-30 08:00:00,SPECI KSNA 300800Z AUTO 18003KT 10SM SCT012 16/10 A2998 RMK AO2 T01610100
2026-04-30 07:53:00,METAR KSNA 300753Z AUTO 16003KT 10SM BKN013 16/11 A2998 RMK AO2 SLP149 T01610106 402170128
2026-04-30 06:53:00,METAR KSNA 300653Z AUTO 00000KT 10SM CLR 16/13 A2998 RMK AO2 SLP153 T01610133
2026-04-30 05:53:00,METAR KSNA 300553Z 18003KT 10SM FEW020 16/14 A2999 RMK AO2 SLP155 LAST T01610139 10200 20161 50004
2026-04-30 04:53:00,METAR KSNA 300453Z 19004KT 10SM FEW020 16/13 A3000 RMK AO2 SLP158 T01610133
2026-04-30 03:53:00,METAR KSNA 300353Z 22005KT 10SM FEW020 17/13 A2999 RMK AO2 SLP156 T01670128
2026-04-30 02:53:00,METAR KSNA 300253Z 21008KT 10SM FEW250 18/12 A2998 RMK AO2 SLP151 T01780122 53004
2026-04-30 01:53:00,METAR KSNA 300153Z 23008KT 10SM FEW160 FEW250 19/11 A2996 RMK AO2 SLP145 T01890111
2026-04-30 00:53:00,METAR KSNA 300053Z 23004KT 10SM FEW250 19/11 A2995 RMK AO2 SLP142 T01940111
2026-04-29 23:53:00,METAR KSNA 292353Z 25008KT 10SM FEW250 19/13 A2996 RMK AO2 SLP146 T01940128 10217 20194 55006
2026-04-29 22:53:00,METAR KSNA 292253Z 21008KT 10SM FEW160 FEW250 21/12 A2996 RMK AO2 SLP145 T02060117
2026-04-29 21:53:00,METAR KSNA 292153Z 24006KT 10SM SCT160 SCT250 21/11 A2998 RMK AO2 SLP151 T02060106
2026-04-29 20:53:00,METAR KSNA 292053Z 22008G14KT 190V270 10SM FEW020 BKN160 BKN250 21/10 A2998 RMK AO2 SLP153 T02110100 56014
2026-04-29 19:53:00,METAR KSNA 291953Z 20010G15KT 10SM FEW020 SCT250 21/11 A2999 RMK AO2 SLP156 T02110106
2026-04-29 18:53:00,METAR KSNA 291853Z 22009KT 10SM FEW020 20/11 A3001 RMK AO2 SLP161 T02000106
2026-04-29 17:53:00,METAR KSNA 291753Z 20009G16KT 10SM FEW020 20/12 A3002 RMK AO2 SLP167 T02000117 10200 20128 57007
2026-04-29 16:53:00,METAR KSNA 291653Z 00000KT 10SM FEW020 18/10 A3003 RMK AO2 SLP169 T01830100
2026-04-29 15:53:00,METAR KSNA 291553Z 00000KT 10SM FEW020 17/11 A3004 RMK AO2 SLP172 T01670111
2026-04-29 14:53:00,METAR KSNA 291453Z 13003KT 10SM CLR 16/09 A3005 RMK AO2 SLP174 T01560094 51002
2026-04-29 13:53:00,METAR KSNA 291353Z 00000KT 10SM CLR 14/09 A3005 RMK AO2 SLP174 T01390089
2026-04-29 12:53:00,METAR KSNA 291253Z 06003KT 10SM CLR 13/09 A3004 RMK AO2 SLP174 T01280089
2026-04-29 11:53:00,METAR KSNA 291153Z 00000KT 10SM CLR 13/09 A3004 RMK AO2 SLP172 T01330089 10161 20128 53002
2026-04-29 10:53:00,METAR KSNA 291053Z 00000KT 10SM CLR 14/11 A3003 RMK AO2 SLP168 T01390106
2026-04-29 09:53:00,METAR KSNA 290953Z 00000KT 10SM CLR 14/10 A3002 RMK AO2 SLP166 T01390100
2026-04-29 08:53:00,METAR KSNA 290853Z 00000KT 10SM CLR 15/11 A3004 RMK AO2 SLP170 T01500111 58006
2026-04-29 07:53:00,METAR KSNA 290753Z 00000KT 10SM CLR 15/11 A3005 RMK AO2 SLP176 T01500111 402170122
2026-04-29 06:53:00,METAR KSNA 290653Z 26003KT 10SM CLR 16/11 A3004 RMK AO2 SLP173 T01560111
2026-04-29 05:53:00,METAR KSNA 290553Z 00000KT 10SM CLR 16/11 A3005 RMK AO2 SLP176 LAST T01610111 10206 20161 51014
2026-04-29 04:53:00,METAR KSNA 290453Z 23003KT 10SM CLR 16/12 A3005 RMK AO2 SLP176 T01610117
2026-04-29 03:53:00,METAR KSNA 290353Z 25003KT 10SM CLR 17/11 A3004 RMK AO2 SLP172 T01670106
2026-04-29 02:53:00,METAR KSNA 290253Z 27005KT 10SM CLR 17/09 A3001 RMK AO2 SLP162 T01720089 53001
2026-04-29 01:53:00,METAR KSNA 290153Z 26007KT 10SM CLR 19/07 A3001 RMK AO2 SLP161 T01890072
2026-04-29 00:53:00,METAR KSNA 290053Z 26008KT 230V300 10SM FEW180 19/07 A3001 RMK AO2 SLP160 T01940067
2026-04-28 23:53:00,METAR KSNA 282353Z 26006KT 10SM CLR 21/08 A3001 RMK AO2 SLP162 T02060078 10217 20189 56006
2026-04-28 22:53:00,METAR KSNA 282253Z 24010KT 10SM FEW180 21/06 A3001 RMK AO2 SLP163 T02060061
2026-04-28 21:53:00,METAR KSNA 282153Z 24009KT 10SM FEW180 21/08 A3002 RMK AO2 SLP164 T02060078
2026-04-28 20:53:00,METAR KSNA 282053Z 23011G18KT 10SM FEW180 21/08 A3003 RMK AO2 SLP168 T02060078 55009
2026-04-28 19:53:00,METAR KSNA 281953Z 22010G17KT 10SM SCT250 21/07 A3003 RMK AO2 SLP167 T02110072
2026-04-28 18:53:00,METAR KSNA 281853Z 00000KT 10SM FEW250 21/06 A3004 RMK AO2 SLP172 T02060056
2026-04-28 17:53:00,METAR KSNA 281753Z 24006KT 10SM FEW250 19/06 A3005 RMK AO2 SLP177 T01890061 10194 20122 58005
2026-04-28 16:53:00,METAR KSNA 281653Z VRB03KT 10SM FEW025 SCT250 18/08 A3006 RMK AO2 SLP178 T01780078
2026-04-28 15:53:00,METAR KSNA 281553Z 00000KT 10SM FEW025 SCT180 BKN250 16/09 A3007 RMK AO2 SLP183 T01610094
2026-04-28 14:53:00,METAR KSNA 281453Z 00000KT 10SM FEW020 SCT180 BKN250 15/07 A3007 RMK AO2 SLP182 T01500072 51013
2026-04-28 13:53:00,METAR KSNA 281353Z 03004KT 10SM FEW020 BKN250 13/08 A3006 RMK AO2 SLP179 T01280078
2026-04-28 12:53:00,METAR KSNA 281253Z 00000KT 10SM SCT250 12/08 A3004 RMK AO2 SLP173 T01220078
2026-04-28 11:53:00,METAR KSNA 281153Z 08004KT 10SM CLR 13/08 A3003 RMK AO2 SLP169 T01280083 10156 20128 55007
2026-04-28 10:53:00,METAR KSNA 281053Z 00000KT 10SM CLR 13/09 A3003 RMK AO2 SLP167 T01330089
2026-04-28 09:53:00,METAR KSNA 280953Z 00000KT 10SM CLR 13/09 A3003 RMK AO2 SLP167 T01330089
2026-04-28 08:53:00,METAR KSNA 280853Z 08006KT 10SM CLR 14/09 A3005 RMK AO2 SLP176 T01390089 58002
